,Country Name,Country Code,Indicator Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Dominican Republic,DOM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
60,Algeria,DZA,"Railways, passengers carried (million passenger-km)",1040.0,1141.0,,1186.0,1269.0,1337.0,1550.0,1602.0,,,
61,East Asia & Pacific (excluding high income),EAP,"Railways, passengers carried (million passenger-km)",,,,,4233.88,,,,,,
62,Early-demographic dividend,EAR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
63,East Asia & Pacific,EAS,"Railways, passengers carried (million passenger-km)",16571.89681,,,,16016.86065,,,,,,
64,Europe & Central Asia (excluding high income),ECA,"Railways, passengers carried (million passenger-km)",650.5,608.0,610.5,612.0,502.0,496.25,531.85,1056.3,,,
65,Europe & Central Asia,ECS,"Railways, passengers carried (million passenger-km)",3763.0,3783.0,4232.0,3874.0,4035.0,4040.0,4282.5,4534.0,,,
66,Ecuador,ECU,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
67,"Egypt, Arab Rep.",EGY,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
68,Euro area,EMU,"Railways, passengers carried (million passenger-km)",4012.5,3803.0,3851.0,3863.0,4035.0,4007.0,4331.0,4510.5,,,
69,Eritrea,ERI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
70,Spain,ESP,"Railways, passengers carried (million passenger-km)",22795.0,22476.0,23788.0,25072.0,26142.0,26670.0,27487.0,28434.0,,,
71,Estonia,EST,"Railways, passengers carried (million passenger-km)",241.0,236.0,225.0,282.0,289.0,316.0,367.0,417.0,,,
72,Ethiopia,ETH,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
73,European Union,EUU,"Railways, passengers carried (million passenger-km)",5893.5,4571.0,5743.5,5892.0,5978.5,5820.5,5663.0,5577.0,,,
74,Fragile and conflict affected situations,FCS,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
75,Finland,FIN,"Railways, passengers carried (million passenger-km)",3882.0,4035.0,4053.0,3874.0,4113.0,3868.0,4271.0,4534.0,,,
76,Fiji,FJI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
77,France,FRA,"Railways, passengers carried (million passenger-km)",105596.0,105956.0,105214.0,104589.0,104849.0,104208.0,110469.0,107920.0,,,
78,Faroe Islands,FRO,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
79,"Micronesia, Fed. Sts.",FSM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
80,Gabon,GAB,"Railways, passengers carried (million passenger-km)",118.0,127.0,125.0,109.0,112.0,127.0,174.0,,,,
81,United Kingdom,GBR,"Railways, passengers carried (million passenger-km)",66801.44436,69686.07768,71091.61713,74261.86598,76787.83524,78695.9125,80260.89325,80526.37837,,,
82,Georgia,GEO,"Railways, passengers carried (million passenger-km)",641.0,625.0,585.0,550.0,464.6,544.5,596.7,633.6,,,
83,Ghana,GHA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
84,Gibraltar,GIB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
85,Guinea,GIN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
86,"Gambia, The",GMB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
87,Guinea-Bissau,GNB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
88,Equatorial Guinea,GNQ,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
89,Greece,GRC,"Railways, passengers carried (million passenger-km)",958.0,832.0,755.0,1072.0,1263.0,1192.0,1109.0,1104.0,,,
90,Grenada,GRD,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
91,Greenland,GRL,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
92,Guatemala,GTM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
93,Guam,GUM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
94,Guyana,GUY,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
95,High income,HIC,"Railways, passengers carried (million passenger-km)",7348.0,7265.0,7722.0,7738.0,7609.161,7653.455,8614.274227,5577.0,,,
96,"Hong Kong SAR, China",HKG,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
97,Honduras,HND,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
98,Heavily indebted poor countries (HIPC),HPC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
99,Croatia,HRV,"Railways, passengers carried (million passenger-km)",1486.0,1104.0,948.0,927.0,951.0,836.0,745.0,756.0,,,
100,Haiti,HTI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
