,Country Name,Country Code,Indicator Name,2018
193,Paraguay,PRY,"International tourism, number of arrivals",1181000.0
139,Lesotho,LSO,"International tourism, number of arrivals",1173000.0
176,Nepal,NPL,"International tourism, number of arrivals",1173000.0
26,Bolivia,BOL,"International tourism, number of arrivals",1142000.0
0,Aruba,ABW,"International tourism, number of arrivals",1082000.0
262,Zambia,ZMB,"International tourism, number of arrivals",1072000.0
22,Bosnia and Herzegovina,BIH,"International tourism, number of arrivals",1053000.0
232,Tajikistan,TJK,"International tourism, number of arrivals",1035000.0
142,Luxembourg,LUX,"International tourism, number of arrivals",1018000.0
166,Malawi,MWI,"International tourism, number of arrivals",871000.0
74,Fiji,FJI,"International tourism, number of arrivals",870000.0
70,Ethiopia,ETH,"International tourism, number of arrivals",849000.0
204,Sudan,SDN,"International tourism, number of arrivals",836000.0
222,Eswatini,SWZ,"International tourism, number of arrivals",782000.0
45,Cabo Verde,CPV,"International tourism, number of arrivals",710000.0
155,North Macedonia,MKD,"International tourism, number of arrivals",707000.0
28,Barbados,BRB,"International tourism, number of arrivals",680000.0
194,West Bank and Gaza,PSE,"International tourism, number of arrivals",606000.0
230,Togo,TGO,"International tourism, number of arrivals",573000.0
84,"Gambia, The",GMB,"International tourism, number of arrivals",552000.0
161,Mongolia,MNG,"International tourism, number of arrivals",529000.0
162,Northern Mariana Islands,MNP,"International tourism, number of arrivals",517000.0
24,Belize,BLZ,"International tourism, number of arrivals",489000.0
50,Cayman Islands,CYM,"International tourism, number of arrivals",463000.0
98,Haiti,HTI,"International tourism, number of arrivals",447000.0
226,Turks and Caicos Islands,TCA,"International tourism, number of arrivals",441000.0
49,Curacao,CUW,"International tourism, number of arrivals",432000.0
120,Kyrgyz Republic,KGZ,"International tourism, number of arrivals",423000.0
131,St. Lucia,LCA,"International tourism, number of arrivals",395000.0
254,Virgin Islands (U.S.),VIR,"International tourism, number of arrivals",381000.0
240,Trinidad and Tobago,TTO,"International tourism, number of arrivals",375000.0
224,Seychelles,SYC,"International tourism, number of arrivals",362000.0
147,Monaco,MCO,"International tourism, number of arrivals",347000.0
16,Benin,BEN,"International tourism, number of arrivals",295000.0
149,Madagascar,MDG,"International tourism, number of arrivals",291000.0
92,Guyana,GUY,"International tourism, number of arrivals",287000.0
25,Bermuda,BMU,"International tourism, number of arrivals",282000.0
29,Brunei Darussalam,BRN,"International tourism, number of arrivals",278000.0
30,Bhutan,BTN,"International tourism, number of arrivals",274000.0
10,Antigua and Barbuda,ATG,"International tourism, number of arrivals",269000.0
2,Angola,AGO,"International tourism, number of arrivals",218000.0
197,French Polynesia,PYF,"International tourism, number of arrivals",216300.0
253,British Virgin Islands,VGB,"International tourism, number of arrivals",192000.0
88,Grenada,GRD,"International tourism, number of arrivals",185000.0
223,Sint Maarten (Dutch part),SXM,"International tourism, number of arrivals",178000.0
258,Samoa,WSM,"International tourism, number of arrivals",164000.0
148,Moldova,MDA,"International tourism, number of arrivals",160000.0
171,Niger,NER,"International tourism, number of arrivals",157000.0
42,"Congo, Rep.",COG,"International tourism, number of arrivals",156000.0
17,Burkina Faso,BFA,"International tourism, number of arrivals",144000.0
187,Papua New Guinea,PNG,"International tourism, number of arrivals",140000.0
123,St. Kitts and Nevis,KNA,"International tourism, number of arrivals",125000.0
170,New Caledonia,NCL,"International tourism, number of arrivals",120000.0
256,Vanuatu,VUT,"International tourism, number of arrivals",116000.0
186,Palau,PLW,"International tourism, number of arrivals",106000.0
135,Liechtenstein,LIE,"International tourism, number of arrivals",85300.0
210,San Marino,SMR,"International tourism, number of arrivals",84000.0
251,St. Vincent and the Grenadines,VCT,"International tourism, number of arrivals",80000.0
235,Timor-Leste,TLS,"International tourism, number of arrivals",75000.0
55,Dominica,DMA,"International tourism, number of arrivals",63000.0
208,Sierra Leone,SLE,"International tourism, number of arrivals",57000.0
237,Tonga,TON,"International tourism, number of arrivals",54000.0
44,Comoros,COM,"International tourism, number of arrivals",35900.0
217,Sao Tome and Principe,STP,"International tourism, number of arrivals",33400.0
207,Solomon Islands,SLB,"International tourism, number of arrivals",27900.0
9,American Samoa,ASM,"International tourism, number of arrivals",20200.0
77,"Micronesia, Fed. Sts.",FSM,"International tourism, number of arrivals",19200.0
156,Mali,MLI,"International tourism, number of arrivals",14000.0
122,Kiribati,KIR,"International tourism, number of arrivals",7100.0
153,Marshall Islands,MHL,"International tourism, number of arrivals",6800.0
243,Tuvalu,TUV,"International tourism, number of arrivals",2700.0
