,ISO3V10,Country,density,landarea,EPI,ENVHEALTH,ECOSYSTEM,BIODIVERSITY
85,MDA,Moldova,18.4,34013.1,70.7,85.0,56.4,2.4
86,MDG,Madagascar,3.7,592965.42,54.6,37.6,71.6,35.2
87,MEX,Mexico,8.7,1943058.29,79.8,91.3,68.3,41.8
88,MKD,Macedonia,20.2,24697.07,75.1,86.1,64.1,15.8
89,MLI,Mali,0.7,1248145.58,44.3,13.4,75.2,37.2
90,MMR,Myanmar,23.1,669707.48,65.1,63.9,66.3,24.5
91,MNG,Mongolia,0.3,1546296.94,68.1,66.6,69.6,88.0
92,MOZ,Mozambique,2.2,777123.23,53.9,25.5,82.4,55.4
93,MRT,Mauritania,0.2,1036904.89,44.2,33.2,55.2,34.6
94,MUS,Mauritius,82.3,1993.16,78.1,97.7,58.5,21.9
95,MWI,Malawi,40.5,94968.41,59.9,34.0,85.8,90.1
96,MYS,Malaysia,11.8,330798.79,84.0,96.7,71.2,68.3
97,NAM,Namibia,0.1,819961.13,70.6,60.9,80.4,73.4
98,NER,Niger,2.0,1157232.49,39.1,6.0,72.1,83.0
99,NGA,Nigeria,34.3,904234.85,56.2,40.6,71.7,59.8
100,NIC,Nicaragua,8.0,118789.48,73.4,72.9,74.0,44.8
101,NLD,Netherlands,84.7,35043.85,78.7,98.1,59.4,9.1
102,NOR,Norway,2.1,318523.72,93.1,99.3,86.9,61.2
103,NPL,Nepal,62.1,139103.09,72.1,60.2,84.0,45.0
104,NZL,New Zealand,2.2,265334.38,88.9,99.0,78.8,61.9
105,OMN,Oman,1.0,304189.58,70.3,84.6,55.9,46.1
106,PAK,Pakistan,48.7,785319.81,58.7,54.6,62.7,44.0
107,PAN,Panama,8.1,74515.22,83.1,86.4,79.8,64.2
108,PER,Peru,2.1,1288259.27,78.1,78.3,77.9,58.1
109,PHL,Philippines,61.8,295386.88,77.9,82.5,73.4,44.5
110,PNG,Papua New Guinea,0.1,465004.05,64.8,58.2,71.4,47.1
111,POL,Poland,20.5,311195.23,80.5,93.6,67.4,48.4
112,PRT,Portugal,20.3,91426.39,85.8,98.4,73.1,33.7
113,PRY,Paraguay,1.2,395907.51,77.7,73.3,82.1,58.5
114,ROU,Romania,15.0,237056.1,71.9,77.8,66.1,30.1
115,RUS,Russia,0.4,16679992.73,83.9,96.3,71.4,79.2
116,RWA,Rwanda,85.0,24348.89,54.9,32.2,77.5,72.2
117,SAU,Saudi Arabia,0.0,1942660.31,72.8,85.5,60.2,95.5
118,SDN,Sudan,1.2,2492385.4,55.5,47.0,64.1,30.1
119,SEN,Senegal,8.0,196150.99,62.8,58.4,67.3,29.5
120,SLB,Solomon Islands,0.1,28707.41,52.3,59.6,44.9,1.8
121,SLE,Sierra Leone,8.1,72617.41,40.0,18.2,61.9,6.0
122,SLV,El Salvador,77.7,20278.94,77.2,81.8,72.6,4.3
123,SVK,Slovakia,27.2,48874.99,86.0,99.1,72.9,53.5
124,SVN,Slovenia,23.3,20223.97,86.3,97.8,74.8,36.5
125,SWE,Sweden,2.0,431704.25,93.1,99.4,86.9,58.0
126,SWZ,Swaziland,0.3,17409.73,61.3,61.1,61.6,50.6
127,SYR,Syria,25.9,184365.81,68.2,84.5,51.8,11.7
128,TCD,Chad,0.0,1243139.16,45.9,18.4,73.3,79.9
129,TGO,Togo,9.1,57276.95,62.3,52.0,72.6,63.3
130,THA,Thailand,43.7,513634.82,79.2,85.5,72.8,55.7
131,TJK,Tajikistan,11.7,130110.95,72.3,62.2,82.5,43.8
132,TKM,Turkmenistan,0.2,460254.24,71.3,78.1,64.4,58.1
133,TTO,Trinidad & Tobago,56.6,5202.12,70.4,88.4,52.3,47.5
134,TUN,Tunisia,17.4,147881.49,78.1,92.9,63.3,22.4
135,TUR,Turkey,19.2,768693.62,75.9,91.2,60.6,5.2
136,TWN,Taiwan,74.5,36222.74,80.8,96.6,65.1,66.7
137,TZA,Tanzania,6.0,891021.57,63.9,52.2,75.6,87.2
138,UGA,Uganda,36.2,207069.18,61.6,41.6,81.6,78.9
139,UKR,Ukraine,6.8,588417.29,74.1,97.0,51.2,8.5
140,URY,Uruguay,2.8,174047.96,82.3,88.9,75.6,0.4
141,USA,United States,4.3,9210753.38,81.0,98.5,63.5,65.3
142,UZB,Uzbekistan,12.4,412711.17,65.0,78.2,51.7,23.9
143,VEN,Venezuela,4.2,911835.87,80.0,88.5,71.6,74.9
144,VNM,Viet Nam,42.4,328819.59,73.9,76.3,71.5,28.4
145,YEM,Yemen,12.0,415203.04,49.7,48.2,51.2,0.8
146,ZAF,South Africa,6.3,1217643.11,69.0,81.8,56.2,44.8
147,ZMB,Zambia,1.0,745317.51,55.1,30.8,79.4,99.9
148,ZWE,Zimbabwe,0.5,389053.02,69.3,67.8,70.8,91.1
149,,,,,,,,
