,Country Code,Country Name,Indicator Name,2018
90,ISR,Israel,"International tourism, expenditures (current US$)",9765000000.0
91,ITA,Italy,"International tourism, expenditures (current US$)",37644000000.0
92,JAM,Jamaica,"International tourism, expenditures (current US$)",503000000.0
93,JOR,Jordan,"International tourism, expenditures (current US$)",1493000000.0
94,JPN,Japan,"International tourism, expenditures (current US$)",28096000000.0
95,KAZ,Kazakhstan,"International tourism, expenditures (current US$)",2852000000.0
96,KGZ,Kyrgyz Republic,"International tourism, expenditures (current US$)",453000000.0
97,KHM,Cambodia,"International tourism, expenditures (current US$)",1079000000.0
98,KNA,St. Kitts and Nevis,"International tourism, expenditures (current US$)",59000000.0
99,KOR,"Korea, Rep.","International tourism, expenditures (current US$)",34769000000.0
100,KWT,Kuwait,"International tourism, expenditures (current US$)",14318000000.0
101,LAC,Latin America & Caribbean (excluding high income),"International tourism, expenditures (current US$)",71687470453.6501
102,LAO,Lao PDR,"International tourism, expenditures (current US$)",949000000.0
103,LBN,Lebanon,"International tourism, expenditures (current US$)",6395000000.0
104,LBR,Liberia,"International tourism, expenditures (current US$)",7700000.0
105,LCA,St. Lucia,"International tourism, expenditures (current US$)",87000000.0
106,LCN,Latin America & Caribbean,"International tourism, expenditures (current US$)",80394178627.2125
107,LDC,Least developed countries: UN classification,"International tourism, expenditures (current US$)",12610936966.0218
108,LKA,Sri Lanka,"International tourism, expenditures (current US$)",2487000000.0
109,LMC,Lower middle income,"International tourism, expenditures (current US$)",96921601927.488
110,LMY,Low & middle income,"International tourism, expenditures (current US$)",589553354956.751
111,LSO,Lesotho,"International tourism, expenditures (current US$)",339000000.0
112,LTE,Late-demographic dividend,"International tourism, expenditures (current US$)",493616962309.286
113,LTU,Lithuania,"International tourism, expenditures (current US$)",1195000000.0
114,LUX,Luxembourg,"International tourism, expenditures (current US$)",3290000000.0
115,LVA,Latvia,"International tourism, expenditures (current US$)",778000000.0
116,MAC,"Macao SAR, China","International tourism, expenditures (current US$)",1411000000.0
117,MAR,Morocco,"International tourism, expenditures (current US$)",3018000000.0
118,MDA,Moldova,"International tourism, expenditures (current US$)",438000000.0
119,MDG,Madagascar,"International tourism, expenditures (current US$)",309000000.0
120,MDV,Maldives,"International tourism, expenditures (current US$)",433000000.0
121,MEA,Middle East & North Africa,"International tourism, expenditures (current US$)",117681965255.569
122,MEX,Mexico,"International tourism, expenditures (current US$)",14073000000.0
123,MHL,Marshall Islands,"International tourism, expenditures (current US$)",31400000.0
124,MIC,Middle income,"International tourism, expenditures (current US$)",581947153999.257
125,MKD,North Macedonia,"International tourism, expenditures (current US$)",282000000.0
126,MLT,Malta,"International tourism, expenditures (current US$)",518000000.0
127,MMR,Myanmar,"International tourism, expenditures (current US$)",118000000.0
128,MNE,Montenegro,"International tourism, expenditures (current US$)",73000000.0
129,MNG,Mongolia,"International tourism, expenditures (current US$)",822000000.0
130,MOZ,Mozambique,"International tourism, expenditures (current US$)",135000000.0
131,MRT,Mauritania,"International tourism, expenditures (current US$)",38000000.0
132,MUS,Mauritius,"International tourism, expenditures (current US$)",723000000.0
133,MWI,Malawi,"International tourism, expenditures (current US$)",136000000.0
134,MYS,Malaysia,"International tourism, expenditures (current US$)",13248000000.0
135,NAC,North America,"International tourism, expenditures (current US$)",220429000000.0
136,NAM,Namibia,"International tourism, expenditures (current US$)",69000000.0
137,NGA,Nigeria,"International tourism, expenditures (current US$)",13218000000.0
138,NIC,Nicaragua,"International tourism, expenditures (current US$)",349000000.0
139,NLD,Netherlands,"International tourism, expenditures (current US$)",25952000000.0
140,NOR,Norway,"International tourism, expenditures (current US$)",18592000000.0
141,NPL,Nepal,"International tourism, expenditures (current US$)",918000000.0
142,NRU,Nauru,"International tourism, expenditures (current US$)",7100000.0
143,NZL,New Zealand,"International tourism, expenditures (current US$)",4603000000.0
144,OED,OECD members,"International tourism, expenditures (current US$)",850049000000.0
145,OMN,Oman,"International tourism, expenditures (current US$)",3210000000.0
146,OSS,Other small states,"International tourism, expenditures (current US$)",27003742745.2579
147,PAK,Pakistan,"International tourism, expenditures (current US$)",2899000000.0
148,PAN,Panama,"International tourism, expenditures (current US$)",1307000000.0
149,PER,Peru,"International tourism, expenditures (current US$)",3417000000.0
150,PHL,Philippines,"International tourism, expenditures (current US$)",12474000000.0
151,POL,Poland,"International tourism, expenditures (current US$)",10608000000.0
152,PRE,Pre-demographic dividend,"International tourism, expenditures (current US$)",31384008017.6935
153,PRI,Puerto Rico,"International tourism, expenditures (current US$)",893000000.0
154,PRT,Portugal,"International tourism, expenditures (current US$)",6524000000.0
155,PRY,Paraguay,"International tourism, expenditures (current US$)",549000000.0
156,PSE,West Bank and Gaza,"International tourism, expenditures (current US$)",755000000.0
157,PSS,Pacific island small states,"International tourism, expenditures (current US$)",398835807.989899
158,PST,Post-demographic dividend,"International tourism, expenditures (current US$)",856208225575.51
159,QAT,Qatar,"International tourism, expenditures (current US$)",11754000000.0
160,ROU,Romania,"International tourism, expenditures (current US$)",5088000000.0
161,RUS,Russian Federation,"International tourism, expenditures (current US$)",38791000000.0
162,RWA,Rwanda,"International tourism, expenditures (current US$)",377000000.0
163,SAS,South Asia,"International tourism, expenditures (current US$)",34040000000.0
164,SAU,Saudi Arabia,"International tourism, expenditures (current US$)",17932000000.0
165,SDN,Sudan,"International tourism, expenditures (current US$)",13000000.0
166,SGP,Singapore,"International tourism, expenditures (current US$)",25346000000.0
167,SLB,Solomon Islands,"International tourism, expenditures (current US$)",53200000.0
168,SLE,Sierra Leone,"International tourism, expenditures (current US$)",61000000.0
169,SLV,El Salvador,"International tourism, expenditures (current US$)",490000000.0
170,SRB,Serbia,"International tourism, expenditures (current US$)",1837000000.0
171,SSA,Sub-Saharan Africa (excluding high income),"International tourism, expenditures (current US$)",33167630579.6148
172,SSD,South Sudan,"International tourism, expenditures (current US$)",513000000.0
173,SSF,Sub-Saharan Africa,"International tourism, expenditures (current US$)",33969444202.6706
174,SST,Small states,"International tourism, expenditures (current US$)",28920211385.8485
175,STP,Sao Tome and Principe,"International tourism, expenditures (current US$)",17600000.0
176,SUR,Suriname,"International tourism, expenditures (current US$)",104000000.0
177,SVK,Slovak Republic,"International tourism, expenditures (current US$)",2823000000.0
178,SVN,Slovenia,"International tourism, expenditures (current US$)",1755000000.0
179,SWE,Sweden,"International tourism, expenditures (current US$)",18056000000.0
180,SWZ,Eswatini,"International tourism, expenditures (current US$)",43000000.0
181,SXM,Sint Maarten (Dutch part),"International tourism, expenditures (current US$)",105000000.0
182,SYC,Seychelles,"International tourism, expenditures (current US$)",102000000.0
183,TCA,Turks and Caicos Islands,"International tourism, expenditures (current US$)",4200000.0
184,TEA,East Asia & Pacific (IDA & IBRD countries),"International tourism, expenditures (current US$)",338966315274.478
185,TEC,Europe & Central Asia (IDA & IBRD countries),"International tourism, expenditures (current US$)",87813581849.5127
