,code,iso,country,EPI.new,HLT.new,ECO.new,BDH.new,CCH.new
93,418,LAO,Laos,34.8,27.2,39.9,69.7,30.7
94,422,LBN,Lebanon,45.4,53.1,40.3,21.8,56.8
95,430,LBR,Liberia,22.6,21.3,23.6,32.6,24.9
96,662,LCA,Saint Lucia,43.1,47.8,40.0,36.9,54.8
97,144,LKA,Sri Lanka,39.0,42.1,36.9,61.1,31.0
98,426,LSO,Lesotho,28.0,11.8,38.8,22.5,52.4
99,440,LTU,Lithuania,62.9,63.2,62.7,87.5,65.9
100,442,LUX,Luxembourg,82.3,92.6,75.4,85.5,77.5
101,428,LVA,Latvia,61.6,58.0,64.0,86.7,67.7
102,504,MAR,Morocco,42.3,33.3,48.3,67.4,48.7
103,498,MDA,Moldova,44.4,45.6,43.6,27.9,52.2
104,450,MDG,Madagascar,26.5,22.1,29.4,25.0,39.9
105,462,MDV,Maldives,35.6,48.0,27.4,6.5,27.7
106,484,MEX,Mexico,52.6,47.5,55.9,72.9,65.2
107,584,MHL,Marshall Islands,30.8,32.6,29.6,11.4,39.6
108,807,MKD,North Macedonia,55.4,43.6,63.2,62.1,75.2
109,466,MLI,Mali,29.4,19.5,36.0,59.6,26.3
110,470,MLT,Malta,70.7,86.1,60.5,75.1,62.6
111,104,MMR,Myanmar,25.1,24.6,25.4,31.0,22.2
112,499,MNE,Montenegro,46.3,46.7,46.1,36.6,65.6
113,496,MNG,Mongolia,32.2,27.6,35.3,73.1,16.6
114,508,MOZ,Mozambique,33.9,28.1,37.8,67.4,31.1
115,478,MRT,Mauritania,27.7,20.0,32.8,19.2,32.6
116,480,MUS,Mauritius,45.1,60.0,35.3,19.3,51.0
117,454,MWI,Malawi,38.3,26.5,46.2,84.2,34.2
118,458,MYS,Malaysia,47.9,55.4,42.9,55.1,52.8
119,516,NAM,Namibia,40.2,22.5,52.0,76.6,55.4
120,562,NER,Niger,30.8,17.1,39.9,77.6,12.5
121,566,NGA,Nigeria,31.0,13.9,42.4,53.6,50.8
122,558,NIC,Nicaragua,39.2,40.2,38.6,59.6,38.0
123,528,NLD,Netherlands,75.3,91.0,64.8,83.7,65.8
124,578,NOR,Norway,77.7,98.5,63.8,71.5,78.9
125,524,NPL,Nepal,32.7,21.0,40.5,62.6,23.7
126,554,NZL,New Zealand,71.3,88.0,60.2,84.0,61.5
127,512,OMN,Oman,38.5,43.4,35.2,28.2,32.0
128,586,PAK,Pakistan,33.1,14.6,45.3,46.1,50.6
129,591,PAN,Panama,47.3,50.4,45.2,60.4,50.3
130,604,PER,Peru,44.0,45.1,43.2,59.5,41.3
131,608,PHL,Philippines,38.4,34.1,41.4,56.6,42.8
132,598,PNG,Papua New Guinea,32.4,28.4,35.1,27.3,47.6
133,616,POL,Poland,60.9,58.9,62.3,89.0,65.4
134,620,PRT,Portugal,67.0,83.4,56.1,73.0,63.3
135,600,PRY,Paraguay,46.4,46.8,46.2,62.8,40.9
136,634,QAT,Qatar,37.1,56.9,23.9,41.3,12.1
137,642,ROU,Romania,64.7,50.0,74.4,85.0,84.6
138,643,RUS,Russia,50.5,53.0,48.8,54.1,59.9
139,646,RWA,Rwanda,33.8,24.4,40.0,57.4,35.9
140,682,SAU,Saudi Arabia,44.0,47.2,41.8,38.8,37.5
141,729,SDN,Sudan,34.8,20.8,44.1,46.6,52.8
142,686,SEN,Senegal,30.7,20.4,37.6,68.7,30.3
143,702,SGP,Singapore,58.1,85.0,40.2,20.9,40.2
144,90,SLB,Solomon Islands,26.7,20.4,30.9,15.3,45.0
145,694,SLE,Sierra Leone,25.7,19.1,30.2,52.9,24.9
146,222,SLV,El Salvador,43.1,42.5,43.5,35.8,62.8
147,688,SRB,Serbia,55.2,47.8,60.2,57.4,68.1
148,678,STP,Sao Tome and Principe,37.6,28.7,43.6,58.4,35.0
149,740,SUR,Suriname,45.2,36.6,50.9,63.6,52.8
150,703,SVK,Slovakia,68.3,64.3,70.9,85.0,71.9
