,Code,Country,EPI,HLT,ECO,BDH,CCH
101,DMA,Dominica,47.08,72.51,30.12,66.29,27.95
102,BTN,Bhutan,46.86,42.07,50.06,94.92,
103,GAB,Gabon,46.6,50.09,44.28,82.94,56.67
104,BHS,Bahamas,46.58,73.83,28.42,75.53,0.0
105,VUT,Vanuatu,45.88,57.12,38.39,27.46,
106,BIH,Bosnia and Herzegovina,45.79,77.57,24.61,2.5,31.71
107,BRB,Barbados,45.5,87.58,17.45,2.28,12.38
108,TKM,Turkmenistan,45.07,66.12,31.04,17.86,61.67
109,PER,Peru,45.05,55.85,37.84,70.36,16.71
110,MNG,Mongolia,44.67,55.12,37.7,73.25,25.06
111,IDN,Indonesia,44.36,55.72,36.78,78.08,45.25
112,CPV,Cape Verde,44.07,65.4,29.85,7.32,45.04
113,PHL,Philippines,44.02,60.61,32.95,64.67,35.73
114,SLV,El Salvador,43.79,65.62,29.23,24.53,58.24
115,NAM,Namibia,43.71,55.53,35.82,94.39,0.54
116,UZB,Uzbekistan,43.23,67.68,26.92,12.87,51.9
117,CHN,China,43.0,42.73,43.19,66.63,65.16
118,CAF,Central African Republic,42.94,31.08,50.85,97.0,
119,LBY,Libya,42.72,72.0,23.2,0.89,46.61
120,ZMB,Zambia,41.72,36.18,45.41,100.0,
121,PNG,Papua New Guinea,41.09,40.97,41.17,25.68,89.98
122,GNQ,Equatorial Guinea,41.06,38.85,42.54,91.32,
123,SEN,Senegal,40.83,44.84,38.16,85.36,
124,KGZ,Kyrgyzstan,40.63,63.46,25.41,15.77,
125,BFA,Burkina Faso,40.52,32.17,46.08,83.75,
126,LAO,Laos,40.37,34.49,44.29,93.85,
127,MWI,Malawi,40.06,39.34,40.54,87.81,
128,CIV,Cote d'Ivoire,39.72,39.08,40.15,81.23,49.3
129,COG,Congo,39.44,37.22,40.91,66.29,59.88
130,ETH,Ethiopia,39.43,35.21,42.24,83.78,
131,TLS,Timor-Leste,39.41,44.92,35.74,60.43,
132,PRY,Paraguay,39.25,59.03,26.07,31.2,44.09
133,NGA,Nigeria,39.2,34.05,42.63,57.54,70.55
134,UGA,Uganda,39.18,37.26,40.46,91.31,
135,VNM,Viet Nam,38.17,52.43,28.66,43.39,44.51
136,GUY,Guyana,38.07,69.19,17.32,18.66,0.64
137,SWZ,Swaziland,37.35,43.48,33.27,17.69,14.04
138,NPL,Nepal,37.0,31.67,40.55,61.79,
139,KEN,Kenya,36.99,38.37,36.07,67.96,
140,CMR,Cameroon,36.68,37.63,36.06,45.67,62.13
141,NER,Niger,36.28,27.42,42.19,77.21,
142,TZA,Tanzania,36.19,35.89,36.39,79.12,
143,GNB,Guinea-Bissau,35.98,30.68,39.52,89.87,
144,KHM,Cambodia,35.44,42.73,30.58,78.93,
145,RWA,Rwanda,35.41,38.7,33.21,56.32,
146,GRD,Grenada,35.24,75.92,8.12,3.74,4.14
147,PAK,Pakistan,34.58,38.78,31.79,41.43,44.33
148,IRQ,Iraq,33.39,58.01,16.98,0.0,36.03
149,BEN,Benin,32.42,34.49,31.04,65.88,
150,GHA,Ghana,32.07,40.31,26.58,34.26,27.3
151,SLB,Solomon Islands,31.63,46.75,21.56,17.58,
152,COM,Comoros,31.39,47.4,20.72,0.0,
153,TJK,Tajikistan,31.34,49.89,18.97,24.28,
154,IND,India,31.23,33.19,29.92,39.18,35.24
155,TCD,Chad,31.02,29.57,31.99,55.34,
156,YEM,Yemen,30.16,43.77,21.09,23.59,
157,MOZ,Mozambique,29.97,31.49,28.96,63.17,
158,GMB,Gambia,29.3,41.03,21.48,37.05,
159,AGO,Angola,28.69,35.44,24.19,41.7,
160,DJI,Djibouti,28.52,52.69,12.4,15.45,
161,GIN,Guinea,28.03,32.2,25.25,41.0,
162,TGO,Togo,27.91,32.82,24.63,44.23,
163,MMR,Myanmar,27.44,41.39,18.14,28.62,
164,MRT,Mauritania,27.19,37.3,20.44,32.63,
165,MDG,Madagascar,26.7,37.2,19.71,37.08,
166,BDI,Burundi,25.78,31.56,21.93,30.29,
167,ERI,Eritrea,25.76,43.44,13.98,17.94,
168,BGD,Bangladesh,25.61,30.42,22.4,39.68,
169,COD,Dem. Rep. Congo,25.01,23.9,25.75,44.85,
170,SDN,Sudan,24.64,36.33,16.84,16.29,
171,LBR,Liberia,23.95,37.99,14.59,4.13,
172,SLE,Sierra Leone,21.74,27.89,17.64,23.54,
173,AFG,Afghanistan,21.57,34.61,12.87,2.52,
174,LSO,Lesotho,20.81,43.31,5.82,1.3,
175,HTI,Haiti,19.01,37.06,6.98,1.09,
176,MLI,Mali,18.43,28.41,11.77,14.3,
177,SOM,Somalia,15.47,28.91,6.5,1.75,
