,ISO3Code (v. 10),Indicator,SYS_AIR,SYS_AIR.1,SYS_AIR.2,SYS_AIR.3,SYS_BIO,SYS_BIO.1,SYS_BIO.2,SYS_BIO.3,SYS_BIO.4,SYS_LAN,SYS_LAN.1,SYS_WQL,SYS_WQL.1,SYS_WQL.2,SYS_WQL.3,SYS_WQN,SYS_WQN.1,STR_AIR,STR_AIR.1,STR_AIR.2,STR_AIR.3,STR_AIR.4,STR_ECO,STR_ECO.1,STR_POP,STR_POP.1,STR_WAS,STR_WAS.1,STR_WAS.2,STR_WAT,STR_WAT.1,STR_WAT.2,STR_WAT.3,STR_NRM,STR_NRM.1,STR_NRM.2,STR_NRM.3,STR_NRM.4,VUL_HEA,VUL_HEA.1,VUL_HEA.2,VUL_SUS,VUL_SUS.1,VUL_DIS,VUL_DIS.1,CAP_GOV,CAP_GOV.1,CAP_GOV.2,CAP_GOV.3,CAP_GOV.4,CAP_GOV.5,CAP_GOV.6,CAP_GOV.7,CAP_GOV.8,CAP_GOV.9,CAP_GOV.10,CAP_GOV.11,CAP_EFF,CAP_EFF.1,CAP_PRI,CAP_PRI.1,CAP_PRI.2,CAP_PRI.3,CAP_PRI.4,CAP_ST,CAP_ST.1,CAP_ST.2,CAP_ST.3,CAP_ST.4,GLO_COL,GLO_COL.1,GLO_COL.2,GLO_GHG,GLO_GHG.1,GLO_TBP,GLO_TBP.1
0,,Country (alphabetical order),NO2,SO2,TSP,INDOOR,ECORISK,PRTBRD,PRTMAM,PRTAMPH,NBI,ANTH10,ANTH40,WQ_DO,WQ_EC,WQ_PH,WQ_SS,WATAVL,GRDAVL,NOXKM,SO2KM,VOCKM,COALKM,CARSKM,FOREST,ACEXC,GR2050,TFR,EFPC,RECYCLE,HAZWST,BODWAT,FERTHA,PESTHA,WATSTR,OVRFSH,IRRSAL,FORCERT,WEFSUB,AGSUB,DISINT,DISRES,U5MORT,UND_NO,WATSUP,DISCAS,DISEXP,PRAREA,GASPR,CSDMIS,KNWLDG,IUCN,AGENDA21,GRAFT,LAW,CIVLIB,WEFGOV,GOVEFF,POLITY,ENEFF,RENPC,DJSGI,ECOVAL,ISO14,WEFPRI,RESCARE,INNOV,DAI,PECR,ENROL,RESEARCH,EIONUM,FUNDING,PARTICIP,CO2GDP,CO2PC,SO2EXP,POLEXP
18,BRB,Barbados,..,..,..,57,0,..,..,0,..,0,85.16,..,..,..,..,..,..,0.2,0.41,1.88,0,162.13,0,0,-3,1.67,..,..,24,..,1875,27.9,..,4,..,0,..,0,1.6,6.4,14,..,100,..,..,0,1.08,50,..,3.72,..,1.29,1.43,1,..,1.36,..,5.19,0,..,..,0.73,..,0,..,0.57,100,38.2,..,5,6.41,0.52,145.83,4.4,..,17.35
19,BLR,Belarus,42.6,0.01,18.4,2,100,1.36,9.46,0,0.37,0.01,4.43,..,..,..,..,4.81,1.84,0.2,0.95,1.24,0,7.08,3.2,4.91,-13,1.23,3.17,0,1387551,..,1272.22,..,0,..,0,1.13,..,0,0.71,5.3,20,3,100,0.01,0.01,6.4,0.82,32.61,47,0,..,-0.78,-1.12,6,..,-1.03,-4.5,19.93,0.02,..,..,0.04,..,0,..,0.49,100,55.95,..,4,15.38,0.54,850.78,5.9,150.72,23.1
20,BEL,Belgium,41,9.7,42.62,0,100,1.11,18.97,0,0.45,0,28.57,8.55,573.62,0.32,3.42,1.87,0.09,9.88,5.14,6.3,11.12,172.76,-0.2,70.83,5,1.62,5.11,87,2016123,5.4,2070,5.9,93.54,5,0,31.67,5.23,8,0.96,0.38,6,1,96.45,0.03,..,13.73,1.7,15.22,48.33,0.97,10.26,1.57,1.45,1,51.93,1.85,10,9.08,0.76,0.18,-0.02,1.06,10.98,4,4,0.74,..,58.05,2953.26,19,44,0.88,88.11,12.34,161.86,30.11
21,BLZ,Belize,..,..,..,..,0.01,0.56,3.2,15.38,0.64,22.67,0.2,..,..,..,..,..,..,..,..,..,0,1.44,-2.3,0,102,3.4,..,..,..,..,723.08,16.5,..,3,0,7.78,..,0,18.26,13.05,40,..,91,..,0.75,47.5,..,..,..,11.86,..,-0.25,0.05,1.5,..,-0.06,..,8.39,5.79,..,..,1.3,..,0,..,0.47,100,..,..,7,30.77,0.58,284.01,3.25,..,18.09
22,BEN,Benin,..,..,..,88,100,0.65,4.79,0,0.62,1.54,0.31,..,..,..,..,7.71,0.25,0.14,21.39,1.08,0,0.12,-2.3,0,148,5.6,0.92,25,428040,..,155.5,..,0,6,0,0,..,0,..,..,156,16,68,0.91,0.12,22.7,0.89,32.61,..,0.31,0.15,-0.61,-0.42,2.5,..,-0.62,6,3.54,7.72,..,..,0,..,0,..,0.12,100,3.6,..,11,81.41,0.64,169.63,0.26,..,20.2
23,BMU,Bermuda,..,..,..,..,0,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,0,423.8,..,0,3,1.9,..,..,..,..,1000,..,..,2,..,0,..,0,..,..,..,..,..,..,0.72,9.6,..,80.43,15,0,..,1.29,1.28,..,..,1.09,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,5.78,..,..
24,BTN,Bhutan,..,..,..,..,56.29,2.68,22.22,14.29,0.61,2.49,0,..,..,..,..,22.12,..,0.02,0,0.05,0.04,..,0,0,113,4.7,..,..,..,..,0,0.1,0,..,0,0,..,0,..,..,94,..,62,5.44,0.85,30.2,0.95,..,..,0,..,0.91,0.1,5.5,..,0.93,-8,..,108.47,..,..,0,..,0,..,0.13,44.16,..,..,2,75,0.5,252.08,0.19,0.41,..
25,BOL,Bolivia,..,..,..,61,0.55,..,7.91,10.45,0.72,66.63,0.12,..,..,..,..,80.9,14.83,0.37,0.02,0.2,1.68,1.61,-0.3,0,75,3.85,1.67,2,..,0.02,41.79,1.3,13.77,..,0.7,2.78,3.35,0,..,..,71,22,85,2.27,0.46,19.4,1.13,19.57,50.33,0.79,0.11,-0.82,-0.6,2.5,23.73,-0.53,9,6.71,14.97,..,..,0.23,7.82,0,2.31,0.38,100,35.66,123.31,12,89.74,0.85,380.6,1.33,..,25.82
26,BIH,Bosnia and Herze.,27,18,..,15,100,1.38,13.89,5.56,0.53,0,1.74,9.51,..,0.1,..,16.03,..,0.16,1.78,1.52,0.32,..,0,34.07,-15,1.23,1.49,..,..,0.16,472.46,..,0,..,0,0,..,0,..,..,18,8,98,0,0.02,0.2,1.21,58.7,..,0,0.24,-0.6,-0.88,4,..,-0.9,0,..,16.79,..,..,..,..,0,..,0.46,..,..,..,2,89.1,0.35,828.48,4.84,419,..
27,BWA,Botswana,..,..,..,65,8.01,1.81,4.27,0,0.46,77.19,0.08,..,..,..,..,19.7,1.01,2.65,1.32,13.59,0.29,1.35,-0.9,0,-43,3.46,2.7,1,8848,0.16,124.32,..,14.51,..,..,0,4.46,0,..,..,110,24,95,1.07,0.26,30.2,0.67,30.43,..,4.67,..,0.76,0.72,2,35.83,0.87,9.6,3.49,0,..,..,0.14,11.09,0,1.73,0.43,100,4.65,..,3,40.38,0.65,162.39,2.23,..,..
