,ISO3Code (v. 10),Indicator,SYS_AIR,SYS_AIR.1,SYS_AIR.2,SYS_AIR.3,SYS_BIO,SYS_BIO.1,SYS_BIO.2,SYS_BIO.3,SYS_BIO.4,SYS_LAN,SYS_LAN.1,SYS_WQL,SYS_WQL.1,SYS_WQL.2,SYS_WQL.3,SYS_WQN,SYS_WQN.1,STR_AIR,STR_AIR.1,STR_AIR.2,STR_AIR.3,STR_AIR.4,STR_ECO,STR_ECO.1,STR_POP,STR_POP.1,STR_WAS,STR_WAS.1,STR_WAS.2,STR_WAT,STR_WAT.1,STR_WAT.2,STR_WAT.3,STR_NRM,STR_NRM.1,STR_NRM.2,STR_NRM.3,STR_NRM.4,VUL_HEA,VUL_HEA.1,VUL_HEA.2,VUL_SUS,VUL_SUS.1,VUL_DIS,VUL_DIS.1,CAP_GOV,CAP_GOV.1,CAP_GOV.2,CAP_GOV.3,CAP_GOV.4,CAP_GOV.5,CAP_GOV.6,CAP_GOV.7,CAP_GOV.8,CAP_GOV.9,CAP_GOV.10,CAP_GOV.11,CAP_EFF,CAP_EFF.1,CAP_PRI,CAP_PRI.1,CAP_PRI.2,CAP_PRI.3,CAP_PRI.4,CAP_ST,CAP_ST.1,CAP_ST.2,CAP_ST.3,CAP_ST.4,GLO_COL,GLO_COL.1,GLO_COL.2,GLO_GHG,GLO_GHG.1,GLO_TBP,GLO_TBP.1
0,,Country (alphabetical order),NO2,SO2,TSP,INDOOR,ECORISK,PRTBRD,PRTMAM,PRTAMPH,NBI,ANTH10,ANTH40,WQ_DO,WQ_EC,WQ_PH,WQ_SS,WATAVL,GRDAVL,NOXKM,SO2KM,VOCKM,COALKM,CARSKM,FOREST,ACEXC,GR2050,TFR,EFPC,RECYCLE,HAZWST,BODWAT,FERTHA,PESTHA,WATSTR,OVRFSH,IRRSAL,FORCERT,WEFSUB,AGSUB,DISINT,DISRES,U5MORT,UND_NO,WATSUP,DISCAS,DISEXP,PRAREA,GASPR,CSDMIS,KNWLDG,IUCN,AGENDA21,GRAFT,LAW,CIVLIB,WEFGOV,GOVEFF,POLITY,ENEFF,RENPC,DJSGI,ECOVAL,ISO14,WEFPRI,RESCARE,INNOV,DAI,PECR,ENROL,RESEARCH,EIONUM,FUNDING,PARTICIP,CO2GDP,CO2PC,SO2EXP,POLEXP
49,COG,Congo,..,..,..,100,0,0.67,7.5,0,0.65,76.27,0.11,..,..,..,..,543.29,110.27,0.22,0.14,0.24,0,0.61,-0.1,0.43,179,6.29,0.8,26.2,..,..,285.71,0.1,0,4,0,0,..,0,..,..,108,30,46,0.03,0,15.8,1.13,32.61,..,0.55,..,-0.94,-1.22,5,..,-1.25,-2.3,4.48,20.75,..,..,0,..,0,..,0.17,61,5.04,..,9,20.51,0.56,206.9,0.53,..,..
50,COK,Cook Islands,..,..,..,..,0,..,..,..,..,3.47,0,..,..,..,..,..,..,..,..,..,0,..,0,0,..,..,..,..,..,..,..,0.3,..,1,..,0,..,0,..,..,23,..,95,..,..,4.7,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,69.87,0.46,..,1.6,..,..
51,CRI,Costa Rica,45.75,38.84,226.3,58,47.71,2.17,6.83,34.08,0.82,0.11,5.92,..,..,..,..,23.17,8.84,0.65,0.38,0.65,0,10.18,-0.8,0,49,2.1,1.91,..,..,0.41,5686.67,20.4,0,4,0,2.77,4.27,1,7.26,4.87,6.86,6,97,1.73,1.03,25.6,1.05,15.22,..,3.55,1.01,0.88,0.67,1.5,39.14,0.37,10,4.19,49.63,..,..,1.15,11.13,0,2.21,0.52,100,16.04,..,12,87.82,0.79,99.32,1.38,..,23.29
52,CIV,Côte d'Ivoire,..,..,..,93,100,2.24,8.26,16.28,0.63,4,0.31,..,..,..,..,8.4,2.23,0.52,0.2,0.05,0,0.53,-3.1,0,63,5.2,1.6,3,..,0.11,201.61,..,0,5,0,0,..,0,..,..,191,15,84,0.1,..,16.9,1.39,28.26,..,0.06,..,-0.86,-1.21,4.5,..,-0.89,-1.6,3.95,17.41,..,..,0,..,0,..,0.13,62,7,..,17,71.15,0.57,219.89,0.66,..,..
53,HRV,Croatia,..,31,71,3,100,1.79,11.84,10,0.54,1.65,6.91,..,..,..,..,33.59,2.48,0.18,1.87,1.5,..,25.62,0.1,4.69,-14,1.3,2.76,13,58285.4,0.31,1474.98,2.2,1.45,4,0,100,3.71,0,0.23,0,8,12,..,0,0,6.9,1.46,28.26,56.67,0.67,4.48,0.23,0.11,2,35.81,0.19,0.6,7.8,18.62,..,..,1.14,10.66,0,2.44,0.59,98,32.58,1186.95,5,64.74,0.69,240.26,4.59,58,30.23
54,CUB,Cuba,5,1,..,42,86.1,13.14,35.48,81.03,0.7,1.36,6.34,8.1,515,0.02,..,2.28,0.58,0.62,3.74,0.33,0.01,0.09,1.3,0,-2,1.63,1.53,0,941118,..,553.17,..,28.55,4,21.8,0,..,0,3.03,0,9,11,91,0.47,0.44,1.6,1.48,34.78,44.33,0.18,0.18,-0.13,-0.94,7,..,-0.26,-7,..,2.26,..,..,0,..,0,..,0.38,96,24.73,489.4,15,53.21,0.71,262.59,2.76,..,..
55,CYP,Cyprus,..,..,..,24,100,..,..,0,0.45,0.44,21.78,..,..,..,..,..,..,..,..,..,0.14,46.11,3.7,0,14,1.56,..,..,4369,..,3154.86,15.8,..,4,0,0,..,1,..,..,6,..,100,..,..,8.3,1.36,36.96,44,2.61,1.31,0.89,0.74,1,..,1,10,7.68,0,..,..,1.52,..,0,..,0.68,98,22.22,400.26,8,..,0.76,164.26,8.21,48.3,..
56,CZE,Czech Rep.,31.53,9.31,42.39,0,100,1.01,9.88,0,0.5,0,11.52,10.4,..,0.32,..,2,0.14,5,3.33,3.08,8.71,49.18,..,89.22,-10,1.18,4.24,42,2785000,12.5,1283.22,1.4,0,..,..,73.58,4.4,3,0.01,0,5,0,..,0.13,0.03,16,1.33,13.04,47,0.49,4.11,0.38,0.74,1.5,44.45,0.7,10,9.29,2,..,-0.2,3.76,10.91,4,2.57,0.66,100,29.84,1465.87,7,60,0.77,586.45,12.48,251,31.67
57,COD,Dem. Rep. Congo,..,..,..,100,0.19,3.01,8.89,6.19,0.65,25.84,0.06,..,..,..,..,30.36,0.23,0.16,0,0.09,0,0.11,-0.4,0,211,6.84,0.62,4.9,..,..,..,..,0,6,..,0,..,0,..,..,205,75,46,0.07,0.12,8.3,1.15,32.61,..,0.08,0.04,-1.42,-1.79,..,..,-1.6,0,2.31,73.89,..,..,0,..,0,..,0.12,54,1.42,..,10,1.28,0.58,161.57,0.06,..,..
58,DNK,Denmark,47,4,32.18,0,100,0.51,11.63,0,0.4,0.55,21.19,10.42,382.92,0.14,..,2.78,0.8,4.71,0.64,3.06,3.83,52.46,0.2,54.88,-3,1.76,5.32,65,374303,5.74,1383.07,1.4,11.54,6,0,2.69,5.61,7,0.94,0.08,4,1,100,0,..,25.6,1.79,6.52,28.33,1.67,40.19,2.26,1.97,1,59.16,1.99,10,4.75,8.59,..,-0.13,4.28,13.39,4,4.26,0.83,100,58.86,3475.75,20,72,0.95,59.13,10.18,25.33,23.33
59,DJI,Djibouti,..,..,..,6,0,..,..,0,0.43,5.03,0.15,..,..,..,..,..,..,..,..,..,0,..,0,0,96,5.9,..,..,..,..,0,..,..,1,..,0,..,0,..,..,143,..,80,..,0.9,0.5,1.61,..,..,0,..,-0.73,0.67,4.5,..,-0.88,-2.1,17.46,0,..,..,0,..,0,..,0.15,34,0.88,..,6,16.67,0.63,213.06,0.58,..,..
60,DMA,Dominica,..,..,..,..,0,..,..,50,..,0,1.83,..,..,..,..,..,..,0.56,0.14,9.1,0,15.73,-0.7,0,19,1.87,..,..,..,..,6000,..,..,..,..,0,..,0,..,..,15,..,97,..,1.06,22.4,..,..,..,0,13.89,0.52,1.97,1,..,0.32,..,4.41,17.13,..,..,0,..,0,..,0.54,100,..,..,4,26.28,0.39,112.63,1.32,..,..
61,DOM,Dominican Rep.,..,..,..,48,59.58,11.03,25,86.11,0.66,0.12,5.39,..,..,..,..,2.23,1.33,0.06,0.64,0.45,0.1,17.58,0,0,52,3,1.69,..,..,..,895.29,4.5,13.44,4,0,0,2.94,0,23.29,7.93,38,25,93,3.1,0.86,24.5,0.8,28.26,..,0.35,..,-0.39,-0.43,2,30.07,-0.41,8.2,4.39,2.07,..,..,0.02,9.58,0,2.3,0.42,100,..,..,11,29.49,0.51,378.42,3.01,..,..
62,ECU,Ecuador,..,21.52,125.73,28,36.1,4.47,11.26,36.47,0.87,32.87,2.19,..,..,..,..,29.52,10,0.65,0.35,0.84,0,3.74,-1.2,0,54,3,1.77,20,85859,0.1,1423.46,2.5,9.83,6,..,0.2,2.82,0,21.32,0.02,29,4,86,2.92,1.76,26,0.9,13.04,19,1.56,1.01,-1.02,-0.6,3,24.1,-0.96,7,7.55,20.25,..,..,0.04,8.12,3,1.94,0.41,100,..,83.29,16,80.13,0.89,328,2.05,..,31.9
63,EGY,Egypt,..,69,..,8,5.06,4.58,13.27,0,0.33,86.37,1.85,..,..,..,..,2.18,0.02,2.18,4.09,7.94,0.27,22.07,3.3,0,74,3.19,1.16,0,170000,1.61,4574.16,1.4,88.68,6,36.77,0,3.87,0,94.58,49.62,39,3,98,0.48,..,5.7,0.31,15.22,..,0.06,0.11,-0.29,0.09,6,34.33,-0.32,-5.2,8.8,6.21,..,..,0.77,10.42,0,2.71,0.4,94,39,..,16,93.59,0.76,498.7,2.1,..,..
64,SLV,El Salvador,70.5,..,..,65,95.14,0,1.48,25.81,0.62,0.02,11.19,..,..,..,..,3.4,0.92,1.67,0.7,0.6,0,19.65,-4.6,0,48,2.97,1.72,0,..,1.18,1108.7,4.9,0,4,0,0,4.4,0,36.89,13.52,39,14,82,8.82,1.23,2,0.75,17.39,46.33,1.25,..,-0.54,-0.46,2.5,31.07,-0.53,7,3.57,31.34,..,..,0,8.71,0,2.05,0.38,100,17.53,46.67,11,31.41,0.74,164.71,1.07,..,17.33
65,GNQ,Equatorial Guinea,..,..,..,83,0,1.83,8.7,7.14,0.71,0.19,0.01,..,..,..,..,..,..,..,..,..,0,..,-0.6,0,132,5.89,..,..,..,..,0,..,..,..,0,0,..,0,..,..,152,..,44,..,0.01,16.8,..,..,..,0,..,-1.89,0.79,6.5,..,-1.37,-5,0.24,0.04,..,..,0,..,0,..,0.2,100,2.71,..,5,23.08,0.51,77.9,0.45,..,..
66,ERI,Eritrea,..,..,..,97,57.31,2.19,10.71,0,0.59,14.17,0.05,..,..,..,..,1.63,..,..,..,..,0,..,-0.3,0,137,5.74,0.81,..,..,..,200,0.1,0,..,..,0,..,0,..,..,89,61,57,0,0.76,4.1,0.59,..,..,0,..,0.04,1.15,6.5,..,-0.44,-7.2,2.37,0,..,..,0,..,0,..,0.13,59,1.65,..,5,44.87,0.29,271.33,..,..,..
67,EST,Estonia,22.67,2,33.73,8,100,1.41,7.69,0,0.44,4.18,3.97,10.08,..,0,..,12.88,2.97,1.01,3.35,0.6,0.33,13.2,0.6,0,-23,1.41,5.37,0,7540480,..,622.68,0.5,2.74,4,0,51.63,4.77,0,0.77,1.42,12,4,..,0,..,19.6,0.95,28.26,55,1.47,21.35,0.66,0.8,1.5,44.57,0.78,6,9.88,0.09,..,..,4.45,10.46,0,3.38,0.67,95,57.55,1946.7,6,16.03,0.64,840.85,12.63,91.7,29.1
68,ETH,Ethiopia,..,..,..,97,44.92,2.56,13.73,14.29,0.59,18.49,0.07,..,..,..,..,2.51,0.55,0.17,0.01,0.4,0,0.11,-0.8,0,139,5.9,0.67,0,..,0.15,125.95,0.1,26.29,..,..,0,3.64,0,..,..,171,42,22,286.74,0.11,16.4,0.85,23.91,..,0.01,..,-0.35,-0.44,5,24.21,-0.89,1,1.28,30.47,..,..,0,9.22,0,1.36,0.1,74,1.58,..,10,58.33,0.52,204.44,0.09,..,24.83
69,FRO,Faeroe Islands,..,..,..,..,0,..,..,..,..,1.38,2.35,..,..,..,..,..,..,..,..,..,0,..,..,0,15,2.54,..,..,..,..,..,..,..,6,..,0,..,0,..,..,..,..,..,..,..,0,..,..,..,0,..,..,..,..,..,..,..,..,7.4,..,..,0,..,0,..,..,..,..,..,0,..,0,..,14.2,..,..
70,FLK,Falkland Islands,..,..,..,..,0,..,..,..,..,83.73,0,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,12.27,..,..
71,FJI,Fiji,..,..,..,..,0,17.57,125,50,0.52,2.12,0,..,..,..,..,..,..,..,..,..,0,5.49,-0.2,0,18,3.26,..,..,..,..,500,1.4,..,3,0,0,..,0,6.43,16.9,21,..,..,..,1.06,1.4,..,43.48,..,3.65,..,0.12,1.33,3.5,..,0.06,6.1,4.01,32.32,..,..,0.22,..,0,..,0.43,100,..,..,5,21.79,0.48,92.31,0.89,..,18
72,FIN,Finland,24,3,18.92,0,1.16,1.21,6.67,0,0.29,40.46,2.56,10.97,53.14,0.01,1.14,18.01,0.42,1.56,0.5,1.07,1.07,16.23,..,1.19,-8,1.75,7,89,1203000,0.68,1355.55,0.6,2.14,4,0,100,5.51,4,0.46,0,5,1,100,0,0,8.9,1.84,4.35,23.33,0.96,58.28,2.39,1.99,1,59.5,2.01,10,8.56,16.95,0.89,1.62,7.78,14.71,4,5.71,0.79,99,45.5,7110.45,20,92,0.92,88.87,13.05,85.24,26.71
73,FRA,France,51,8,24,0,93.24,1.86,19.35,8.33,0.42,4.37,10.99,10.18,321.57,0.17,3.24,4.11,1.67,3.26,1.54,4.64,0.99,73.41,0.4,18.84,7,1.89,5.74,55,9000000,1.17,2264.87,4.5,19.47,5,..,22.55,5.17,6,1.08,0.4,6,1,..,0.09,0.24,11.3,1.72,8.7,28.33,0.66,1.16,1.45,1.33,1,52.65,1.67,9,6.51,5.95,0.46,0.27,1.46,12.46,4,3.92,0.72,97,53.58,2717.85,29,32,1,55.81,6.91,609.85,30.17
74,GUF,French Guiana,..,..,..,..,0,..,..,2.97,..,89.58,0.19,..,..,..,..,..,..,..,..,..,0,6.56,0,0,95,3.9,..,..,..,..,..,..,..,1,..,0,..,0,..,..,..,..,84,..,..,16.4,..,..,..,..,..,0.84,-0.43,..,..,0.82,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
75,PYF,French Polynesia,..,..,..,..,0,..,..,..,..,3.82,0,..,..,..,..,..,..,..,..,..,0,..,0,0,40,2.49,..,..,..,..,4000,..,..,2,..,0,..,0,..,..,..,..,100,..,0.11,0.3,..,67.39,..,0,..,..,..,..,..,..,..,..,10.96,..,..,0,..,0,..,..,..,..,..,0,..,0,31.66,..,..,61.76
76,ATF,French Southern Territories,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
77,GAB,Gabon,..,..,..,34,0,1.07,7.37,2.41,0.64,80.78,0.07,..,..,..,..,192.75,45.89,0.11,0.11,0.96,0,0.7,..,0,84,4.3,1.87,0,..,0.01,9.23,..,0,3,..,0,..,0,..,..,91,7,87,0,..,3.4,1.13,32.61,..,0.76,0.76,-0.55,-0.27,4.5,..,-0.45,-4,4.18,23.27,..,..,0,..,0,..,0.34,92,7.97,..,13,18.59,0.46,177.35,2.78,..,..
78,GMB,Gambia,..,..,..,98,100,0.71,2.56,0,0.6,0,4.15,..,..,..,..,7.98,0.32,..,0.11,..,0,0.88,1,0,169,5.61,1.01,0,200000,0.09,32,0.1,0.67,5,..,0,4.03,0,..,..,126,27,82,2.09,..,3.2,0.75,..,..,0.72,..,-0.83,-0.5,4,38.82,-0.81,-5.2,1.65,0,..,..,0,11.96,0,1.48,0.13,88,..,..,6,36.54,0.73,153.29,0.21,..,13.97
79,GEO,Georgia,..,..,..,71,100,..,12.15,8.33,0.55,0.46,2.21,..,..,..,..,8.1,0.01,0.31,3.62,0.67,0,4.53,0,0,-32,1.42,0.85,..,92800,..,528.3,..,50.72,3,..,0,..,0,1.06,8.67,29,26,76,0.9,0.13,4.3,0.79,41.3,55.33,0.39,..,-1.03,-1.17,4,..,-0.77,5.8,15.37,29.01,..,..,0,..,0,..,0.37,92,34.53,2420.78,2,92.95,0.56,471.12,1.17,9,..
80,DEU,Germany,34.72,5.02,31.95,0,99.02,2.09,14.47,0,0.37,0.07,12.29,10.07,863.3,0.16,..,2.53,0.21,4.49,2.23,4.5,8.38,132.41,0,51.88,-9,1.3,4.26,83,15532000,3.83,2211.39,2.3,1.79,5,0,64.47,4.87,3,0.2,0,5,1,100,0.01,0.42,31.7,1.69,10.87,71.67,0.28,24.75,1.82,1.73,1,59.74,1.76,10,6.04,3.54,0.64,0.94,1.86,13.91,4,4.36,0.74,97,46.3,3153.01,28,96,1,79.76,10.57,649.91,25.85
81,GHA,Ghana,..,..,137,95,99.3,1.51,6.31,14.08,0.65,0.98,0.93,6.8,..,..,4.55,3.03,2.14,0.29,0.17,2.21,0,0.91,-1.7,0,85,4.45,1.23,0,..,0.27,27.57,0.1,0,6,0,0,4.1,0,..,..,97,12,79,0.6,0.21,15.4,0.46,19.57,..,0.25,0.15,-0.4,-0.15,2.5,35.2,0.01,2.9,3.08,47.2,..,..,0.02,12.26,0,1.69,0.16,84,3.3,..,12,73.08,0.73,201.67,0.3,..,..
82,GIB,Gibraltar,..,..,..,..,100,..,..,0,..,14.29,0,..,..,..,..,..,..,..,..,..,0,3266.87,..,0,-11,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,7.96,..,..
83,GRC,Greece,58.8,13.16,58.79,0,100,2.79,13.68,20,0.55,0.71,11.21,11.3,385.96,0.39,..,4.47,0.94,2.52,3.79,2.4,3.06,35.64,0.9,2.77,-12,1.34,4.78,35,287000,1.22,1544.12,2.8,56.85,5,..,0,..,5,0.02,1.05,5,1,..,0.11,0.2,3.2,1.28,15.22,42,0.66,3.67,0.58,0.79,1.5,39.66,0.79,10,6.57,2.68,0,-0.63,0.45,10.41,4,3.02,0.66,97,62.67,1400.06,16,20,0.85,175.77,9.67,485,30.58
84,GRL,Greenland,..,..,..,..,0,..,..,..,..,99.97,0,..,..,..,..,..,..,..,..,..,0,8.85,..,0,0,2.45,..,..,..,..,..,..,..,3,..,0,..,0,..,..,..,..,..,..,..,0,..,..,..,17.54,..,..,..,..,..,..,..,..,0,..,..,..,..,0,..,..,..,..,..,1,..,0.07,..,9.92,..,..
85,GRD,Grenada,..,..,..,..,0,..,..,33.33,..,2.03,11.34,..,..,..,..,..,..,..,..,3.08,0,61.51,0.9,0,-3,2.08,..,..,..,..,..,..,..,2,..,0,..,0,..,..,25,..,95,..,..,1.9,0.89,..,..,0,..,0.71,-0.84,1.5,..,0.38,..,3.78,0,..,..,0,..,0,..,0.51,84,..,..,4,46.15,0.32,153.79,2.63,..,18.37
86,GLP,Guadeloupe,..,..,..,..,0,..,..,60,..,0,44.83,..,..,..,..,..,..,..,..,..,..,84.94,2.1,0,19,2.2,..,..,..,..,..,..,..,5,..,0,..,0,..,..,..,..,98,..,1,33.4,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
87,GUM,Guam,..,..,..,..,100,..,..,..,..,0,71.15,..,..,..,..,..,..,..,..,..,0,173.46,0,0,46,2.64,..,..,..,..,..,..,..,2,..,0,..,0,..,..,..,..,100,..,1,2.2,..,71.74,..,0,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
88,GTM,Guatemala,69.33,..,272.33,73,49.3,1.31,2.8,54.81,0.74,7.98,2.41,..,..,..,..,15,2.66,0.44,0.75,1.07,0.05,6.75,-1.7,0,115,4.38,1.3,5,..,0.13,1345.18,0.8,0.14,4,0.26,17.08,3.98,0,..,..,49,25,95,5.71,2.04,25.3,0.79,19.57,..,1.08,..,-0.71,-0.84,4,24.44,-0.61,7.5,3.29,17.2,..,..,0.04,8.45,0,1.74,0.38,100,..,..,13,83.97,0.71,151.66,0.87,..,28.01
89,GIN,Guinea,..,..,..,99,100,2.44,6.32,6.94,0.6,0.11,0.11,..,..,..,..,19.29,4.11,0.08,0.07,0.71,0,0.15,-0.5,0,231,6.01,1.22,5,..,..,35.96,0.1,0,4,..,0,..,0,..,..,165,28,51,0.1,0.19,4.3,1.08,34.78,..,0.13,..,-0.58,-0.75,5.5,..,-0.78,-0.8,1.37,21.41,..,..,0,..,0,..,0.1,67,..,..,11,41.03,0.61,77.93,0.16,..,17.26
90,GNB,Guinea-Bissau,..,..,..,95,100,0,2.78,0,0.59,4.59,0.22,..,..,..,..,21.84,9.1,0.13,0.19,0.83,0,..,-0.9,0,207,7.1,1.05,..,..,..,80,0.1,0,2,..,0,..,0,..,..,211,..,59,0,..,..,..,..,..,4.15,..,-0.61,-1,4.5,..,-1.35,4.2,4.84,0,..,..,0,..,0,..,0.1,78,..,..,6,56.41,0.5,286.28,0.19,..,..
91,GUY,Guyana,..,..,..,..,0,0.29,6.74,5.22,0.69,85.12,0.12,..,..,..,..,299.98,..,0.78,..,1.06,0,0.59,-0.3,0,-34,2.38,..,..,..,..,270.83,..,0,4,..,0,..,0,97.25,12.55,72,14,83,0,..,2.3,0.51,..,..,0,1.31,-0.5,-0.43,2,..,-0.32,6,6.79,0.35,..,..,0.92,..,0,..,0.43,100,..,..,8,38.46,0.49,613.14,2.11,..,18.29
92,HTI,Haiti,..,..,..,82,63.62,18.67,133.33,92,0.68,0.2,1.39,..,..,..,..,1.55,0.27,0.3,0.34,1.79,0,5.76,-5.7,0,97,4.7,0.62,..,..,..,178.51,..,9.47,3,..,0,2.78,0,..,..,123,49,71,13.35,0.96,0.3,0.89,28.26,..,0,..,-1.7,-1.76,6,15.3,-1.56,1.4,1.87,10.23,..,..,0,7.97,0,1.37,0.15,70.44,..,..,6,27.56,0.45,135.63,0.18,..,..
93,HMD,Heard Island and McDonald Islands,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
94,VAT,Holy See,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,1,..,0,..,..,..,..
95,HND,Honduras,29.5,..,320,66,87.27,1.18,5.78,45.69,0.65,15,1.44,..,..,..,..,18.71,5.55,0.14,0.15,1.31,0.03,0.81,-1,0,109,4.1,1.54,..,..,0.32,1418.54,2.5,0,3,..,0.69,2.97,0,..,..,42,20,90,145.74,1,20.8,1.03,21.74,..,0.74,0.88,-0.78,-0.79,3,26.38,-0.73,7.4,5.38,22.38,..,..,0.11,8.11,0,1.76,0.29,100,14.73,..,9,77.56,0.43,284.26,0.74,..,19.42
96,HKG,Hong Kong,..,..,..,0,..,..,..,16,..,0.37,62.44,8.84,178.67,..,..,..,..,..,..,..,189,468.47,..,0,38,0.93,..,..,..,..,..,..,..,..,..,0,4.61,0,0.25,0.93,..,0,..,..,1.98,..,2.41,52.17,..,0,..,1.52,-0.79,..,42.04,1.44,..,4.41,0,0.08,-0.15,1.49,11.7,4,2.86,0.79,100,24.62,..,1,..,0,53.67,4.86,..,16.72
97,HUN,Hungary,45.85,9,40.7,5,100,3.9,10.84,0,0.44,0.12,11.13,5.5,711.71,0.12,..,11.61,0.6,2.19,5.31,1.87,1.52,31.1,0.4,4.93,-25,1.27,3.26,38,3413032,1.28,700.39,1.1,0,..,..,10.25,4.4,6,0.13,0,9,0,99,0.04,0.13,8.9,1.54,2.17,59.67,0.59,0.89,0.6,0.9,1.5,41.18,0.78,10,7.33,0.26,..,-0.31,4.68,9.58,4,2.76,0.63,96,40.01,1439.68,8,22.44,0.75,271.77,8.3,400.48,29.52
98,ISL,Iceland,29,2,29.15,..,0,0,63.64,..,0.11,86.88,0.41,..,..,..,..,301.37,82.19,8.76,3.85,2.8,1.32,63.08,2.2,0,22,1.99,..,..,13408,0.08,30285.71,0.9,0.24,7,..,0,5.68,7,0.8,0,4,1,100,0,0.07,4.7,1.9,21.74,42.67,7.04,130.28,2.19,2,1,55,1.98,..,15.61,70.73,..,..,0.36,12.86,0,3.7,0.82,92,48.66,6639.29,5,..,0.64,67.69,7.69,27,19.62
99,IND,India,29.68,27.55,277.45,81,93.7,7.78,27.22,28.21,0.73,3.82,4.63,6.43,2240.7,0.2,1.83,1.94,0.39,0.52,1.15,3.19,2,4.08,0.1,0,50,3.06,0.76,14.5,..,0.88,1073.24,0.3,80.37,6,..,0,3.65,1,..,..,90,21,86,2.81,0.79,5.2,1.08,15.22,33.33,0.02,0.01,-0.25,0.07,2.5,34.13,-0.13,9.8,4.73,5.23,..,..,0.22,10.49,4,2.06,0.32,100,10.49,..,18,42.95,0.82,621.43,1.05,340,13.03
100,IDN,Indonesia,..,..,271,63,69.59,7.45,32.17,9.71,1,39.95,1.33,3.31,167.13,0.57,5.37,11.5,2.08,0.81,0.36,1.65,0.75,5.01,-1.2,8.15,41,2.57,0.98,30,17131,0.34,1231.02,0.1,1.02,4,9.82,0.09,3.54,0,..,..,43,6,78,1.01,0.68,12.5,0.44,15.22,..,0,0.04,-1.16,-0.8,3.5,34.58,-0.56,-0.2,6.18,3.87,0,-0.01,0.36,10.24,3,2.08,0.34,100,14.58,..,12,49.36,0.7,351.54,1.28,132,18.66
101,IRN,Iran,..,209,248,2,7.6,4.02,15.71,21.05,0.47,18.4,1.8,..,..,..,..,1.49,0.73,0.12,0.49,0.98,0.04,0.94,0,0,43,2.5,1.85,..,167812,1.16,925.22,0.3,87.3,4,12.86,0,..,0,..,..,41,5,93,2.2,0.74,6.5,0.11,21.74,..,0.06,0.03,-0.38,-0.58,6,..,-0.46,0.4,12.68,1.38,..,..,0.22,..,0,..,0.43,86,9.91,..,12,7.69,0.81,802.44,4.67,..,31.98
102,IRQ,Iraq,..,..,..,2,0.27,6.4,13.58,16.67,0.43,9.51,2.08,..,..,..,..,3.34,0.05,0.31,0.58,2.88,0,2.36,0,0,124,5.01,..,..,..,0.28,576.35,0.1,86.21,7,..,0,..,0,..,..,125,27,81,0,0.47,0,0.03,43.48,..,0,..,-1.43,-1.7,7,..,-1.64,-9,..,0.51,..,..,0,..,0,..,..,100,13.57,..,11,..,0,..,3.29,..,..
103,IRL,Ireland,70,6.69,24.75,0,0,0.7,24,0,0.28,0.1,8.23,10.9,457.1,0.08,..,13.72,2.66,1.9,1.99,1.48,1.14,25.48,3,54.16,16,1.98,4.97,35,491669,0.99,4949.84,2,0,5,0,66.46,4.26,6,0.27,0.89,6,1,100,0.04,..,1.3,1.48,15.22,65,0.77,7.4,1.67,1.72,1,41.98,1.62,10,4.16,1.94,0.18,-0.63,0.75,11.8,4,3.48,0.69,100,47.53,2190.03,14,48,0.94,108.76,12.02,131,20.22
