,Code,Country,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,GDP_pc_ppp,Landarea,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,Safety_score,Arrivals,CCH_2008,average_EPI,average_HLT,average_BDH,average_ECO,average_CCE,Rural_eco_rating,Urban_eco_rating
12,SVK,Slovakia,74.5,84.5,64.41,100.0,45.2,86.0,99.1,72.9,53.5,71.2,79.1,96.4,45.8,"$14,500",48985.49,66.62,94.39,54.72,84.47,36.18,74.45,87.89,65.48,84.33,72.48,85.42,83.77,87.07,100.0,90.78,70.6,63.87,75.08,94.31,74.21,68.3,64.3,70.9,85.0,71.9,1.499,,56.7,76.91,82.83285714285714,80.42,72.64,70.96166666666666,77.29875000000001,78.91536428571428
13,GBR,United Kingdom,74.2,89.82,58.66,70.48,51.82,86.3,99.4,73.2,47.2,74.6,85.6,98.9,58.8,"$29,600",244840.71,68.82,98.07,56.29,100.00,33.46,77.35,98.61,63.18,70.11,54.24,87.38,93.85,80.92,98.98,84.53,79.89,96.03,69.13,96.69,63.06,81.3,91.7,74.3,88.0,90.0,1.667,36316000.0,69.7,81.71714285714283,95.47285714285715,75.75142857142858,69.89833333333334,69.70833333333333,73.75720714285715,86.97056428571429
14,NZL,New Zealand,73.4,90.75,55.97,65.73,38.71,88.9,99.0,78.8,61.9,71.1,88.0,97.9,73.5,"$23,200",269798.3,66.05,95.03,53.62,74.43,44.57,76.41,87.92,68.74,76.05,62.94,88.0,97.81,78.19,92.75,83.69,75.96,95.96,62.63,91.84,55.78,71.3,88.0,60.2,84.0,61.5,1.269,3686000.0,78.55000000000001,80.28142857142858,93.9057142857143,77.96714285714286,67.42166666666667,62.28666666666667,72.79258571428572,83.47142857142859
15,CHL,Chile,73.3,81.28,65.4,40.94,60.74,83.4,93.3,73.6,42.7,78.4,78.9,87.2,68.4,"$10,700",757751.37,55.34,84.84,42.70,57.05,46.30,69.93,89.42,56.94,60.16,35.92,77.67,93.23,62.11,75.15,40.29,57.49,73.73,46.66,69.79,37.37,55.3,63.4,49.8,65.3,54.3,1.84,5723000.0,69.15,70.8557142857143,83.08,60.34857142857144,59.08500000000001,51.169999999999995,57.31964285714287,72.5497
16,DEU,Germany,73.2,90.75,55.7,100.0,49.62,86.3,99.4,73.3,48.2,76.2,79.4,98.7,21.2,"$28,700",357053.7,66.91,98.99,53.16,100.00,30.05,80.47,92.83,72.23,100.0,62.77,84.26,84.66,83.87,100.0,78.19,78.37,88.68,71.5,96.92,55.47,77.2,89.6,68.9,88.8,71.5,1.462,38881000.0,69.8,79.88571428571429,92.08857142857143,79.30285714285715,70.91666666666667,65.625,74.78916428571429,83.35559285714285
17,ITA,Italy,73.1,90.87,55.24,72.37,47.97,84.2,98.6,69.8,16.5,74.5,79.8,95.3,48.7,"$27,700",300906.2,68.90,100.00,55.57,94.79,38.36,74.36,81.46,69.63,79.77,63.41,84.48,82.83,86.14,98.96,79.35,76.96,85.88,71.02,94.1,65.14,71.0,85.5,61.3,75.6,68.1,1.643,61567200.0,67.75,77.7,88.63428571428571,69.42857142857143,68.855,66.41166666666668,68.43299285714286,81.30082142857142
18,PRT,Portugal,73.0,87.57,58.4,57.97,49.85,85.8,98.4,73.1,33.7,72.9,82.9,97.4,54.6,"$17,900",92013.56,57.64,93.05,42.46,66.16,43.23,75.8,98.24,60.84,64.36,80.68,88.63,96.55,80.7,95.78,90.82,71.91,90.47,59.53,91.41,56.89,67.0,83.4,56.1,73.0,63.3,1.301,16186000.0,64.6,77.86285714285714,93.14714285714285,67.25999999999999,64.77833333333335,69.07333333333334,67.8584,85.20278571428571
19,JPN,Japan,72.5,90.18,54.9,63.16,48.28,84.5,98.3,70.8,37.3,70.5,81.9,97.6,70.4,"$29,400",373154.11,63.36,98.07,48.48,67.12,30.55,72.35,94.66,57.48,73.53,43.54,80.59,86.59,74.58,93.25,59.22,74.69,92.99,62.48,90.34,45.08,75.1,90.3,65.1,76.6,69.5,1.336,31192000.0,66.15,77.37571428571428,92.94571428571429,72.08285714285715,64.22333333333334,56.02,66.7821142857143,80.76022857142857
20,LVA,Latvia,72.5,75.05,69.98,76.29,55.55,88.8,95.2,82.4,42.4,86.9,,,,,64385.35,70.37,73.81,68.90,96.97,56.32,64.05,80.52,53.07,95.17,53.27,85.71,91.0,80.42,97.81,83.19,66.12,72.8,61.66,92.05,42.89,61.6,58.0,64.0,86.7,67.7,1.673,1946000.0,,73.13000000000001,78.76166666666667,81.73666666666666,68.58833333333332,64.91666666666666,76.18606666666668,74.19281666666667
21,CZE,Czech Republic,71.6,86.87,56.37,100.0,41.91,,,,,,,,,,78778.88,64.79,96.02,51.41,84.12,21.72,81.47,90.63,75.35,98.35,65.82,84.67,80.81,88.53,100.0,91.23,67.68,68.69,67.01,94.96,54.65,71.0,68.3,72.9,85.7,76.3,1.318,10611000.0,,75.284,79.06,95.80199999999999,72.032,65.982,85.9614,74.74426000000001
22,ALB,Albania,71.4,69.93,72.92,77.02,68.97,84.0,89.3,78.6,4.0,93.4,68.9,77.7,22.2,"$4,900",29000.15,65.85,82.19,58.85,61.72,85.85,54.73,72.63,42.8,63.19,85.74,74.38,84.74,64.03,54.12,91.01,65.46,65.67,65.32,75.37,68.36,49.0,44.5,52.0,68.2,56.8,1.761,5340000.0,45.0,66.83857142857143,72.06714285714285,52.01428571428571,62.61166666666667,77.38000000000001,60.38497142857143,73.82038571428572
23,PAN,Panama,71.4,71.75,70.99,71.28,58.68,83.1,86.4,79.8,64.2,78.0,76.5,75.6,83.2,"$6,900",75796.79,57.94,57.09,58.31,84.81,58.62,56.84,68.6,48.99,86.96,52.82,78.0,86.15,69.85,87.93,72.34,62.71,66.96,59.87,86.0,54.32,47.3,50.4,45.2,60.4,50.3,1.876,1785000.0,64.05,67.97857142857143,72.26571428571428,77.13857142857144,62.449999999999996,61.076666666666675,71.83814285714287,68.57332857142858
24,ESP,Spain,70.6,88.71,52.52,57.22,46.11,83.1,98.2,68.1,28.7,73.7,79.2,97.0,62.1,"$23,300",506659.44,60.31,98.99,43.73,74.19,39.52,79.79,97.63,67.89,56.56,81.84,88.91,94.57,83.24,96.73,81.83,78.39,94.21,67.85,95.66,67.77,74.3,86.8,66.0,87.6,71.2,1.603,82773000.0,63.6,79.1842857142857,93.8742857142857,69.22428571428573,67.60000000000001,70.40833333333333,69.61502142857144,86.13052142857143
25,BLZ,Belize,69.9,67.58,72.28,96.81,63.62,71.7,81.3,62.2,89.2,39.6,,,,,,,,,,,50.46,79.76,30.93,98.58,2.59,73.55,83.39,63.71,99.03,,57.79,65.09,52.93,93.47,45.03,41.9,40.3,43.0,87.9,37.7,,489000.0,,60.88333333333333,69.57000000000001,94.165,54.175000000000004,37.708000000000006,75.53419000000001,59.05554000000001
26,ATG,Antigua and Barbuda,69.8,83.21,56.38,27.61,61.88,,,,,,,,,,,,,,,,48.89,81.6,27.08,60.92,8.41,62.55,88.43,36.67,77.19,,59.18,76.53,47.61,88.49,11.26,48.5,55.5,43.8,55.7,58.5,,269000.0,,57.784000000000006,77.054,61.98199999999999,42.30800000000001,35.0125,53.08206499999999,63.180305000000004
27,SGP,Singapore,69.6,89.18,50.09,44.24,48.57,,,,,,,,,,671.15,56.36,100.00,37.65,34.06,28.26,81.78,99.44,70.01,46.33,86.85,87.04,89.35,84.74,72.26,95.44,64.23,72.14,58.96,21.46,67.64,58.1,85.0,40.2,20.9,40.2,1.326,14673000.0,,72.15,87.022,41.038,60.8,67.74,49.84966,80.65894
28,ECU,Ecuador,69.3,75.77,62.92,82.92,55.43,84.4,91.7,77.0,79.6,80.1,75.5,78.2,64.6,"$3,700",258165.72,60.55,72.14,55.59,93.91,52.65,58.54,73.44,48.62,88.09,54.66,66.58,85.61,47.55,88.91,44.23,57.42,72.58,47.31,84.08,46.8,51.0,50.2,51.5,77.3,60.2,1.988,2535000.0,72.35,66.10571428571428,75.35714285714286,80.78571428571429,55.81666666666667,56.90333333333333,72.90452857142857,69.26738571428572
29,PER,Peru,69.3,61.34,77.21,52.81,70.2,78.1,78.3,77.9,58.1,87.1,65.4,64.8,57.4,"$5,600",1293936.3,50.29,45.70,52.25,74.04,67.30,45.05,55.85,37.84,70.36,16.71,72.95,78.39,67.51,84.59,33.92,61.92,56.49,65.53,83.52,58.04,44.0,45.1,43.2,59.5,41.3,2.091,4419000.0,70.65,62.38857142857143,62.89571428571429,66.61142857142856,61.531666666666666,51.21166666666667,61.52950714285714,59.03997857142858
30,DNK,Denmark,69.2,89.82,48.49,52.71,46.15,84.0,99.3,68.7,13.9,81.8,84.2,98.5,41.0,"$32,200",43010.15,63.61,98.99,48.44,61.32,34.91,76.92,97.61,63.12,67.74,67.22,89.21,94.29,84.12,97.6,88.67,81.6,98.2,70.53,94.48,67.56,82.5,91.7,76.4,81.7,95.0,1.296,12749000.0,71.7,81.09,95.63142857142859,64.16142857142857,68.56,74.39999999999999,67.54015714285714,88.62505714285714
31,HUN,Hungary,69.1,82.66,55.57,49.97,51.34,84.2,98.4,70.1,10.5,79.4,77.1,94.2,47.7,"$14,900",92967.37,57.12,93.79,41.40,30.12,37.87,70.28,88.98,57.81,29.57,66.87,84.6,81.89,87.3,100.0,91.08,65.01,57.67,69.9,91.7,61.68,63.7,54.1,70.0,82.0,71.3,1.411,17552000.0,62.400000000000006,73.42714285714285,79.7,58.777142857142856,68.44666666666666,70.27833333333334,62.57253571428572,76.59085000000002
32,SLV,El Salvador,69.1,68.89,69.26,18.01,75.73,77.2,81.8,72.6,4.3,88.5,63.0,64.1,18.9,"$4,900",20463.38,52.08,59.43,48.94,39.13,67.44,43.79,65.62,29.23,24.53,58.24,68.07,77.25,58.88,76.43,78.71,53.91,63.99,47.19,69.06,63.47,43.1,42.5,43.5,35.8,62.8,2.231,1677300.0,62.5,59.738571428571426,66.30714285714285,35.290000000000006,53.44333333333333,71.24166666666666,47.154050000000005,67.9355357142857
