,Code,Country,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,GDP_pc_ppp,Landarea,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,Safety_score,Arrivals,CCH_2008,average_EPI,average_HLT,average_BDH,average_ECO,average_CCE,Rural_eco_rating,Urban_eco_rating
53,SVN,Slovenia,65.0,84.98,44.93,51.14,41.37,86.3,97.8,74.8,36.5,77.2,77.5,97.3,23.5,"$19,600",20265.26,62.25,88.05,51.20,76.88,35.20,76.43,91.37,66.47,100.0,54.59,88.98,88.32,89.65,100.0,82.2,67.57,72.34,64.4,95.78,51.16,72.0,68.9,74.1,86.4,75.2,1.316,4425000.0,64.35,76.25428571428571,85.85857142857142,70.4742857142857,69.05833333333334,63.62,68.21237142857143,78.51984285714286
54,EST,Estonia,63.8,76.85,50.76,88.53,36.0,85.2,97.7,72.7,72.4,61.8,,,,,45257.38,56.09,70.48,49.92,100.00,16.45,74.66,89.12,65.02,100.0,56.71,88.59,95.26,81.91,100.0,76.58,64.31,73.24,58.35,92.39,33.62,65.3,73.0,60.1,87.0,59.0,1.662,3234000.0,,73.64333333333333,84.19500000000001,90.05333333333333,64.80666666666667,53.95166666666666,78.13978333333333,74.21470000000001
55,LKA,Sri Lanka,63.7,45.84,81.59,73.99,79.71,79.5,78.8,80.3,62.6,85.6,64.6,61.3,56.6,"$4,000",66264.46,55.72,66.54,51.08,49.72,67.80,53.88,67.49,44.8,67.7,54.62,65.55,71.07,60.02,81.98,91.12,60.61,64.7,57.88,80.38,70.88,39.0,42.1,36.9,61.1,31.0,2.02,2334000.0,67.65,60.97714285714286,61.614285714285714,69.19285714285715,60.24833333333333,68.82166666666667,69.0703642857143,63.992721428571436
56,GEO,Georgia,63.6,72.14,55.15,26.85,54.38,82.2,88.4,75.9,18.6,92.7,61.4,61.8,31.8,"$3,100",69889.8,56.84,75.44,48.88,28.36,66.79,47.23,73.12,29.97,29.59,45.43,64.96,78.12,51.81,70.31,51.28,55.69,57.1,54.75,62.33,48.41,41.3,38.7,43.1,46.2,50.1,2.065,4757000.0,45.7,59.48285714285714,67.05428571428571,40.81142857142857,51.78000000000001,57.05000000000001,46.17015714285715,63.75287142857143
57,PRY,Paraguay,63.5,58.07,68.96,53.04,72.48,77.7,73.3,82.1,58.5,94.2,66.4,63.7,43.8,"$4,800",401294.15,52.40,52.18,52.50,21.29,89.49,39.25,59.03,26.07,31.2,44.09,70.36,81.14,59.58,78.94,68.1,53.93,58.1,51.15,64.02,54.05,46.4,46.8,46.2,62.8,40.9,1.976,1181000.0,61.900000000000006,59.64857142857143,62.877142857142864,56.042857142857144,55.676666666666655,62.303333333333335,58.10881428571429,62.687785714285724
58,USA,United States of America,63.5,88.3,38.65,65.92,29.37,,,,,,,,,,9325028.98,56.59,94.47,40.36,71.76,17.73,67.52,92.74,50.71,63.35,56.45,84.72,94.41,75.03,79.35,80.88,71.19,93.91,56.04,70.93,45.81,69.3,82.8,60.3,67.5,71.4,2.44,,,71.246,90.432,69.41,56.145999999999994,56.782,65.24276,79.3275
59,BRA,Brazil,63.4,71.63,55.19,61.31,46.44,82.7,86.9,78.4,53.9,83.3,77.0,79.3,50.5,"$8,100",8536317.62,60.90,62.07,60.40,76.76,71.64,52.97,72.22,40.13,66.74,53.82,78.9,87.14,70.67,92.62,56.41,60.7,67.44,56.21,88.17,33.24,51.2,49.7,52.2,78.1,51.7,2.465,6621000.0,72.3,66.69571428571429,73.47571428571428,70.19142857142857,58.79999999999999,54.151666666666664,64.89830714285715,67.09877857142857
60,POL,Poland,63.1,75.19,51.03,80.44,45.93,80.5,93.6,67.4,48.4,62.7,76.2,95.0,29.2,"$12,000",311370.35,63.47,89.22,52.43,98.81,25.91,69.53,76.25,65.05,91.76,60.53,81.26,80.54,81.98,99.76,88.91,64.11,58.71,67.72,96.37,64.33,60.9,58.9,62.3,89.0,65.4,1.552,19622000.0,54.35,70.8,76.88428571428571,76.41857142857144,65.91333333333334,64.63333333333333,72.52944285714287,72.84147142857142
61,VEN,Venezuela,62.9,79.13,46.67,78.19,47.24,80.0,88.5,71.6,74.9,68.4,74.1,81.8,88.0,"$5,800",917025.5,55.62,71.03,49.02,88.14,37.33,57.8,72.83,47.79,92.92,43.59,76.23,81.21,71.24,95.73,70.24,63.89,75.74,55.99,96.21,37.8,50.3,46.5,52.9,75.1,63.3,2.798,,54.5,66.46000000000001,75.10142857142857,85.86428571428573,57.69833333333333,55.095000000000006,75.71042142857144,68.49930714285715
62,BGR,Bulgaria,62.5,73.21,51.85,66.94,39.92,78.5,94.7,62.2,21.3,63.3,72.0,93.7,30.9,"$8,200",111464.48,56.28,92.16,40.90,57.25,29.55,64.01,86.57,48.97,68.85,48.18,83.4,85.18,81.62,88.98,77.03,67.85,69.6,66.68,93.39,56.04,57.0,50.3,61.5,77.7,69.5,1.541,9273000.0,38.45,69.32285714285715,79.03714285714285,64.00857142857143,62.13666666666668,58.995000000000005,62.35409285714286,72.42323571428571
63,ISR,Israel,62.4,92.11,32.75,72.76,32.37,79.6,97.9,61.3,62.7,60.5,73.7,95.9,47.3,"$20,800",22468.13,54.64,97.59,36.23,60.89,27.21,65.78,92.57,47.93,39.34,41.86,78.14,79.43,76.85,71.29,82.23,75.01,94.14,62.25,59.33,57.09,65.8,83.6,54.0,47.6,56.9,2.576,4121000.0,62.8,71.49,90.80714285714286,57.18857142857143,55.846666666666664,55.15833333333334,56.51859285714286,79.04303571428572
64,THA,Thailand,62.2,65.58,58.73,79.77,52.97,79.2,85.5,72.8,55.7,71.1,66.8,71.0,60.2,"$8,100",516845.15,59.98,71.37,55.09,78.91,39.19,52.83,71.17,40.61,70.19,46.05,69.54,71.61,67.46,86.08,55.92,49.88,46.21,52.33,74.91,45.75,45.4,48.4,43.5,53.0,52.5,2.098,38178000.0,57.8,60.83571428571428,65.63857142857142,68.55,55.904999999999994,54.04833333333334,63.764450000000004,61.81379285714286
65,EGY,Egypt,62.0,63.04,60.97,59.17,62.12,76.3,79.6,73.0,77.2,68.9,57.9,74.6,23.9,"$4,200",987472.45,55.18,74.81,46.77,42.99,43.59,61.11,69.47,55.54,65.26,61.05,66.45,69.97,62.93,72.75,50.86,61.21,68.61,56.28,62.39,55.68,43.3,33.8,49.7,50.6,55.0,2.342,,36.0,61.18142857142857,65.58428571428571,58.75285714285714,59.73666666666667,58.935,58.81296428571429,63.39002142857143
66,RUS,Russia,61.2,68.59,53.83,80.26,45.28,83.9,96.3,71.4,79.2,62.9,77.5,92.3,61.0,"$9,800",16826303.43,45.43,60.93,38.79,62.75,17.92,53.45,74.22,39.6,53.39,61.02,83.52,87.06,79.98,73.7,84.42,63.79,75.48,55.99,65.64,49.88,50.5,53.0,48.8,54.1,59.9,3.275,,35.55,67.69428571428571,78.13571428571429,66.75571428571428,58.26666666666667,60.56666666666666,64.71332857142856,72.33792857142858
67,ARG,Argentina,61.0,74.49,47.6,31.25,49.58,81.8,91.1,72.5,33.6,82.3,77.7,86.7,49.8,"$12,400",2786353.16,56.48,80.75,46.09,43.05,44.99,49.55,86.8,24.72,44.88,16.79,79.84,94.5,65.18,69.72,75.94,59.3,79.88,45.58,55.64,46.65,52.2,60.2,46.8,49.1,60.2,1.911,6942000.0,70.45,65.91285714285713,81.95285714285716,47.712857142857146,50.39666666666667,55.24333333333333,50.19791428571429,73.1387142857143
68,GRC,Greece,60.9,86.6,35.13,35.67,32.34,80.2,97.2,63.1,9.6,62.5,80.2,96.3,27.4,"$21,300",132661.51,60.04,96.02,44.63,79.65,30.07,73.28,91.21,61.32,66.49,59.79,85.81,89.09,82.54,94.82,69.64,73.6,91.03,61.98,90.89,42.17,69.1,80.6,61.4,72.6,66.5,1.838,30123000.0,62.849999999999994,74.72714285714287,90.28999999999999,56.78142857142858,60.91166666666667,55.49,56.35525714285715,78.806
69,BRN,Brunei Darussalam,60.8,86.22,35.28,76.65,25.54,,,,,,,,,,5769.38,62.49,77.76,55.94,90.70,5.17,66.49,89.51,51.14,100.0,21.73,67.86,89.33,46.39,86.74,30.7,63.57,96.66,41.52,81.58,27.42,54.8,74.0,42.0,59.2,50.9,,278000.0,,62.70399999999999,87.144,80.83399999999999,43.266000000000005,31.258,64.47391999999999,68.70162
70,TUN,Tunisia,60.6,77.16,44.0,9.99,58.83,78.1,92.9,63.3,22.4,77.1,60.0,77.2,5.1,"$7,100",155220.7,46.66,70.14,36.60,25.66,50.41,58.99,81.19,44.19,31.08,54.38,77.28,81.1,73.46,61.04,73.94,62.35,81.12,49.83,47.41,51.3,46.7,49.2,45.0,37.1,60.2,1.996,8299000.0,62.2,63.431428571428576,77.12428571428573,30.588571428571424,53.29666666666666,62.625,41.16059285714286,72.33952142857144
71,DJI,Djibouti,60.5,51.45,69.64,1.73,75.44,50.5,57.2,43.9,0.2,42.3,,,,,,,,,,,28.52,52.69,12.4,15.45,,45.29,67.56,23.02,39.2,,40.04,52.89,31.47,28.88,46.4,28.1,20.1,33.4,23.0,40.1,2.213,,,42.15833333333333,50.315000000000005,18.076666666666664,35.638333333333335,51.059999999999995,28.961166666666664,50.56085
72,ARM,Armenia,60.4,71.63,49.26,55.34,49.85,77.8,88.0,67.5,16.0,87.2,63.8,70.2,55.0,"$4,600",29635.92,47.48,63.81,40.48,32.54,61.56,61.67,74.61,53.05,80.16,39.91,81.6,81.76,81.44,87.43,72.77,62.07,56.85,65.56,79.57,49.82,52.3,43.5,58.1,79.2,46.7,1.992,1652000.0,41.5,65.66285714285713,69.50714285714285,64.67142857142856,62.48500000000001,57.708333333333336,62.373607142857146,65.61353571428572
73,TUR,Turkey,60.4,74.45,46.34,17.14,53.62,75.9,91.2,60.6,5.2,66.5,72.8,84.6,31.8,"$7,400",781946.7,44.80,69.80,34.08,20.19,42.71,54.91,73.85,42.28,32.62,46.52,67.68,79.6,55.76,22.53,47.77,52.96,71.56,40.57,25.16,39.99,42.6,51.3,36.9,15.1,49.3,2.785,45768000.0,59.400000000000006,61.035714285714285,75.22285714285715,21.36428571428571,47.074999999999996,50.616666666666674,31.01757142857143,67.1028142857143
74,IRN,Iran,60.0,70.21,49.72,42.32,52.56,76.9,88.9,64.8,44.3,63.4,70.0,85.7,48.0,"$7,700",1622438.3,42.73,58.21,36.09,42.19,19.42,51.08,76.12,34.39,37.06,36.73,66.32,72.26,60.38,64.16,53.88,58.16,74.01,47.59,51.89,35.93,48.0,48.3,47.8,38.4,55.0,2.687,,33.85,61.494285714285716,73.64285714285714,46.589999999999996,50.78,49.583333333333336,47.577799999999996,65.70321428571428
75,KGZ,Kyrgyzstan,59.7,65.29,54.06,25.77,56.2,69.6,76.2,63.0,26.1,61.5,60.5,53.7,68.1,"$1,700",193559.97,46.33,50.46,44.57,23.29,61.82,40.63,63.46,25.41,15.77,,,,,,,54.86,54.78,54.92,74.02,32.5,39.8,33.7,43.8,39.2,42.5,,,44.45,54.18166666666667,57.85499999999999,41.49333333333333,48.238,48.175,43.698283333333336,54.660599999999995
76,LAO,Laos,59.6,32.63,86.57,100.0,68.77,66.3,39.8,92.8,97.1,92.4,52.9,21.4,76.1,"$1,900",,,,,,,40.37,34.49,44.29,93.85,,50.29,51.18,49.39,90.23,,42.94,25.15,54.8,76.77,77.39,34.8,27.2,39.9,69.7,30.7,1.809,,72.9,49.6,33.121428571428574,86.25,61.291666666666664,67.315,80.00145,44.40530714285715
77,NAM,Namibia,59.3,52.02,66.53,73.57,71.45,70.6,60.9,80.4,73.4,96.5,56.5,43.9,68.0,"$7,300",828456.38,50.68,43.87,53.60,80.83,67.49,43.71,55.53,35.82,94.39,0.54,70.84,69.72,71.96,95.74,61.18,58.46,46.34,66.54,95.75,59.78,40.2,22.5,52.0,76.6,55.4,1.908,,76.30000000000001,57.08714285714285,50.129999999999995,82.49285714285715,62.208333333333336,57.474999999999994,74.2369642857143,52.55385
78,GUY,Guyana,59.2,66.4,52.09,23.16,59.46,64.8,75.3,54.4,55.5,36.5,,,,,,,,,,,38.07,69.19,17.32,18.66,0.64,71.14,83.53,58.76,51.31,,47.93,61.55,38.86,54.32,34.82,35.9,33.5,37.5,51.0,38.2,2.14,287000.0,,52.839999999999996,64.91166666666666,42.324999999999996,43.155,33.924,39.55267,54.68573666666667
79,URY,Uruguay,59.1,72.0,46.21,1.85,49.28,82.3,88.9,75.6,0.4,88.5,,,,,176850.8,57.06,80.34,47.07,20.26,62.10,53.61,89.97,29.37,24.62,24.51,73.98,95.48,52.48,54.32,59.81,64.65,84.72,51.27,49.7,79.01,49.1,67.7,36.7,25.0,55.5,1.795,3469000.0,,63.79,83.12833333333334,25.981666666666666,48.605,59.435,37.02126666666666,75.30953333333335
80,AZE,Azerbaijan,59.1,62.72,55.43,67.57,58.09,72.2,76.4,67.9,29.0,77.1,55.7,59.2,50.1,"$3,800",85712.58,43.11,51.43,39.55,40.18,44.33,55.47,59.37,52.87,58.66,80.88,83.78,82.96,84.6,75.83,97.94,62.33,48.55,71.52,63.15,73.44,46.5,32.7,55.7,56.9,48.6,2.437,2633000.0,20.35,62.15428571428571,60.271428571428565,57.31571428571427,64.67,72.675,62.38427857142857,64.36460714285714
81,VNM,Viet Nam,59.0,59.89,58.11,41.28,58.22,73.9,76.3,71.5,28.4,74.7,54.3,44.4,42.8,"$2,700",328767.09,50.64,51.57,50.24,54.12,56.52,38.17,52.43,28.66,43.39,44.51,58.5,68.24,48.76,82.37,41.48,46.96,47.12,46.86,74.87,44.62,33.4,40.6,28.5,33.3,30.7,,,54.699999999999996,52.03285714285714,55.56857142857143,49.487142857142864,47.065,49.03833333333333,49.339035714285714,53.41359285714286
82,MDA,Moldova,58.8,68.77,48.88,12.76,49.34,70.7,85.0,56.4,2.4,67.8,62.9,81.7,16.9,"$1,900",34089.71,45.21,60.32,38.74,8.18,42.94,53.36,66.88,44.34,7.51,63.16,76.69,75.3,78.08,53.23,94.82,51.97,60.29,46.42,31.05,47.9,44.4,45.6,43.6,27.9,52.2,1.882,160000.0,28.55,59.83142857142856,69.07714285714286,21.678571428571423,52.95333333333334,62.53666666666666,35.161742857142855,66.91878571428572
83,UKR,Ukraine,58.2,73.85,42.58,35.72,42.27,74.1,97.0,51.2,8.5,51.1,71.2,93.8,40.1,"$6,300",597329.12,46.31,72.01,35.30,46.42,25.14,49.01,77.71,29.87,41.46,27.78,79.69,85.74,73.63,65.58,87.45,52.87,64.44,45.16,49.1,37.59,49.5,49.0,49.9,37.7,69.2,2.971,14104000.0,30.150000000000002,62.08142857142857,77.36285714285714,39.737142857142864,48.72333333333333,52.565000000000005,43.970335714285724,69.17956428571429
84,BEL,Belgium,58.1,89.05,27.09,20.2,36.65,78.4,98.8,58.0,10.0,69.5,75.9,96.6,16.7,"$30,600",30577.47,63.02,97.23,48.36,78.49,30.16,66.61,89.82,51.14,57.56,64.47,80.15,79.1,81.21,100.0,80.59,77.38,89.37,69.39,95.7,63.81,73.3,86.0,64.8,87.4,70.2,1.526,9119000.0,66.1,72.83428571428571,89.82000000000001,55.3657142857143,58.605,64.20333333333333,58.28212857142858,81.3665
85,JAM,Jamaica,58.0,70.25,45.83,64.27,37.84,79.1,87.2,71.0,35.0,70.0,74.7,76.4,86.1,"$4,100",11059.52,54.36,61.53,51.29,73.32,34.53,58.26,70.03,50.41,88.04,76.98,77.02,86.96,67.09,90.47,,58.58,68.48,51.98,83.12,52.26,48.2,45.5,50.0,58.2,65.7,1.99,2473000.0,45.2,64.83714285714285,72.11714285714285,72.17142857142856,56.05166666666667,60.556,68.33833714285714,68.30196571428571
86,LBN,Lebanon,57.9,77.33,38.5,3.49,37.98,70.3,95.5,45.0,1.0,40.7,76.7,93.4,20.2,"$5,000",10442.47,47.35,81.85,32.57,26.12,27.97,50.15,85.94,26.29,1.71,40.43,69.14,71.69,66.6,43.86,74.74,61.08,83.25,46.3,30.11,43.86,45.4,53.1,40.3,21.8,56.8,2.615,1964000.0,56.650000000000006,61.52428571428571,80.03,17.45285714285714,43.83166666666667,49.08500000000001,27.891464285714285,69.81815
87,STP,Sao Tome and Principe,57.3,43.14,71.54,0.0,76.55,,,,,,,,,,,,,,,,,,,,,48.28,66.92,29.64,1.474,,,,,,,37.6,28.7,43.6,58.4,35.0,,33400.0,,47.72666666666667,46.25333333333333,19.958,48.26,55.775,31.777610000000003,49.39548333333333
88,KAZ,Kazakhstan,57.3,69.32,45.28,22.7,46.53,65.0,91.5,38.4,22.9,16.1,63.6,70.8,38.4,"$7,800",2675245.71,32.94,63.69,19.76,14.18,9.63,51.07,75.4,34.85,14.11,43.49,73.29,88.42,58.15,53.45,60.32,54.56,66.7,46.46,30.73,47.82,44.7,40.8,47.3,41.6,44.6,2.071,8789000.0,34.3,58.50285714285714,71.84857142857143,31.98428571428571,45.07333333333333,43.14333333333334,35.66677142857143,62.375842857142864
89,NIC,Nicaragua,57.1,58.73,55.38,59.89,51.13,73.4,72.9,74.0,44.8,75.9,69.2,62.5,69.4,"$2,300",120835.96,59.23,54.93,61.07,95.27,61.44,50.32,59.9,43.93,91.67,46.82,64.19,72.37,56.02,93.72,90.16,55.04,62.2,50.27,85.68,58.63,39.2,40.2,38.6,59.6,38.0,2.334,1256000.0,60.9,58.35000000000001,61.25714285714285,72.10857142857144,53.03333333333334,60.10666666666666,68.14794285714287,60.87748571428571
90,KOR,South Korea,57.0,80.15,33.94,34.19,36.69,79.4,95.6,63.1,11.9,71.5,75.2,93.5,39.4,"$19,200",100152.25,57.20,91.35,42.57,64.79,22.73,63.79,81.7,51.86,50.4,41.55,70.61,68.85,72.37,69.34,62.39,62.3,73.3,54.96,46.66,46.75,66.5,81.4,56.6,62.6,62.6,1.779,,57.599999999999994,67.82857142857144,82.07142857142857,44.92714285714286,55.471666666666664,53.580000000000005,47.78258571428572,72.66925714285715
91,GAB,Gabon,56.4,54.03,58.86,77.02,52.86,77.3,75.4,79.1,73.0,81.4,73.3,61.0,62.5,"$5,900",266364.32,57.91,37.27,66.76,62.87,67.32,46.6,50.09,44.28,82.94,56.67,67.37,75.06,59.68,89.37,70.53,45.05,43.04,46.39,86.17,30.71,45.8,27.9,57.8,86.0,63.8,1.973,,87.94999999999999,58.83142857142858,55.21714285714286,79.57142857142857,57.685,59.32833333333334,72.89120714285716,56.57383571428572
92,CYP,Cyprus,56.3,87.64,24.89,75.18,9.26,79.2,96.8,61.6,29.3,56.0,78.4,90.4,62.0,"$7,135",9289.1,57.15,100.00,38.79,61.00,23.83,66.23,95.23,46.9,77.03,61.92,80.24,88.59,71.9,78.23,89.01,72.6,87.96,62.37,81.66,66.26,64.8,81.5,53.7,56.5,63.1,1.903,3939000.0,61.25,71.11,89.73142857142857,65.7,53.56,57.59166666666667,63.02425000000001,79.12530714285714
93,JOR,Jordan,56.1,76.67,35.56,91.35,32.87,76.5,91.7,61.4,88.7,61.4,66.0,85.5,56.0,"$4,500",90359.45,42.16,76.42,27.47,9.21,35.21,55.78,76.96,41.66,8.52,65.68,72.24,76.67,67.81,42.94,85.38,62.2,86.69,45.87,23.85,46.84,53.4,58.6,49.9,32.2,58.4,1.849,4150000.0,46.150000000000006,63.17428571428571,78.97,49.08,50.36666666666667,58.42833333333332,52.16495,72.19125
94,BIH,Bosnia and Herzegovina,55.9,77.13,34.61,2.83,42.65,,,,,,,,,,46410.16,36.76,69.66,22.67,2.88,34.24,45.79,77.57,24.61,2.5,31.71,63.28,87.09,39.48,36.62,36.87,41.84,63.87,27.15,26.93,26.8,45.4,43.9,46.4,32.9,57.5,1.85,1053000.0,,50.442,69.91199999999999,20.356,34.45,39.106,26.5435,59.74602
95,SAU,Saudi Arabia,55.3,66.68,43.96,86.35,40.22,72.8,85.5,60.2,95.5,50.5,68.3,83.7,60.2,"$12,000",1960597.02,49.97,71.29,40.84,98.95,6.68,66.66,87.54,52.73,93.7,46.63,68.63,72.03,65.22,81.69,48.3,57.47,72.81,47.25,48.33,40.47,44.0,47.2,41.8,38.8,37.5,2.288,15334000.0,31.65,61.879999999999995,73.63714285714286,72.08142857142857,51.86000000000001,43.93666666666667,62.79365714285715,63.83598571428572
96,ERI,Eritrea,54.6,30.54,78.72,36.06,76.82,59.4,47.2,71.7,42.4,75.0,,,,,123059.77,38.39,33.61,40.44,22.24,74.07,25.76,43.44,13.98,17.94,,36.73,47.98,25.47,41.11,,39.34,46.12,34.81,27.52,29.57,30.4,15.5,40.4,33.7,43.4,2.494,,,41.038333333333334,38.46333333333333,33.12166666666667,44.18,56.1975,40.73669166666667,44.31560833333333
97,TTO,Trinidad and Tobago,54.2,70.17,38.33,61.56,26.24,,,,,,,,,,5188.19,47.04,67.63,38.22,69.76,0.38,52.28,71.66,39.36,83.48,32.54,74.34,92.2,56.47,88.51,,67.36,81.44,57.96,88.93,50.02,47.5,54.6,42.9,67.8,42.1,2.005,375000.0,,59.136,74.014,78.05600000000001,47.004000000000005,37.725,64.74677000000001,62.03863
98,GTM,Guatemala,54.0,56.38,51.56,48.35,54.99,76.7,78.2,75.1,36.4,80.2,68.9,64.4,69.1,"$4,200",109666.23,51.88,51.24,52.15,59.76,65.28,48.06,60.55,39.74,57.55,64.18,69.64,71.78,67.49,78.02,89.59,52.33,54.97,50.57,65.13,57.46,31.8,30.8,32.5,41.3,36.7,2.139,1781000.0,57.349999999999994,57.347142857142856,59.58285714285716,56.55,52.82666666666666,63.85333333333333,58.9601,60.992114285714294
99,COD,Dem. Rep. Congo,51.6,11.58,91.69,58.27,92.13,47.3,12.6,82.0,73.2,95.2,46.3,12.8,54.3,$700,2325405.93,47.49,12.31,62.57,51.08,91.65,25.01,23.9,25.75,44.85,,42.05,33.85,50.25,76.14,,30.41,19.7,37.56,67.79,34.26,36.4,22.4,45.7,73.3,40.1,,,86.19999999999999,39.86714285714286,19.547142857142855,63.978571428571435,55.49166666666667,65.4225,64.45506785714286,34.686010714285715
100,MWI,Malawi,51.4,27.98,74.91,97.95,76.77,59.9,34.0,85.8,90.1,94.5,56.5,29.6,64.6,$600,,,,,,,40.06,39.34,40.54,87.81,,49.69,47.53,51.86,93.35,,49.21,39.93,55.39,91.89,64.88,38.3,26.5,46.2,84.2,34.2,1.895,871000.0,82.9,49.294285714285714,34.98285714285715,87.12857142857142,59.11666666666665,67.58749999999999,80.68001785714284,45.74238928571429
101,KEN,Kenya,51.4,32.15,70.62,76.36,66.86,69.0,54.5,83.5,89.0,84.1,56.4,38.0,54.1,"$1,100",582801.69,49.28,27.91,58.44,72.55,65.32,36.99,38.37,36.07,67.96,,62.49,58.6,66.39,84.09,67.06,47.25,42.96,50.12,79.01,51.37,34.7,25.7,40.6,53.5,49.0,2.303,,81.75,51.175714285714285,41.46857142857142,72.00285714285714,57.88333333333333,63.678,69.25565428571429,48.79768285714285
102,GHA,Ghana,51.3,32.89,69.78,74.7,64.34,70.8,59.0,82.6,63.8,92.6,63.1,48.8,50.1,"$2,300",239888.71,47.50,31.62,54.30,45.13,73.94,32.07,40.31,26.58,34.26,27.3,58.89,54.47,63.31,80.79,68.6,49.66,44.42,53.15,77.96,57.59,27.6,20.1,32.6,58.9,29.6,1.759,,85.3,50.488571428571426,42.855714285714285,62.93,54.669999999999995,56.671666666666674,60.86475,47.41497857142858
103,MMR,Myanmar,51.3,42.63,59.97,33.75,64.94,65.1,63.9,66.3,24.5,73.8,57.0,47.3,42.7,"$1,700",673036.29,52.72,36.01,59.88,53.57,77.27,27.44,41.39,18.14,28.62,,48.98,51.82,46.14,57.74,,45.32,35.6,51.8,42.74,76.26,25.1,24.6,25.4,31.0,22.2,2.631,3551000.0,57.849999999999994,45.74857142857143,43.89142857142857,37.292857142857144,44.625,59.3,44.555214285714285,48.97625714285714
104,TJK,Tajikistan,51.3,52.04,50.53,38.06,59.18,72.3,62.2,82.5,43.8,98.2,48.2,38.0,48.7,"$1,100",142132.02,38.78,40.74,37.94,24.35,73.55,31.34,49.89,18.97,24.28,,73.05,71.41,74.7,74.2,99.24,47.85,26.26,62.24,67.01,60.73,38.2,20.7,49.9,65.8,36.9,2.031,1035000.0,28.8,51.74857142857143,45.78571428571428,51.69285714285714,56.47333333333333,70.85,58.014714285714284,54.056928571428564
105,MOZ,Mozambique,51.2,23.12,79.33,60.11,89.85,53.9,25.5,82.4,55.4,99.8,45.7,16.7,39.7,"$1,200",784037.78,47.82,22.05,58.86,62.03,93.35,29.97,31.49,28.96,63.17,,41.82,31.24,52.4,88.43,,46.37,46.36,46.37,90.47,23.49,33.9,28.1,37.8,67.4,31.1,2.316,2743000.0,79.3,43.26571428571428,28.930000000000003,66.38285714285713,54.543333333333344,61.059999999999995,64.62631428571427,39.5329
106,KWT,Kuwait,51.1,83.47,18.78,17.09,35.05,64.5,92.0,37.1,27.6,38.6,,,,,17431.77,35.54,83.84,14.84,13.15,3.57,63.94,77.98,54.59,92.88,42.23,64.41,65.06,63.76,87.12,33.57,62.28,70.55,56.77,86.33,31.78,53.6,57.3,51.2,66.0,49.7,1.739,8508000.0,,59.97166666666667,74.39333333333333,62.836666666666666,47.03333333333333,38.48833333333334,54.801716666666664,62.54468333333334
107,SLB,Solomon Islands,51.1,54.01,48.19,0.51,55.14,52.3,59.6,44.9,1.8,40.8,,,,,,,,,,,31.63,46.75,21.56,17.58,,46.92,61.55,32.3,39.97,,43.22,49.67,38.93,26.66,63.2,26.7,20.4,30.9,15.3,45.0,,27900.0,,41.97833333333333,48.663333333333334,16.97,36.13,51.035,28.21145,49.44598333333333
108,ZAF,South Africa,50.8,59.0,42.57,62.39,39.48,69.0,81.8,56.2,44.8,51.4,62.0,71.8,47.2,"$11,100",1224041.62,34.55,42.52,31.13,50.24,21.03,53.51,59.33,49.64,63.96,49.87,70.52,76.66,64.38,75.06,54.26,44.73,36.81,50.01,64.24,44.63,43.1,31.1,51.0,63.2,62.8,2.283,10472000.0,65.94999999999999,56.237142857142864,59.50000000000001,60.12142857142857,52.300000000000004,50.406666666666666,56.91555714285714,56.49920000000001
109,GMB,Gambia,50.3,31.06,69.59,16.49,75.42,,,,,,52.3,39.3,21.2,"$1,800",,,,,,,29.3,41.03,21.48,37.05,,,,,,,42.42,47.99,38.72,43.12,36.67,27.9,21.4,32.1,32.6,35.8,,,69.2,40.444,36.156,30.091999999999995,40.472500000000004,49.29666666666666,36.429539999999996,40.492419999999996
110,HND,Honduras,49.9,58.04,41.7,62.25,47.56,75.4,77.2,73.6,47.1,76.9,70.8,66.1,78.2,"$2,800",113036.06,52.54,46.14,55.29,65.06,63.95,48.87,57.52,43.11,76.81,48.29,69.64,74.19,65.09,86.89,80.14,51.51,55.95,48.54,84.11,46.02,37.8,33.4,40.7,59.9,43.1,2.269,,56.35,57.70285714285715,60.34285714285714,70.75142857142858,52.123333333333335,57.001666666666665,66.21400714285716,59.24026428571429
111,UGA,Uganda,49.8,27.94,71.6,87.5,78.62,61.6,41.6,81.6,78.9,94.5,60.8,31.7,73.6,"$1,500",,,,,,,39.18,37.26,40.46,91.31,,57.56,51.71,63.4,93.61,,44.28,33.64,51.38,89.54,38.87,35.6,25.7,42.2,81.4,27.4,2.309,,95.2,49.83142857142858,35.65,85.12285714285714,58.44,59.847500000000004,76.78198928571429,43.635175000000004
