,Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42,"Congo, Rep.",COG,"International tourism, number of arrivals",194000.0,218000.0,256000.0,343000.0,226000.0,220000.0,211000.0,149000.0,156000.0,,
43,Colombia,COL,"International tourism, number of arrivals",1405000.0,2042000.0,2179000.0,2288000.0,2552000.0,2980000.0,3254000.0,3631000.0,3904000.0,,
44,Comoros,COM,"International tourism, number of arrivals",15300.0,18800.0,22800.0,21900.0,22800.0,23600.0,26800.0,28000.0,35900.0,,
45,Cabo Verde,CPV,"International tourism, number of arrivals",336000.0,428000.0,482000.0,503000.0,494000.0,520000.0,598000.0,668000.0,710000.0,,
46,Costa Rica,CRI,"International tourism, number of arrivals",2100000.0,2192000.0,2343000.0,2428000.0,2527000.0,2660000.0,2925000.0,2960000.0,3017000.0,,
47,Caribbean small states,CSS,"International tourism, number of arrivals",5704000.0,5849000.0,6029000.0,6007400.0,6240500.0,6451000.0,6642000.0,6870000.0,7351483.61650485,,
48,Cuba,CUB,"International tourism, number of arrivals",2507000.0,2688000.0,2823000.0,2839000.0,2981000.0,3506000.0,3975000.0,4594000.0,4684000.0,,
49,Curacao,CUW,"International tourism, number of arrivals",342000.0,390000.0,421000.0,441000.0,452000.0,468000.0,441000.0,399000.0,432000.0,,
50,Cayman Islands,CYM,"International tourism, number of arrivals",288000.0,309000.0,322000.0,345000.0,383000.0,385000.0,385000.0,418000.0,463000.0,,
51,Cyprus,CYP,"International tourism, number of arrivals",2173000.0,2392000.0,2465000.0,2405000.0,2441000.0,2659000.0,3187000.0,3652000.0,3939000.0,,
52,Czech Republic,CZE,"International tourism, number of arrivals",6334000.0,6715000.0,7647000.0,7852000.0,8096000.0,8707000.0,9321000.0,10160000.0,10611000.0,,
53,Germany,DEU,"International tourism, number of arrivals",26875000.0,28374000.0,30411000.0,31545000.0,32999000.0,34970000.0,35555000.0,37452000.0,38881000.0,,
54,Djibouti,DJI,"International tourism, number of arrivals",51000.0,56000.0,60000.0,63000.0,,,,,,,
55,Dominica,DMA,"International tourism, number of arrivals",77000.0,76000.0,79000.0,78000.0,81500.0,75000.0,78000.0,72000.0,63000.0,,
56,Denmark,DNK,"International tourism, number of arrivals",9425000.0,8471000.0,8443000.0,8557000.0,10267000.0,10424000.0,10781000.0,12426000.0,12749000.0,,
