,Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
58,Algeria,DZA,"International tourism, number of departures",1757000.0,1715000.0,1911000.0,2136000.0,2839000.0,3638000.0,4530000.0,5058000.0,5610000.0,,
59,East Asia & Pacific (excluding high income),EAP,"International tourism, number of departures",84147146.8392448,100206548.295079,117050893.93357,136747229.89302,159718821.5268,175039221.734998,186148698.395141,197464207.576886,207838079.886313,,
60,Early-demographic dividend,EAR,"International tourism, number of departures",128036406.436745,130375243.605835,140930145.233699,152426304.206898,162887507.393056,176496074.963217,190765900.280721,200585423.714705,201926668.189624,,
61,East Asia & Pacific,EAS,"International tourism, number of departures",244826606.308854,263374393.64643,285484499.92911,306724570.77749,331757717.924814,357381671.573594,378524425.877433,397445243.8793,415030422.125314,,
62,Europe & Central Asia (excluding high income),ECA,"International tourism, number of departures",96940728.2959772,110959136.377965,120482864.94738,135988014.988116,126071342.621766,114469044.023196,113853031.889799,130742009.544546,139742963.532522,,
63,Europe & Central Asia,ECS,"International tourism, number of departures",461901843.776923,479973534.50038,492712896.899849,512944929.767985,511096616.806892,515940371.136427,542882712.208304,583015436.397081,618355680.365592,,
64,Ecuador,ECU,"International tourism, number of departures",899000.0,1022000.0,1022000.0,1138000.0,1096000.0,1221000.0,1366000.0,1347000.0,1402000.0,,
65,"Egypt, Arab Rep.",EGY,"International tourism, number of departures",4618000.0,4863000.0,5678000.0,5782000.0,6180000.0,,,,,,
66,Euro area,EMU,"International tourism, number of departures",225326466.96377,229408875.929971,227005272.471874,229732709.63672,231120029.067447,235234785.66302,250943715.518787,265399748.166775,288060184.169988,,
67,Eritrea,ERI,"International tourism, number of departures",,,,,,,,,,,
68,Spain,ESP,"International tourism, number of departures",12379000.0,13347000.0,12422000.0,11246000.0,11783000.0,14407000.0,15405000.0,17031000.0,19116000.0,,
69,Estonia,EST,"International tourism, number of departures",955000.0,1054000.0,1147000.0,1166000.0,1426000.0,1250000.0,1339000.0,1279000.0,2069000.0,,
70,Ethiopia,ETH,"International tourism, number of departures",,,,,,,,,,,
71,European Union,EUU,"International tourism, number of departures",283313590.541377,286071618.342012,287321541.788065,291336645.305267,296408110.970045,304161612.12797,325816565.368932,346751342.412659,374465067.335391,,
72,Fragile and conflict affected situations,FCS,"International tourism, number of departures",,,,,,,,,,,
73,Finland,FIN,"International tourism, number of departures",6633000.0,7274000.0,9055000.0,8562000.0,8731000.0,8904000.0,9125000.0,9330000.0,9450000.0,,
74,Fiji,FJI,"International tourism, number of departures",128000.0,132000.0,132000.0,,,,156000.0,169000.0,174000.0,,
75,France,FRA,"International tourism, number of departures",25041000.0,26155000.0,25317000.0,26062000.0,27919000.0,26648000.0,26483000.0,29055000.0,26914000.0,,
76,Faroe Islands,FRO,"International tourism, number of departures",,,,,,,,,,,
77,"Micronesia, Fed. Sts.",FSM,"International tourism, number of departures",,,,,,,,,,,
78,Gabon,GAB,"International tourism, number of departures",,,,,,,,,,,
79,United Kingdom,GBR,"International tourism, number of departures",53759000.0,54946000.0,54604000.0,56088000.0,58364000.0,64165000.0,69375000.0,71356000.0,70386000.0,,
80,Georgia,GEO,"International tourism, number of departures",2086000.0,2237000.0,2734000.0,3220000.0,3106000.0,3136000.0,3400000.0,3851000.0,3698000.0,,
81,Ghana,GHA,"International tourism, number of departures",,,,,,,,,,,
82,Gibraltar,GIB,"International tourism, number of departures",,,,,,,,,,,
83,Guinea,GIN,"International tourism, number of departures",,,,,,,,,,,
84,"Gambia, The",GMB,"International tourism, number of departures",,,,,,,,,,,
85,Guinea-Bissau,GNB,"International tourism, number of departures",,,,,,,,,,,
86,Equatorial Guinea,GNQ,"International tourism, number of departures",,,,,,,,,,,
87,Greece,GRC,"International tourism, number of departures",3799000.0,4941000.0,4681000.0,4594000.0,5802000.0,6291000.0,7235000.0,7685000.0,7961000.0,,
88,Grenada,GRD,"International tourism, number of departures",,,,,,,,,,,
89,Greenland,GRL,"International tourism, number of departures",,,,,,,,,,,
