,Code,Country,EPI,HLT,ECO,BDH,CCE
99,MYS,Malaysia,59.22,66.63,54.28,76.68,47.68
100,MDV,Maldives,52.14,73.23,38.09,23.61,44.71
101,MLI,Mali,43.71,43.72,43.7,61.6,55.47
102,MLT,Malta,80.9,93.8,72.3,87.77,67.04
103,MRT,Mauritania,39.24,50.01,32.05,31.65,39.84
104,MUS,Mauritius,56.63,77.45,42.75,38.28,48.06
105,MEX,Mexico,59.69,66.04,55.46,74.68,46.84
106,FSM,Micronesia,49.8,59.88,43.07,27.6,35.17
107,MDA,Moldova,51.97,60.29,46.42,31.05,47.9
108,MNG,Mongolia,57.51,61.97,54.54,75.28,53.98
109,MNE,Montenegro,61.33,72.61,53.81,73.77,46.85
110,MAR,Morocco,63.47,67.43,60.82,88.43,49.66
111,MOZ,Mozambique,46.37,46.36,46.37,90.47,23.49
112,MMR,Myanmar,45.32,35.6,51.8,42.74,76.26
113,NAM,Namibia,58.46,46.34,66.54,95.75,59.78
114,NPL,Nepal,31.44,10.54,45.38,68.52,35.11
115,NLD,Netherlands,75.46,92.26,64.25,80.13,52.55
116,NZL,New Zealand,75.96,95.96,62.63,91.84,55.78
117,NIC,Nicaragua,55.04,62.2,50.27,85.68,58.63
118,NER,Niger,35.74,41.94,31.61,85.74,6.36
119,NGA,Nigeria,54.76,36.64,66.84,71.64,73.85
120,NOR,Norway,77.49,97.86,63.91,88.96,63.58
121,OMN,Oman,51.32,75.98,34.88,34.81,32.71
122,PAK,Pakistan,37.5,16.8,51.3,60.14,50.79
123,PAN,Panama,62.71,66.96,59.87,86.0,54.32
124,PNG,Papua New Guinea,39.35,47.26,34.09,34.04,55.36
125,PRY,Paraguay,53.93,58.1,51.15,64.02,54.05
126,PER,Peru,61.92,56.49,65.53,83.52,58.04
127,PHL,Philippines,57.65,55.64,58.99,78.08,54.54
128,POL,Poland,64.11,58.71,67.72,96.37,64.33
129,PRT,Portugal,71.91,90.47,59.53,91.41,56.89
130,QAT,Qatar,67.8,74.18,63.54,43.71,68.68
131,COG,Republic of Congo,42.39,20.89,56.73,91.0,59.34
132,ROU,Romania,64.78,58.67,68.85,90.8,68.53
