,Code,Country,Indicator Name,2018
103,PRY,Paraguay,"International tourism, number of arrivals",1181000.0
104,LSO,Lesotho,"International tourism, number of arrivals",1173000.0
105,NPL,Nepal,"International tourism, number of arrivals",1173000.0
106,BOL,Bolivia,"International tourism, number of arrivals",1142000.0
107,ABW,Aruba,"International tourism, number of arrivals",1082000.0
108,ZMB,Zambia,"International tourism, number of arrivals",1072000.0
109,BIH,Bosnia and Herzegovina,"International tourism, number of arrivals",1053000.0
110,TJK,Tajikistan,"International tourism, number of arrivals",1035000.0
111,LUX,Luxembourg,"International tourism, number of arrivals",1018000.0
112,MWI,Malawi,"International tourism, number of arrivals",871000.0
113,FJI,Fiji,"International tourism, number of arrivals",870000.0
114,ETH,Ethiopia,"International tourism, number of arrivals",849000.0
115,SDN,Sudan,"International tourism, number of arrivals",836000.0
116,SWZ,Eswatini,"International tourism, number of arrivals",782000.0
117,CPV,Cabo Verde,"International tourism, number of arrivals",710000.0
118,MKD,North Macedonia,"International tourism, number of arrivals",707000.0
119,BRB,Barbados,"International tourism, number of arrivals",680000.0
120,PSE,West Bank and Gaza,"International tourism, number of arrivals",606000.0
121,TGO,Togo,"International tourism, number of arrivals",573000.0
122,GMB,"Gambia, The","International tourism, number of arrivals",552000.0
123,MNG,Mongolia,"International tourism, number of arrivals",529000.0
124,MNP,Northern Mariana Islands,"International tourism, number of arrivals",517000.0
125,BLZ,Belize,"International tourism, number of arrivals",489000.0
126,CYM,Cayman Islands,"International tourism, number of arrivals",463000.0
127,HTI,Haiti,"International tourism, number of arrivals",447000.0
128,TCA,Turks and Caicos Islands,"International tourism, number of arrivals",441000.0
129,CUW,Curacao,"International tourism, number of arrivals",432000.0
130,KGZ,Kyrgyz Republic,"International tourism, number of arrivals",423000.0
131,LCA,St. Lucia,"International tourism, number of arrivals",395000.0
132,VIR,Virgin Islands (U.S.),"International tourism, number of arrivals",381000.0
133,TTO,Trinidad and Tobago,"International tourism, number of arrivals",375000.0
134,SYC,Seychelles,"International tourism, number of arrivals",362000.0
135,MCO,Monaco,"International tourism, number of arrivals",347000.0
136,BEN,Benin,"International tourism, number of arrivals",295000.0
137,MDG,Madagascar,"International tourism, number of arrivals",291000.0
138,GUY,Guyana,"International tourism, number of arrivals",287000.0
139,BMU,Bermuda,"International tourism, number of arrivals",282000.0
140,BRN,Brunei Darussalam,"International tourism, number of arrivals",278000.0
141,BTN,Bhutan,"International tourism, number of arrivals",274000.0
142,ATG,Antigua and Barbuda,"International tourism, number of arrivals",269000.0
143,AGO,Angola,"International tourism, number of arrivals",218000.0
144,PYF,French Polynesia,"International tourism, number of arrivals",216300.0
145,VGB,British Virgin Islands,"International tourism, number of arrivals",192000.0
146,GRD,Grenada,"International tourism, number of arrivals",185000.0
147,SXM,Sint Maarten (Dutch part),"International tourism, number of arrivals",178000.0
148,WSM,Samoa,"International tourism, number of arrivals",164000.0
149,MDA,Moldova,"International tourism, number of arrivals",160000.0
150,NER,Niger,"International tourism, number of arrivals",157000.0
151,COG,"Congo, Rep.","International tourism, number of arrivals",156000.0
152,BFA,Burkina Faso,"International tourism, number of arrivals",144000.0
153,PNG,Papua New Guinea,"International tourism, number of arrivals",140000.0
154,KNA,St. Kitts and Nevis,"International tourism, number of arrivals",125000.0
155,NCL,New Caledonia,"International tourism, number of arrivals",120000.0
156,VUT,Vanuatu,"International tourism, number of arrivals",116000.0
157,PLW,Palau,"International tourism, number of arrivals",106000.0
158,LIE,Liechtenstein,"International tourism, number of arrivals",85300.0
159,SMR,San Marino,"International tourism, number of arrivals",84000.0
160,VCT,St. Vincent and the Grenadines,"International tourism, number of arrivals",80000.0
161,TLS,Timor-Leste,"International tourism, number of arrivals",75000.0
162,DMA,Dominica,"International tourism, number of arrivals",63000.0
163,SLE,Sierra Leone,"International tourism, number of arrivals",57000.0
164,TON,Tonga,"International tourism, number of arrivals",54000.0
165,COM,Comoros,"International tourism, number of arrivals",35900.0
166,STP,Sao Tome and Principe,"International tourism, number of arrivals",33400.0
167,SLB,Solomon Islands,"International tourism, number of arrivals",27900.0
168,ASM,American Samoa,"International tourism, number of arrivals",20200.0
169,FSM,"Micronesia, Fed. Sts.","International tourism, number of arrivals",19200.0
170,MLI,Mali,"International tourism, number of arrivals",14000.0
171,KIR,Kiribati,"International tourism, number of arrivals",7100.0
172,MHL,Marshall Islands,"International tourism, number of arrivals",6800.0
173,TUV,Tuvalu,"International tourism, number of arrivals",2700.0
