,Code,Country,EPI,HLT,ECO,BDH,CCH
102,ECU,Ecuador,66.58,85.61,47.55,88.91,44.23
103,EGY,Egypt,66.45,69.97,62.93,72.75,50.86
104,IRN,Iran,66.32,72.26,60.38,64.16,53.88
105,ZMB,Zambia,66.06,59.53,72.59,97.06,
106,IDN,Indonesia,65.85,76.82,54.88,81.62,81.59
107,LKA,Sri Lanka,65.55,71.07,60.02,81.98,91.12
108,CHN,China,65.1,59.41,70.79,77.45,74.78
109,BTN,Bhutan,64.99,69.14,60.84,96.34,
110,GEO,Georgia,64.96,78.12,51.81,70.31,51.28
111,SYC,Seychelles,64.92,92.85,36.99,80.99,
112,KWT,Kuwait,64.41,65.06,63.76,87.12,33.57
113,MNG,Mongolia,64.39,67.86,60.92,83.56,77.08
114,NIC,Nicaragua,64.19,72.37,56.02,93.72,90.16
115,IRQ,Iraq,63.97,64.19,63.75,34.64,81.88
116,SEN,Senegal,63.73,60.36,67.1,93.36,
117,UZB,Uzbekistan,63.67,78.49,48.85,56.18,93.54
118,LBY,Libya,63.29,75.02,51.55,24.72,54.75
119,BIH,Bosnia and Herzegovina,63.28,87.09,39.48,36.62,36.87
120,GRD,Grenada,63.28,89.79,36.78,48.53,
121,ATG,Antigua and Barbuda,62.55,88.43,36.67,77.19,
122,KEN,Kenya,62.49,58.6,66.39,84.09,67.06
123,SWZ,Swaziland,60.63,62.03,59.23,52.93,76.66
124,KIR,Kiribati,60.48,73.64,47.33,87.32,
125,OMN,Oman,60.13,75.45,44.81,48.68,23.83
126,CIV,Cote d'Ivoire,59.89,56.41,63.36,90.88,73.63
127,COG,Congo,59.56,57.72,61.4,93.26,41.61
128,ZWE,Zimbabwe,59.25,64.28,54.22,94.31,70.99
129,GHA,Ghana,58.89,54.47,63.31,80.79,68.6
130,VNM,Viet Nam,58.5,68.24,48.76,82.37,41.48
131,TZA,Tanzania,58.34,47.25,69.43,94.34,
132,NGA,Nigeria,58.27,53.01,63.53,75.43,82.17
133,VUT,Vanuatu,57.74,66.63,48.85,50.35,
134,UGA,Uganda,57.56,51.71,63.4,93.61,
135,CMR,Cameroon,57.13,54.47,59.78,77.33,79.43
136,MDV,Maldives,57.1,87.43,26.77,35.92,
137,TLS,Timor-Leste,55.79,64.04,47.54,71.39,
138,GIN,Guinea,55.4,46.26,64.54,86.95,
139,BRB,Barbados,54.96,86.83,23.09,26.5,
140,IND,India,53.58,47.99,59.17,63.42,67.19
141,GMB,The Gambia,52.09,54.69,49.49,43.63,
142,CPV,Cape Verde,51.98,69.32,34.64,37.03,
143,PAK,Pakistan,51.42,52.73,50.11,70.04,70.35
144,AGO,Angola,51.32,55.18,47.46,53.54,
145,KHM,Cambodia,51.24,58.8,43.67,88.15,
146,RWA,Rwanda,50.34,51.88,48.79,71.26,
147,LAO,Laos,50.29,51.18,49.39,90.23,
148,NPL,Nepal,50.21,46.16,54.26,76.59,
149,YEM,Yemen,49.79,57.63,41.94,47.95,
150,MWI,Malawi,49.69,47.53,51.86,93.35,
151,COM,Comoros,49.2,54.68,43.72,68.38,
152,MMR,Myanmar,48.98,51.82,46.14,57.74,
153,STP,Sao Tome and Principe,48.28,66.92,29.64,1.474,
154,GNB,Guinea-Bissau,48.2,42.67,53.72,87.3,
155,PNG,Papua New Guinea,48.02,50.29,45.75,46.46,
156,LSO,Lesotho,47.17,56.74,37.59,26.17,
157,SLB,Solomon Islands,46.92,61.55,32.3,39.97,
158,CAF,Central African Republic,46.46,37.29,55.62,90.87,
159,MRT,Mauritania,46.31,50.1,42.53,42.92,
160,TGO,Togo,46.1,42.96,49.24,71.34,
161,SLE,Sierra Leone,45.98,41.05,50.91,75.46,
162,ETH,Ethiopia,45.83,36.96,54.69,83.52,
163,DJI,Djibouti,45.29,67.56,23.02,39.2,
164,BFA,Burkina Faso,43.71,37.65,49.77,88.05,
165,BEN,Benin,43.66,44.75,42.57,77.29,
166,LBR,Liberia,43.42,46.88,39.97,49.67,
167,BDI,Burundi,43.37,38.94,47.81,64.71,
168,HTI,Haiti,43.28,50.01,36.55,24.41,
169,SDN,Sudan,42.25,49.63,34.87,42.8,
170,COD,Dem. Rep. Congo,42.05,33.85,50.25,76.14,
171,MOZ,Mozambique,41.82,31.24,52.4,88.43,
172,BGD,Bangladesh,41.77,40.36,43.18,63.77,
173,MLI,Mali,41.48,38.36,44.59,73.03,
174,TCD,Chad,37.83,28.46,47.21,80.62,
175,AFG,Afghanistan,37.5,52.92,22.08,21.25,
176,NER,Niger,37.48,25.11,49.86,88.33,
177,MDG,Madagascar,37.1,32.69,41.51,64.68,
178,ERI,Eritrea,36.73,47.98,25.47,41.11,
179,SOM,Somalia,27.66,40.32,14.99,20.91,
