,Code,Country,Landarea_x,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,landarea,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,air,energy,GDP_pc_ppp,Landarea_y,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,2022,Arrivals
14,CHL,Chile,721229.34,73.3,81.28,65.4,40.94,60.74,721229.34,83.4,93.3,73.6,42.7,78.4,78.9,87.2,68.4,63.7,74.6,"$10,700",757751.37,55.34,84.84,42.70,57.05,46.30,69.93,89.42,56.94,60.16,35.92,77.67,93.23,62.11,75.15,40.29,57.49,73.73,46.66,69.79,37.37,55.3,63.4,49.8,65.3,54.3,1.84,5723000.0
15,DEU,Germany,356026.24,73.2,90.75,55.7,100.0,49.62,356026.24,86.3,99.4,73.3,48.2,76.2,79.4,98.7,21.2,61.3,78.3,"$28,700",357053.7,66.91,98.99,53.16,100.00,30.05,80.47,92.83,72.23,100.0,62.77,84.26,84.66,83.87,100.0,78.19,78.37,88.68,71.5,96.92,55.47,77.2,89.6,68.9,88.8,71.5,1.462,38881000.0
16,ITA,Italy,299286.24,73.1,90.87,55.24,72.37,47.97,299286.24,84.2,98.6,69.8,16.5,74.5,79.8,95.3,48.7,55.2,80.3,"$27,700",300906.2,68.90,100.00,55.57,94.79,38.36,74.36,81.46,69.63,79.77,63.41,84.48,82.83,86.14,98.96,79.35,76.96,85.88,71.02,94.1,65.14,71.0,85.5,61.3,75.6,68.1,1.643,61567200.0
17,PRT,Portugal,91426.39,73.0,87.57,58.4,57.97,49.85,91426.39,85.8,98.4,73.1,33.7,72.9,82.9,97.4,54.6,50.1,79.1,"$17,900",92013.56,57.64,93.05,42.46,66.16,43.23,75.8,98.24,60.84,64.36,80.68,88.63,96.55,80.7,95.78,90.82,71.91,90.47,59.53,91.41,56.89,67.0,83.4,56.1,73.0,63.3,1.301,16186000.0
18,JPN,Japan,371705.29,72.5,90.18,54.9,63.16,48.28,371705.29,84.5,98.3,70.8,37.3,70.5,81.9,97.6,70.4,52.6,79.7,"$29,400",373154.11,63.36,98.07,48.48,67.12,30.55,72.35,94.66,57.48,73.53,43.54,80.59,86.59,74.58,93.25,59.22,74.69,92.99,62.48,90.34,45.08,75.1,90.3,65.1,76.6,69.5,1.336,31192000.0
19,LVA,Latvia,64195.65,72.5,75.05,69.98,76.29,55.55,64195.65,88.8,95.2,82.4,42.4,86.9,,,,,,,64385.35,70.37,73.81,68.90,96.97,56.32,64.05,80.52,53.07,95.17,53.27,85.71,91.0,80.42,97.81,83.19,66.12,72.8,61.66,92.05,42.89,61.6,58.0,64.0,86.7,67.7,1.673,1946000.0
20,CZE,Czech Republic,78600.63,71.6,86.87,56.37,100.0,41.91,,,,,,,,,,,,,78778.88,64.79,96.02,51.41,84.12,21.72,81.47,90.63,75.35,98.35,65.82,84.67,80.81,88.53,100.0,91.23,67.68,68.69,67.01,94.96,54.65,71.0,68.3,72.9,85.7,76.3,1.318,10611000.0
21,ALB,Albania,28346.12,71.4,69.93,72.92,77.02,68.97,28346.12,84.0,89.3,78.6,4.0,93.4,68.9,77.7,22.2,14.4,75.6,"$4,900",29000.15,65.85,82.19,58.85,61.72,85.85,54.73,72.63,42.8,63.19,85.74,74.38,84.74,64.03,54.12,91.01,65.46,65.67,65.32,75.37,68.36,49.0,44.5,52.0,68.2,56.8,1.761,5340000.0
22,PAN,Panama,74515.22,71.4,71.75,70.99,71.28,58.68,74515.22,83.1,86.4,79.8,64.2,78.0,76.5,75.6,83.2,58.6,69.5,"$6,900",75796.79,57.94,57.09,58.31,84.81,58.62,56.84,68.6,48.99,86.96,52.82,78.0,86.15,69.85,87.93,72.34,62.71,66.96,59.87,86.0,54.32,47.3,50.4,45.2,60.4,50.3,1.876,1785000.0
23,ESP,Spain,505283.96,70.6,88.71,52.52,57.22,46.11,505283.96,83.1,98.2,68.1,28.7,73.7,79.2,97.0,62.1,49.2,78.0,"$23,300",506659.44,60.31,98.99,43.73,74.19,39.52,79.79,97.63,67.89,56.56,81.84,88.91,94.57,83.24,96.73,81.83,78.39,94.21,67.85,95.66,67.77,74.3,86.8,66.0,87.6,71.2,1.603,82773000.0
24,SGP,Singapore,592.54,69.6,89.18,50.09,44.24,48.57,,,,,,,,,,,,,671.15,56.36,100.00,37.65,34.06,28.26,81.78,99.44,70.01,46.33,86.85,87.04,89.35,84.74,72.26,95.44,64.23,72.14,58.96,21.46,67.64,58.1,85.0,40.2,20.9,40.2,1.326,14673000.0
25,ECU,Ecuador,256270.64,69.3,75.77,62.92,82.92,55.43,256270.64,84.4,91.7,77.0,79.6,80.1,75.5,78.2,64.6,78.3,66.4,"$3,700",258165.72,60.55,72.14,55.59,93.91,52.65,58.54,73.44,48.62,88.09,54.66,66.58,85.61,47.55,88.91,44.23,57.42,72.58,47.31,84.08,46.8,51.0,50.2,51.5,77.3,60.2,1.988,2535000.0
26,PER,Peru,1288259.27,69.3,61.34,77.21,52.81,70.2,1288259.27,78.1,78.3,77.9,58.1,87.1,65.4,64.8,57.4,57.8,83.5,"$5,600",1293936.3,50.29,45.70,52.25,74.04,67.30,45.05,55.85,37.84,70.36,16.71,72.95,78.39,67.51,84.59,33.92,61.92,56.49,65.53,83.52,58.04,44.0,45.1,43.2,59.5,41.3,2.091,4419000.0
27,DNK,Denmark,42484.49,69.2,89.82,48.49,52.71,46.15,42484.49,84.0,99.3,68.7,13.9,81.8,84.2,98.5,41.0,61.9,81.5,"$32,200",43010.15,63.61,98.99,48.44,61.32,34.91,76.92,97.61,63.12,67.74,67.22,89.21,94.29,84.12,97.6,88.67,81.6,98.2,70.53,94.48,67.56,82.5,91.7,76.4,81.7,95.0,1.296,12749000.0
28,HUN,Hungary,92046.39,69.1,82.66,55.57,49.97,51.34,92046.39,84.2,98.4,70.1,10.5,79.4,77.1,94.2,47.7,55.6,69.2,"$14,900",92967.37,57.12,93.79,41.40,30.12,37.87,70.28,88.98,57.81,29.57,66.87,84.6,81.89,87.3,100.0,91.08,65.01,57.67,69.9,91.7,61.68,63.7,54.1,70.0,82.0,71.3,1.411,17552000.0
29,SLV,El Salvador,20278.94,69.1,68.89,69.26,18.01,75.73,20278.94,77.2,81.8,72.6,4.3,88.5,63.0,64.1,18.9,42.5,82.5,"$4,900",20463.38,52.08,59.43,48.94,39.13,67.44,43.79,65.62,29.23,24.53,58.24,68.07,77.25,58.88,76.43,78.71,53.91,63.99,47.19,69.06,63.47,43.1,42.5,43.5,35.8,62.8,2.231,1677300.0
30,HRV,Croatia,56405.68,68.7,82.47,54.83,67.65,39.88,56405.68,84.6,96.6,72.7,14.1,76.9,,,,,,,61690.87,64.16,83.86,55.71,74.49,46.26,62.23,83.39,48.13,70.87,63.26,86.98,86.37,87.59,98.96,85.23,65.45,67.04,64.39,95.25,54.41,63.1,61.2,64.3,82.6,70.0,1.44,16645000.0
31,DOM,Dominican Republic,48092.01,68.4,72.51,64.38,86.06,56.58,,,,,,,,,,,,,48392.54,52.44,58.47,49.86,52.00,56.07,53.24,69.12,42.65,92.94,44.06,75.32,78.91,71.73,93.54,,64.71,64.86,64.61,87.06,61.27,46.3,36.1,53.2,81.6,56.1,1.99,6569000.0
32,LTU,Lithuania,64995.07,68.3,74.34,62.32,46.53,59.65,64995.07,86.2,95.1,77.4,11.0,88.7,,,,,,,64747.57,65.50,83.28,57.88,86.06,44.67,61.26,73.87,52.86,91.83,51.02,85.49,89.13,81.86,98.55,85.72,69.33,72.57,67.18,93.83,62.46,62.9,63.2,62.7,87.5,65.9,1.724,2825000.0
33,NPL,Nepal,139103.09,68.2,41.38,95.09,79.58,96.36,139103.09,72.1,60.2,84.0,45.0,98.1,60.2,44.1,60.5,35.9,86.4,"$1,500",147607.73,57.97,37.93,66.56,62.18,88.65,37.0,31.67,40.55,61.79,,50.21,46.16,54.26,76.59,,31.44,10.54,45.38,68.52,35.11,32.7,21.0,40.5,62.6,23.7,1.947,1173000.0
