,Code,Country,Landarea_x,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,landarea,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,air,energy,GDP_pc_ppp,Landarea_y,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,2022,Arrivals
59,RUS,Russia,16679992.73,61.2,68.59,53.83,80.26,45.28,16679992.73,83.9,96.3,71.4,79.2,62.9,77.5,92.3,61.0,55.6,15.5,"$9,800",16826303.43,45.43,60.93,38.79,62.75,17.92,53.45,74.22,39.6,53.39,61.02,83.52,87.06,79.98,73.7,84.42,63.79,75.48,55.99,65.64,49.88,50.5,53.0,48.8,54.1,59.9,3.275,
60,ARG,Argentina,2736296.0,61.0,74.49,47.6,31.25,49.58,2736296.0,81.8,91.1,72.5,33.6,82.3,77.7,86.7,49.8,63.1,77.8,"$12,400",2786353.16,56.48,80.75,46.09,43.05,44.99,49.55,86.8,24.72,44.88,16.79,79.84,94.5,65.18,69.72,75.94,59.3,79.88,45.58,55.64,46.65,52.2,60.2,46.8,49.1,60.2,1.911,6942000.0
61,GRC,Greece,131890.98,60.9,86.6,35.13,35.67,32.34,131890.98,80.2,97.2,63.1,9.6,62.5,80.2,96.3,27.4,50.9,74.8,"$21,300",132661.51,60.04,96.02,44.63,79.65,30.07,73.28,91.21,61.32,66.49,59.79,85.81,89.09,82.54,94.82,69.64,73.6,91.03,61.98,90.89,42.17,69.1,80.6,61.4,72.6,66.5,1.838,30123000.0
62,TUN,Tunisia,147881.49,60.6,77.16,44.0,9.99,58.83,147881.49,78.1,92.9,63.3,22.4,77.1,60.0,77.2,5.1,49.1,75.3,"$7,100",155220.7,46.66,70.14,36.60,25.66,50.41,58.99,81.19,44.19,31.08,54.38,77.28,81.1,73.46,61.04,73.94,62.35,81.12,49.83,47.41,51.3,46.7,49.2,45.0,37.1,60.2,1.996,8299000.0
63,DJI,Djibouti,20903.5,60.5,51.45,69.64,1.73,75.44,20903.5,50.5,57.2,43.9,0.2,42.3,,,,,,,,20903,,,,,28.52,52.69,12.4,15.45,,45.29,67.56,23.02,39.2,,40.04,52.89,31.47,28.88,46.4,28.1,20.1,33.4,23.0,40.1,2.213,
64,ARM,Armenia,28272.73,60.4,71.63,49.26,55.34,49.85,28272.73,77.8,88.0,67.5,16.0,87.2,63.8,70.2,55.0,37.8,45.2,"$4,600",29635.92,47.48,63.81,40.48,32.54,61.56,61.67,74.61,53.05,80.16,39.91,81.6,81.76,81.44,87.43,72.77,62.07,56.85,65.56,79.57,49.82,52.3,43.5,58.1,79.2,46.7,1.992,1652000.0
65,TUR,Turkey,768693.62,60.4,74.45,46.34,17.14,53.62,768693.62,75.9,91.2,60.6,5.2,66.5,72.8,84.6,31.8,49.1,69.7,"$7,400",781946.7,44.80,69.80,34.08,20.19,42.71,54.91,73.85,42.28,32.62,46.52,67.68,79.6,55.76,22.53,47.77,52.96,71.56,40.57,25.16,39.99,42.6,51.3,36.9,15.1,49.3,2.785,45768000.0
66,IRN,Iran,1590351.27,60.0,70.21,49.72,42.32,52.56,1590351.27,76.9,88.9,64.8,44.3,63.4,70.0,85.7,48.0,31.1,36.6,"$7,700",1622438.3,42.73,58.21,36.09,42.19,19.42,51.08,76.12,34.39,37.06,36.73,66.32,72.26,60.38,64.16,53.88,58.16,74.01,47.59,51.89,35.93,48.0,48.3,47.8,38.4,55.0,2.687,
67,LAO,Laos,230230.75,59.6,32.63,86.57,100.0,68.77,230230.75,66.3,39.8,92.8,97.1,92.4,52.9,21.4,76.1,56.0,89.8,"$1,900",,230230,,,,,40.37,34.49,44.29,93.85,,50.29,51.18,49.39,90.23,,42.94,25.15,54.8,76.77,77.39,34.8,27.2,39.9,69.7,30.7,1.809,
68,NAM,Namibia,819961.13,59.3,52.02,66.53,73.57,71.45,819961.13,70.6,60.9,80.4,73.4,96.5,56.5,43.9,68.0,69.2,83.4,"$7,300",828456.38,50.68,43.87,53.60,80.83,67.49,43.71,55.53,35.82,94.39,0.54,70.84,69.72,71.96,95.74,61.18,58.46,46.34,66.54,95.75,59.78,40.2,22.5,52.0,76.6,55.4,1.908,
69,GUY,Guyana,210632.19,59.2,66.4,52.09,23.16,59.46,210632.19,64.8,75.3,54.4,55.5,36.5,,,,,,,,210632,,,,,38.07,69.19,17.32,18.66,0.64,71.14,83.53,58.76,51.31,,47.93,61.55,38.86,54.32,34.82,35.9,33.5,37.5,51.0,38.2,2.14,287000.0
70,URY,Uruguay,174047.96,59.1,72.0,46.21,1.85,49.28,174047.96,82.3,88.9,75.6,0.4,88.5,,,,,,,176850.8,57.06,80.34,47.07,20.26,62.10,53.61,89.97,29.37,24.62,24.51,73.98,95.48,52.48,54.32,59.81,64.65,84.72,51.27,49.7,79.01,49.1,67.7,36.7,25.0,55.5,1.795,3469000.0
71,AZE,Azerbaijan,85359.86,59.1,62.72,55.43,67.57,58.09,85359.86,72.2,76.4,67.9,29.0,77.1,55.7,59.2,50.1,32.7,8.0,"$3,800",85712.58,43.11,51.43,39.55,40.18,44.33,55.47,59.37,52.87,58.66,80.88,83.78,82.96,84.6,75.83,97.94,62.33,48.55,71.52,63.15,73.44,46.5,32.7,55.7,56.9,48.6,2.437,2633000.0
72,MDA,Moldova,34013.1,58.8,68.77,48.88,12.76,49.34,34013.1,70.7,85.0,56.4,2.4,67.8,62.9,81.7,16.9,56.9,0.2,"$1,900",34089.71,45.21,60.32,38.74,8.18,42.94,53.36,66.88,44.34,7.51,63.16,76.69,75.3,78.08,53.23,94.82,51.97,60.29,46.42,31.05,47.9,44.4,45.6,43.6,27.9,52.2,1.882,160000.0
73,UKR,Ukraine,588417.29,58.2,73.85,42.58,35.72,42.27,588417.29,74.1,97.0,51.2,8.5,51.1,71.2,93.8,40.1,56.6,3.7,"$6,300",597329.12,46.31,72.01,35.30,46.42,25.14,49.01,77.71,29.87,41.46,27.78,79.69,85.74,73.63,65.58,87.45,52.87,64.44,45.16,49.1,37.59,49.5,49.0,49.9,37.7,69.2,2.971,14104000.0
74,BEL,Belgium,30553.27,58.1,89.05,27.09,20.2,36.65,30553.27,78.4,98.8,58.0,10.0,69.5,75.9,96.6,16.7,59.0,73.2,"$30,600",30577.47,63.02,97.23,48.36,78.49,30.16,66.61,89.82,51.14,57.56,64.47,80.15,79.1,81.21,100.0,80.59,77.38,89.37,69.39,95.7,63.81,73.3,86.0,64.8,87.4,70.2,1.526,9119000.0
75,JAM,Jamaica,11060.19,58.0,70.25,45.83,64.27,37.84,11060.19,79.1,87.2,71.0,35.0,70.0,74.7,76.4,86.1,47.7,42.7,"$4,100",11059.52,54.36,61.53,51.29,73.32,34.53,58.26,70.03,50.41,88.04,76.98,77.02,86.96,67.09,90.47,,58.58,68.48,51.98,83.12,52.26,48.2,45.5,50.0,58.2,65.7,1.99,2473000.0
76,LBN,Lebanon,10327.78,57.9,77.33,38.5,3.49,37.98,10327.78,70.3,95.5,45.0,1.0,40.7,76.7,93.4,20.2,52.1,61.2,"$5,000",10442.47,47.35,81.85,32.57,26.12,27.97,50.15,85.94,26.29,1.71,40.43,69.14,71.69,66.6,43.86,74.74,61.08,83.25,46.3,30.11,43.86,45.4,53.1,40.3,21.8,56.8,2.615,1964000.0
77,KAZ,Kazakhstan,2619353.45,57.3,69.32,45.28,22.7,46.53,2619353.45,65.0,91.5,38.4,22.9,16.1,63.6,70.8,38.4,60.1,8.5,"$7,800",2675245.71,32.94,63.69,19.76,14.18,9.63,51.07,75.4,34.85,14.11,43.49,73.29,88.42,58.15,53.45,60.32,54.56,66.7,46.46,30.73,47.82,44.7,40.8,47.3,41.6,44.6,2.071,8789000.0
78,NIC,Nicaragua,118789.48,57.1,58.73,55.38,59.89,51.13,118789.48,73.4,72.9,74.0,44.8,75.9,69.2,62.5,69.4,50.5,71.3,"$2,300",120835.96,59.23,54.93,61.07,95.27,61.44,50.32,59.9,43.93,91.67,46.82,64.19,72.37,56.02,93.72,90.16,55.04,62.2,50.27,85.68,58.63,39.2,40.2,38.6,59.6,38.0,2.334,1256000.0
79,KOR,South Korea,98977.42,57.0,80.15,33.94,34.19,36.69,98977.42,79.4,95.6,63.1,11.9,71.5,75.2,93.5,39.4,47.1,68.1,"$19,200",100152.25,57.20,91.35,42.57,64.79,22.73,63.79,81.7,51.86,50.4,41.55,70.61,68.85,72.37,69.34,62.39,62.3,73.3,54.96,46.66,46.75,66.5,81.4,56.6,62.6,62.6,1.779,
80,GAB,Gabon,265145.62,56.4,54.03,58.86,77.02,52.86,265145.62,77.3,75.4,79.1,73.0,81.4,73.3,61.0,62.5,96.1,79.8,"$5,900",266364.32,57.91,37.27,66.76,62.87,67.32,46.6,50.09,44.28,82.94,56.67,67.37,75.06,59.68,89.37,70.53,45.05,43.04,46.39,86.17,30.71,45.8,27.9,57.8,86.0,63.8,1.973,
81,CYP,Cyprus,9273.16,56.3,87.64,24.89,75.18,9.26,9273.16,79.2,96.8,61.6,29.3,56.0,78.4,90.4,62.0,48.6,73.9,"$7,135",9289.1,57.15,100.00,38.79,61.00,23.83,66.23,95.23,46.9,77.03,61.92,80.24,88.59,71.9,78.23,89.01,72.6,87.96,62.37,81.66,66.26,64.8,81.5,53.7,56.5,63.1,1.903,3939000.0
82,JOR,Jordan,88361.82,56.1,76.67,35.56,91.35,32.87,88361.82,76.5,91.7,61.4,88.7,61.4,66.0,85.5,56.0,40.6,51.7,"$4,500",90359.45,42.16,76.42,27.47,9.21,35.21,55.78,76.96,41.66,8.52,65.68,72.24,76.67,67.81,42.94,85.38,62.2,86.69,45.87,23.85,46.84,53.4,58.6,49.9,32.2,58.4,1.849,4150000.0
83,BIH,Bosnia and Herzegovina,51295.18,55.9,77.13,34.61,2.83,42.65,,,,,,,,,,,,,46410.16,36.76,69.66,22.67,2.88,34.24,45.79,77.57,24.61,2.5,31.71,63.28,87.09,39.48,36.62,36.87,41.84,63.87,27.15,26.93,26.8,45.4,43.9,46.4,32.9,57.5,1.85,1053000.0
84,SAU,Saudi Arabia,1942660.31,55.3,66.68,43.96,86.35,40.22,1942660.31,72.8,85.5,60.2,95.5,50.5,68.3,83.7,60.2,30.2,33.1,"$12,000",1960597.02,49.97,71.29,40.84,98.95,6.68,66.66,87.54,52.73,93.7,46.63,68.63,72.03,65.22,81.69,48.3,57.47,72.81,47.25,48.33,40.47,44.0,47.2,41.8,38.8,37.5,2.288,15334000.0
85,ERI,Eritrea,121862.9,54.6,30.54,78.72,36.06,76.82,121862.9,59.4,47.2,71.7,42.4,75.0,,,,,,,123059.77,38.39,33.61,40.44,22.24,74.07,25.76,43.44,13.98,17.94,,36.73,47.98,25.47,41.11,,39.34,46.12,34.81,27.52,29.57,30.4,15.5,40.4,33.7,43.4,2.494,
86,TTO,Trinidad and Tobago,5202.12,54.2,70.17,38.33,61.56,26.24,,,,,,,,,,,,,5188.19,47.04,67.63,38.22,69.76,0.38,52.28,71.66,39.36,83.48,32.54,74.34,92.2,56.47,88.51,,67.36,81.44,57.96,88.93,50.02,47.5,54.6,42.9,67.8,42.1,2.005,375000.0
87,GTM,Guatemala,108523.47,54.0,56.38,51.56,48.35,54.99,108523.47,76.7,78.2,75.1,36.4,80.2,68.9,64.4,69.1,32.6,82.1,"$4,200",109666.23,51.88,51.24,52.15,59.76,65.28,48.06,60.55,39.74,57.55,64.18,69.64,71.78,67.49,78.02,89.59,52.33,54.97,50.57,65.13,57.46,31.8,30.8,32.5,41.3,36.7,2.139,1781000.0
88,MWI,Malawi,94968.41,51.4,27.98,74.91,97.95,76.77,94968.41,59.9,34.0,85.8,90.1,94.5,56.5,29.6,64.6,79.2,86.6,$600,,94968,,,,,40.06,39.34,40.54,87.81,,49.69,47.53,51.86,93.35,,49.21,39.93,55.39,91.89,64.88,38.3,26.5,46.2,84.2,34.2,1.895,871000.0
89,KEN,Kenya,579617.08,51.4,32.15,70.62,76.36,66.86,579617.08,69.0,54.5,83.5,89.0,84.1,56.4,38.0,54.1,87.0,76.5,"$1,100",582801.69,49.28,27.91,58.44,72.55,65.32,36.99,38.37,36.07,67.96,,62.49,58.6,66.39,84.09,67.06,47.25,42.96,50.12,79.01,51.37,34.7,25.7,40.6,53.5,49.0,2.303,
90,GHA,Ghana,231729.96,51.3,32.89,69.78,74.7,64.34,231729.96,70.8,59.0,82.6,63.8,92.6,63.1,48.8,50.1,87.3,83.3,"$2,300",239888.71,47.50,31.62,54.30,45.13,73.94,32.07,40.31,26.58,34.26,27.3,58.89,54.47,63.31,80.79,68.6,49.66,44.42,53.15,77.96,57.59,27.6,20.1,32.6,58.9,29.6,1.759,
91,MMR,Myanmar,669707.48,51.3,42.63,59.97,33.75,64.94,669707.48,65.1,63.9,66.3,24.5,73.8,57.0,47.3,42.7,27.4,88.3,"$1,700",673036.29,52.72,36.01,59.88,53.57,77.27,27.44,41.39,18.14,28.62,,48.98,51.82,46.14,57.74,,45.32,35.6,51.8,42.74,76.26,25.1,24.6,25.4,31.0,22.2,2.631,3551000.0
92,TJK,Tajikistan,130110.95,51.3,52.04,50.53,38.06,59.18,130110.95,72.3,62.2,82.5,43.8,98.2,48.2,38.0,48.7,40.7,16.9,"$1,100",142132.02,38.78,40.74,37.94,24.35,73.55,31.34,49.89,18.97,24.28,,73.05,71.41,74.7,74.2,99.24,47.85,26.26,62.24,67.01,60.73,38.2,20.7,49.9,65.8,36.9,2.031,1035000.0
93,MOZ,Mozambique,777123.23,51.2,23.12,79.33,60.11,89.85,777123.23,53.9,25.5,82.4,55.4,99.8,45.7,16.7,39.7,74.6,84.0,"$1,200",784037.78,47.82,22.05,58.86,62.03,93.35,29.97,31.49,28.96,63.17,,41.82,31.24,52.4,88.43,,46.37,46.36,46.37,90.47,23.49,33.9,28.1,37.8,67.4,31.1,2.316,2743000.0
94,KWT,Kuwait,17259.47,51.1,83.47,18.78,17.09,35.05,17259.47,64.5,92.0,37.1,27.6,38.6,,,,,,,17431.77,35.54,83.84,14.84,13.15,3.57,63.94,77.98,54.59,92.88,42.23,64.41,65.06,63.76,87.12,33.57,62.28,70.55,56.77,86.33,31.78,53.6,57.3,51.2,66.0,49.7,1.739,8508000.0
95,ZAF,South Africa,1217643.11,50.8,59.0,42.57,62.39,39.48,1217643.11,69.0,81.8,56.2,44.8,51.4,62.0,71.8,47.2,78.6,53.3,"$11,100",1224041.62,34.55,42.52,31.13,50.24,21.03,53.51,59.33,49.64,63.96,49.87,70.52,76.66,64.38,75.06,54.26,44.73,36.81,50.01,64.24,44.63,43.1,31.1,51.0,63.2,62.8,2.283,10472000.0
96,HND,Honduras,112078.1,49.9,58.04,41.7,62.25,47.56,112078.1,75.4,77.2,73.6,47.1,76.9,70.8,66.1,78.2,39.5,73.2,"$2,800",113036.06,52.54,46.14,55.29,65.06,63.95,48.87,57.52,43.11,76.81,48.29,69.64,74.19,65.09,86.89,80.14,51.51,55.95,48.54,84.11,46.02,37.8,33.4,40.7,59.9,43.1,2.269,
97,UGA,Uganda,207069.18,49.8,27.94,71.6,87.5,78.62,207069.18,61.6,41.6,81.6,78.9,94.5,60.8,31.7,73.6,98.0,92.4,"$1,500",,,,,,,39.18,37.26,40.46,91.31,,57.56,51.71,63.4,93.61,,44.28,33.64,51.38,89.54,38.87,35.6,25.7,42.2,81.4,27.4,2.309,
98,MDG,Madagascar,592965.42,49.2,21.57,76.77,31.58,74.65,592965.42,54.6,37.6,71.6,35.2,79.8,48.6,23.3,39.5,74.7,82.7,$800,,,,,,,26.7,37.2,19.71,37.08,,37.1,32.69,41.51,64.68,,33.73,42.39,27.96,43.17,16.23,26.5,22.1,29.4,25.0,39.9,1.995,291000.0
99,CHN,China,9198093.51,49.0,58.68,39.33,57.22,40.18,9198093.51,65.1,71.4,58.8,56.7,52.7,56.2,61.0,68.2,22.3,50.8,"$5,600",9365944.83,42.24,46.33,40.49,65.65,31.03,43.0,42.73,43.19,66.63,65.16,65.1,59.41,70.79,77.45,74.78,50.74,31.72,63.42,72.57,68.62,37.3,41.8,34.4,19.0,46.3,2.01,62900000.0
100,QAT,Qatar,10973.25,48.9,87.69,10.08,6.17,27.18,,,,,,,,,,,,,11314.8,46.59,89.90,28.03,40.19,3.66,63.03,89.11,45.64,8.47,70.93,69.94,66.79,73.1,58.37,89.35,67.8,74.18,63.54,43.71,68.68,37.1,56.9,23.9,41.3,12.1,1.533,1819300.0
101,IND,India,3208099.12,48.3,41.59,55.1,38.65,60.25,3208099.12,60.3,62.6,58.0,21.2,57.9,47.7,43.8,39.8,28.4,59.7,"$3,100",3279681.99,36.23,25.66,40.76,41.83,51.91,31.23,33.19,29.92,39.18,35.24,53.58,47.99,59.17,63.42,67.19,30.57,9.32,44.74,49.13,44.77,27.6,16.3,35.2,33.7,45.0,2.578,17423000.0
102,PAK,Pakistan,785319.81,48.0,42.82,53.11,52.85,67.14,785319.81,58.7,54.6,62.7,44.0,67.4,41.1,46.1,23.0,8.2,66.7,"$2,200",797494.67,39.56,28.62,44.25,60.05,56.73,34.58,38.78,31.79,41.43,44.33,51.42,52.73,50.11,70.04,70.35,37.5,16.8,51.3,60.14,50.79,33.1,14.6,45.3,46.1,50.6,2.789,
103,TZA,Tanzania,891021.57,47.9,25.91,69.89,80.59,66.83,891021.57,63.9,52.2,75.6,87.2,72.8,59.0,37.3,74.1,86.2,82.9,$700,897949.26,54.26,27.47,65.74,92.08,69.35,36.19,35.89,36.39,79.12,,58.34,47.25,69.43,94.34,,50.83,45.0,54.71,95.03,43.1,31.1,27.4,33.5,70.7,18.7,2.001,1378000.0
104,ZWE,Zimbabwe,389053.02,47.8,38.04,57.6,93.75,61.25,389053.02,69.3,67.8,70.8,91.1,68.1,63.0,49.9,67.6,70.0,63.1,"$1,900",392742.92,52.76,32.33,61.52,99.46,57.31,49.54,46.42,51.62,99.52,,59.25,64.28,54.22,94.31,70.99,43.41,40.58,45.3,94.53,24.89,37.0,22.5,46.7,87.0,37.0,2.35,2580000.0
105,BFA,Burkina Faso,275747.61,47.3,12.24,82.33,100.0,76.31,275747.61,44.3,16.2,72.5,64.7,77.6,43.2,9.9,80.0,52.4,86.5,"$1,200",,,,,,,40.52,32.17,46.08,83.75,,43.71,37.65,49.77,88.05,,42.83,44.22,41.91,85.54,26.24,38.3,19.6,50.9,77.8,31.9,2.786,144000.0
106,SDN,Sudan,2492385.4,47.1,23.61,70.58,29.07,72.94,2492385.4,55.5,47.0,64.1,30.1,67.9,44.0,24.5,41.3,24.9,83.8,"$1,900",2510435.52,46.00,25.02,54.99,29.05,68.17,24.64,36.33,16.84,16.29,,42.25,49.63,34.87,42.8,,51.49,50.09,52.43,40.13,72.11,34.8,20.8,44.1,46.6,52.8,3.007,836000.0
107,ZMB,Zambia,745317.51,47.0,24.21,69.8,100.0,66.56,745317.51,55.1,30.8,79.4,99.9,81.0,54.4,24.0,81.6,69.1,74.2,$900,753777.74,55.56,23.06,69.48,100.00,86.59,41.72,36.18,45.41,100.0,,66.06,59.53,72.59,97.06,,50.97,31.57,63.91,98.75,51.67,34.7,21.0,43.9,90.4,26.5,1.841,1072000.0
108,OMN,Oman,304189.58,45.9,71.28,20.47,47.09,28.03,304189.58,70.3,84.6,55.9,46.1,53.6,67.9,79.5,41.1,28.1,57.6,"$13,100",314382.71,44.00,73.85,31.21,59.69,11.87,47.75,81.08,25.52,42.28,21.64,60.13,75.45,44.81,48.68,23.83,51.32,75.98,34.88,34.81,32.71,38.5,43.4,35.2,28.2,32.0,1.889,2301000.0
109,GNB,Guinea-Bissau,34105.82,44.7,12.62,76.72,75.02,75.4,34105.82,49.7,36.7,62.8,46.5,58.7,46.1,17.1,47.3,61.6,72.1,$700,,,,,,,35.98,30.68,39.52,89.87,,48.2,42.67,53.72,87.3,,44.67,43.6,45.38,85.77,53.23,29.1,15.1,38.4,72.2,33.6,2.156,
110,CMR,Cameroon,465765.23,44.6,27.43,61.82,70.01,66.13,465765.23,63.8,47.7,79.9,53.4,97.0,54.1,31.5,54.0,67.5,85.3,"$1,900",465122.8,42.97,19.85,52.87,43.12,75.51,36.68,37.63,36.06,45.67,62.13,57.13,54.47,59.78,77.33,79.43,40.81,39.18,41.9,49.56,58.53,33.6,13.6,46.9,48.6,66.4,2.709,
111,IDN,Indonesia,1897811.61,44.6,44.59,44.64,63.19,49.24,1897811.61,66.2,69.5,62.9,50.3,59.8,60.7,53.9,66.0,25.1,67.1,"$3,500",1900662.92,52.29,48.20,54.04,75.29,48.91,44.36,55.72,36.78,78.08,45.25,65.85,76.82,54.88,81.62,81.59,46.92,45.44,47.9,70.4,53.43,37.8,29.0,43.7,56.3,54.4,1.8,15810000.0
112,RWA,Rwanda,24348.89,44.6,20.33,68.89,85.03,64.45,24348.89,54.9,32.2,77.5,72.2,78.0,57.0,31.1,63.2,91.1,87.4,"$1,300",,,,,,,35.41,38.7,33.21,56.32,,50.34,51.88,48.79,71.26,,43.68,31.03,52.12,63.24,69.91,33.8,24.4,40.0,57.4,35.9,1.945,
113,GIN,Guinea,245860.06,44.4,19.59,69.15,46.31,69.73,245860.06,51.3,31.3,71.4,32.4,81.8,49.2,17.2,64.3,69.6,88.6,"$2,100",,,,,,,28.03,32.2,25.25,41.0,,55.4,46.26,64.54,86.95,,46.62,45.02,47.69,83.29,37.24,26.4,18.6,31.5,59.9,26.8,2.332,
114,BOL,Bolivia,1069133.7,44.3,45.4,43.27,85.71,31.36,1069133.7,64.7,61.2,68.2,78.4,61.3,63.4,53.6,66.6,39.0,63.7,"$2,600",1087070.75,54.57,41.51,60.17,88.41,54.70,50.48,53.95,48.17,81.04,63.57,71.09,78.91,63.26,90.06,37.25,55.98,61.64,52.21,88.58,33.49,44.3,35.9,49.8,83.6,40.0,1.989,1142000.0
115,PNG,Papua New Guinea,465004.05,44.3,35.1,53.49,15.63,55.88,465004.05,64.8,58.2,71.4,47.1,75.9,55.5,34.2,34.3,73.7,83.3,"$2,200",,,,,,,41.09,40.97,41.17,25.68,89.98,48.02,50.29,45.75,46.46,,39.35,47.26,34.09,34.04,55.36,32.4,28.4,35.1,27.3,47.6,2.046,140000.0
116,BGD,Bangladesh,136248.11,44.0,32.33,55.57,14.92,70.72,136248.11,58.0,53.6,62.4,5.5,77.1,43.5,38.2,25.3,6.9,81.7,"$2,000",138968.65,42.55,33.90,46.26,23.57,60.82,25.61,30.42,22.4,39.68,,41.77,40.36,43.18,63.77,,29.56,11.96,41.29,53.58,46.95,29.0,22.4,33.5,46.8,35.6,2.067,
117,BDI,Burundi,25226.95,43.9,22.56,65.25,51.5,78.02,25226.95,54.7,37.6,71.7,62.5,81.5,51.6,30.6,37.2,90.9,88.8,$600,,,,,,,25.78,31.56,21.93,30.29,,43.37,38.94,47.81,64.71,,27.43,25.69,28.59,53.67,16.18,27.0,21.9,30.5,52.3,16.8,2.47,
118,ETH,Ethiopia,1123716.57,43.1,11.04,75.24,93.7,77.59,1123716.57,58.8,35.0,82.7,71.2,97.2,36.7,10.4,43.5,57.1,84.1,$800,1134616.89,52.71,22.68,65.57,67.56,81.30,39.43,35.21,42.24,83.78,,45.83,36.96,54.69,83.52,,44.78,32.8,52.77,78.99,64.18,34.4,25.2,40.6,72.2,26.1,2.806,849000.0
119,MNG,Mongolia,1546296.94,42.8,42.73,42.86,80.73,36.94,1546296.94,68.1,66.6,69.6,88.0,57.5,48.8,47.8,71.7,28.5,8.7,"$1,900",1565594.38,45.37,46.57,44.85,69.47,19.66,44.67,55.12,37.7,73.25,25.06,64.39,67.86,60.92,83.56,77.08,57.51,61.97,54.54,75.28,53.98,32.2,27.6,35.3,73.1,16.6,1.775,529000.0
120,SEN,Senegal,196150.99,42.3,27.23,57.32,78.1,51.44,196150.99,62.8,58.4,67.3,29.5,70.7,52.2,39.9,67.6,52.9,77.6,"$1,700",197362.9,46.73,22.54,57.10,90.05,65.66,40.83,44.84,38.16,85.36,,63.73,60.36,67.1,93.36,,49.52,47.55,50.83,91.67,38.73,30.7,20.4,37.6,68.7,30.3,1.916,
121,UZB,Uzbekistan,412711.17,42.3,64.12,20.42,21.75,37.27,412711.17,65.0,78.2,51.7,23.9,46.9,52.3,57.7,38.3,36.4,0.4,"$1,800",422374.38,32.24,52.74,23.45,12.88,24.08,43.23,67.68,26.92,12.87,51.9,63.67,78.49,48.85,56.18,93.54,45.88,50.67,42.69,30.96,49.18,44.3,29.7,54.1,37.6,65.9,2.001,5346000.0
122,BHR,Bahrain,637.88,42.0,83.69,0.23,13.61,25.49,,,,,,,,,,,,,,,,,,,51.83,83.22,30.9,4.99,39.57,70.07,74.03,66.12,56.54,67.71,55.15,65.28,48.41,33.26,44.31,51.0,49.2,52.2,18.9,67.1,2.085,12045000.0
123,GNQ,Equatorial Guinea,27104.52,41.9,35.04,48.77,77.06,37.44,,,,,,,,,,,,,,,,,,,41.06,38.85,42.54,91.32,,69.59,65.42,73.77,91.8,,60.4,49.66,67.55,87.76,70.08,38.1,27.6,45.1,66.0,46.1,1.863,
124,KHM,Cambodia,179559.26,41.7,28.81,54.57,81.73,56.29,179559.26,53.8,39.1,68.5,85.4,66.0,49.8,18.3,82.7,56.6,89.1,"$2,000",182473.12,55.29,31.25,65.59,94.75,73.93,35.44,42.73,30.58,78.93,,51.24,58.8,43.67,88.15,,43.23,39.81,45.51,80.53,47.63,33.6,30.5,35.6,60.1,30.9,1.882,6201000.0
125,BWA,Botswana,559515.8,41.3,43.28,39.34,100.0,37.89,559515.8,68.7,68.6,68.7,100.0,61.4,,,,,,,580647.2,53.74,45.69,57.18,100.00,48.53,47.6,62.04,37.98,100.0,16.57,70.72,72.37,69.07,93.75,75.67,51.7,37.19,61.37,98.31,47.24,40.4,20.2,53.8,91.6,37.9,1.801,
126,IRQ,Iraq,426753.71,41.0,39.57,42.42,0.0,64.15,426753.71,53.9,67.1,40.8,1.6,40.6,,,,,,,435919.22,25.32,44.52,17.09,0.59,23.68,33.39,58.01,16.98,0.0,36.03,63.97,64.19,63.75,34.64,81.88,43.2,61.46,31.02,28.39,19.73,39.5,39.5,39.4,40.5,31.6,3.157,
127,TCD,Chad,1243139.16,40.8,6.13,75.56,73.51,75.43,1243139.16,45.9,18.4,73.3,79.9,73.3,30.5,0.0,60.5,24.4,88.8,"$1,600",,,,,,,31.02,29.57,31.99,55.34,,37.83,28.46,47.21,80.62,,45.34,41.36,47.99,72.22,49.62,26.7,14.9,34.6,69.0,17.4,2.591,
128,ARE,United Arab Emirates,74776.6,40.7,81.29,0.06,1.17,20.58,,,,,,,,,,,,,79534.68,50.91,87.69,35.15,85.72,2.78,72.91,88.33,62.64,96.47,33.86,69.35,71.43,67.28,89.41,38.49,58.9,67.88,52.92,74.67,27.12,55.6,55.2,55.9,80.9,38.9,1.865,21286000.0
129,NGA,Nigeria,904234.85,40.2,17.64,62.74,74.67,75.84,904234.85,56.2,40.6,71.7,59.8,85.5,44.5,23.0,42.0,55.9,68.6,"$1,000",909041.16,40.14,16.54,50.26,52.69,60.03,39.2,34.05,42.63,57.54,70.55,58.27,53.01,63.53,75.43,82.17,54.76,36.64,66.84,71.64,73.85,31.0,13.9,42.4,53.6,50.8,2.725,
