ISO3V10,Country,EPI_regions,GEO_subregion,Population2005,GDP_capita MRYA,landlock,landarea,density,EPI,ENVHEALTH,ECOSYSTEM,ENVHEALTH,AIR_E,WATER_E,BIODIVERSITY,PRODUCTIVE_NATURAL_RESOURCES,CLIMATE,DALY_SC,WATER_H,AIR_H,AIR_E,WATER_E,BIODIVERSITY,FOREST,FISH,AGRICULTURE,CLIMATE,ACSAT_pt,WATSUP_pt,DALY_pt,INDOOR_pt,PM10_pt,OZONE_H_pt,SO2_pt,OZONE_E_pt,WATQI_pt,WATQI_GEMS station data,FORGRO_pt,CRI_pt,EFFCON_pt,AZE_pt,MPAEEZ_pt,EEZTD_pt,MTI_pt,IRRSTR_pt,AGINT_pt,AGSUB_pt,BURNED_pt,PEST_pt,GHGCAP_pt,CO2IND_pt,CO2KWH_pt,ACSAT,WATSUP,DALY,INDOOR,PM10,OZONE_H,SO2,OZONE_E,WATQI,WATQI_GEMS station data,WATSTR,FORGRO,CRI,EFFCON,AZE,MPAEEZ,EEZTD,MTI,IRRSTR,AGINT,AGSUB,BURNED,PEST,GHGCAP,CO2IND,CO2KWH
BEN,Benin,Sub-Saharan Africa,Western Africa,8438.9,1015.9,0,115828.16,10.5,56.1,40.2,71.9,40.2,91.6,60.1,86.0,65.8,71.2,40.5,32.8,47.1,91.6,60.1,86.0,17.8,91.5,88.2,71.2,21.6,44.0,40.5,0.4,80.7,73.0,99.4,83.8,20.1,,17.8,98.9,98.7, ,0.0,83.0,100.0,100.0,87.9,100.0,57.9,95.5,93.7,96.3,23.5,33.0,67.0,33.0,94.6,42.9,500.7,0.2,66388500.5,52.0,,0.0,0.8,0.5,9.9, ,0.0,0.0,0.2,0.0,0.0,7.7,5.7,21.0,5.5,1.1,710.0
BFA,Burkina Faso,Sub-Saharan Africa,Western Africa,13227.8,1142.9,1,275747.61,5.2,44.3,16.2,72.5,16.2,90.7,53.4,64.7,76.1,77.6,8.1,16.9,31.8,90.7,53.4,64.7,64.5, ,87.7,77.6,0.0,33.8,8.1,0.0,38.0,83.3,99.8,81.6,20.1,,64.5,46.1,83.2, ,100.0, , ,96.0,99.3,100.0,79.6,63.6,97.3,99.3,36.3,13.0,61.0,51.0,95.0,93.7,310.2,0.1,75316398.1,52.0,,12.2,0.9,0.2,8.3, ,10.0, , ,3.4,0.0,0.4,2.8,14.0,3.7,0.9,591.0
BGD,Bangladesh,South Asia,South Asia,141822.3,1916.2,0,136248.11,95,58.0,53.6,62.4,53.6,95.7,74.8,5.5,47.1,77.1,74.8,42.3,22.5,95.7,74.8,5.5,83.1,0.0,58.2,77.1,28.7,55.9,74.8,6.4,0.0,99.6,96.1,95.2,59.3,59.3,83.1,4.4,9.5, ,1.0,0.0, ,100.0,0.0,91.7,99.3,0.0,100.0,91.3,40.0,39.0,74.0,14.0,88.9,140.0,7.7,1.6,19500400.6,75.5,75.5,8.8,1.0,0.0,0.9, ,0.1, ,1.0,0.0,3.9,68.0,0.1,0.0,1.3,1.4,557.0
BGR,Bulgaria,Central and Eastern Europ,Central Europe,7726.0,8753.9,0,111307.14,14,78.5,94.7,62.2,94.7,83.9,76.1,21.3,78.6,63.3,99.6,98.6,81.0,83.9,76.1,21.3,100.0,52.3,83.5,63.3,98.8,98.3,99.6,82.1,70.3,100.0,67.7,100.0,92.4,92.4,100.0,26.6,22.7, ,0.0,87.7,16.9,94.0,71.0,93.5,59.2,100.0,88.6,49.5,51.7,99.0,99.0,0.2,17.0,55.3,0.0,13.6,1308.5,95.4,95.4,36.5,1.1,0.1,2.3, ,0.0,0.0,0.1,5.1,3.0,18.4,5.5,22.0,8.1,4.3,448.0
BIH,Bosnia and Herzegovina          ,Central and Eastern Europ,Central Europe,3907.1,5600.0,0,51295.18,1.1,79.7,93.1,66.3,93.1,91.8,92.4,1.2,88.6,68.9,99.5,94.5,79.0,91.8,92.4,1.2,100.0, ,77.2,68.9,94.2,94.9,99.5,47.7,100.0,99.8,83.7,99.9,84.8,84.8,100.0,1.9,0.5, ,100.0, , ,100.0,96.9,100.0,79.9,9.1,93.9,79.4,33.3,95.0,97.0,0.3,49.7,19.4,4.0,6.9,246209.0,90.9,90.9,0.0,1.1,0.0,0.0, ,10.0, , ,0.0,0.0,2.0,2.7,2.0,5.4,2.3,619.0
BLR,Belarus,Central and Eastern Europ,Eastern Europe,9755.1,7809.6,1,207012.55,8.4,80.5,95.4,65.6,95.4,98.7,64.8,23.3,88.4,68.3,99.5,90.6,92.0,98.7,64.8,23.3,100.0, ,76.8,68.3,81.3,100.0,99.5,80.0,100.0,100.0,97.4,100.0,31.7,,100.0,26.4,20.3, ,100.0, , ,100.0,86.8,100.0,88.2,9.1,86.1,50.9,67.8,84.0,100.0,0.3,19.0,6.7,0.0,1.1,0.0,58.9,,1.8,1.1,0.1,2.0, ,10.0, , ,0.0,0.0,8.3,1.6,2.0,9.4,4.2,299.0
BLZ,Belize,Latin America and Caribbe,Meso America,269.7,6460.0,0,22290.39,0,71.7,81.3,62.2,81.3,99.5,78.5,89.2,81.4,39.6,92.1,61.4,79.8,99.5,78.5,89.2,100.0,62.4,81.7,39.6,38.0,84.7,92.1,54.7,100.0,89.4,99.1,99.8,57.1,,100.0,100.0,96.7, ,71.0,83.7,41.0,100.0,100.0,100.0,99.5,9.1,0.0,80.4,38.4,47.0,91.0,4.4,43.0,18.1,195.4,0.4,690736.0,74.2,,0.0,1.0,0.5,9.7, ,7.1,0.0,0.2,0.0,0.0,0.0,0.1,2.0,54.1,2.2,571.1
BOL,Bolivia,Latin America and Caribbe,South America,9182.0,2579.2,1,1069133.7,1.3,64.7,61.2,68.2,61.2,49.4,70.7,78.4,84.5,61.3,73.0,55.7,43.2,49.4,70.7,78.4,90.2, ,78.9,61.3,36.8,74.5,73.0,63.8,44.3,0.0,98.8,0.0,43.7,43.7,90.2,100.0,92.4,42.9,100.0, , ,100.0,100.0,100.0,76.3,18.2,44.5,91.3,48.1,46.0,85.0,15.0,34.4,86.2,2509.2,0.5,430775992.3,66.2,66.2,2.1,1.0,0.5,9.2,42.9,10.0, , ,0.0,0.0,0.0,3.2,4.0,31.0,1.4,481.0
BRA,Brazil,Latin America and Caribbe,South America,186404.9,7825.8,0,8511043.6,2.5,82.7,86.9,78.4,86.9,48.9,85.7,53.9,89.0,83.3,93.5,76.9,83.8,48.9,85.7,53.9,81.9,89.7,95.4,83.3,70.8,83.0,93.5,86.4,93.2,59.6,97.8,0.0,73.9,73.9,81.9,70.3,78.7,32.1,9.0,79.4,100.0,99.3,96.8,95.8,93.9,90.9,80.9,78.0,90.9,75.0,90.0,3.6,12.9,28.1,748.9,0.9,2660989993.0,84.3,84.3,2.3,1.0,0.4,7.9,32.1,0.9,0.0,0.2,0.6,2.0,2.0,0.8,20.0,12.1,2.4,84.0
BWA,Botswana,Sub-Saharan Africa,Southern Africa,1764.9,11313.3,1,559515.8,0.3,68.7,68.6,68.7,68.6,90.6,47.8,100.0,75.7,61.4,88.1,61.8,36.3,90.6,47.8,100.0,79.2, ,72.3,61.4,32.2,91.5,88.1,31.6,59.1,0.0,98.7,82.6,29.4,,79.2,100.0,100.0, ,100.0, , ,62.9,100.0,100.0,94.0,4.5,84.1,100.0,0.0,42.0,95.0,6.6,65.0,68.6,2415.0,0.6,71323601.9,57.5,,30.6,1.0,0.5,10.0, ,10.0, , ,31.6,0.0,0.0,0.8,1.0,10.5,0.8,1848.0
