ISO3V10,Country,EPI_regions,GEO_subregion,Population2005,GDP_capita MRYA,landlock,landarea,density,EPI,ENVHEALTH,ECOSYSTEM,ENVHEALTH,AIR_E,WATER_E,BIODIVERSITY,PRODUCTIVE_NATURAL_RESOURCES,CLIMATE,DALY_SC,WATER_H,AIR_H,AIR_E,WATER_E,BIODIVERSITY,FOREST,FISH,AGRICULTURE,CLIMATE,ACSAT_pt,WATSUP_pt,DALY_pt,INDOOR_pt,PM10_pt,OZONE_H_pt,SO2_pt,OZONE_E_pt,WATQI_pt,WATQI_GEMS station data,FORGRO_pt,CRI_pt,EFFCON_pt,AZE_pt,MPAEEZ_pt,EEZTD_pt,MTI_pt,IRRSTR_pt,AGINT_pt,AGSUB_pt,BURNED_pt,PEST_pt,GHGCAP_pt,CO2IND_pt,CO2KWH_pt,ACSAT,WATSUP,DALY,INDOOR,PM10,OZONE_H,SO2,OZONE_E,WATQI,WATQI_GEMS station data,WATSTR,FORGRO,CRI,EFFCON,AZE,MPAEEZ,EEZTD,MTI,IRRSTR,AGINT,AGSUB,BURNED,PEST,GHGCAP,CO2IND,CO2KWH
CRI,Costa Rica,Latin America and Caribbe,Meso America,4327.2,9646.5,0,51014.99,8.8,90.5,93.2,87.7,93.2,99.3,78.5,48.0,97.1,98.3,98.2,92.8,83.8,99.3,78.5,48.0,100.0,99.1,92.0,98.3,90.6,94.9,98.2,75.8,83.8,100.0,98.6,100.0,57.1,,100.0,95.0,15.9,75.0,6.0,98.2,100.0,100.0,93.6,94.8,99.0,72.7,97.8,100.0,97.1,92.0,97.0,1.0,23.0,39.3,0.0,0.6,0.0,74.2,,0.0,1.0,0.5,1.6,75.0,0.6,0.0,0.0,0.0,2.4,4.1,0.1,16.0,3.4,0.6,27.0
CUB,Cuba,Latin America and Caribbe,Caribbean,11269.4,4100.0,0,111198.91,24.3,80.7,96.4,65.1,96.4,96.6,72.2,28.0,86.6,64.5,98.2,91.2,97.9,96.6,72.2,28.0,100.0,78.6,81.0,64.5,97.7,84.7,98.2,94.7,100.0,99.9,93.2,100.0,76.1,76.1,100.0,34.4,24.5,47.2,6.0,88.6,68.7,100.0,46.0,100.0,95.5,63.6,95.4,98.1,0.0,98.0,91.0,1.0,5.0,19.1,1.1,2.9,194058.0,85.6,85.6,28.7,1.2,0.2,2.5,47.2,0.6,0.0,0.1,0.0,0.0,34.2,0.6,14.0,4.6,1.0,987.0
CYP,Cyprus,Middle East and North Africa,Central Europe,835.3,20202.7,0,9273.16,13.9,79.2,96.8,61.6,96.8,91.6,67.2,29.3,97.3,56.0,99.1,100.0,88.8,91.6,67.2,29.3,100.0,94.5, ,56.0,100.0,100.0,99.1,94.7,77.3,100.0,83.3,100.0,34.4,34.4,100.0,65.7,22.1, ,0.0,95.3,93.8, ,100.0,22.8,95.7,95.5,81.6,71.7,14.6,100.0,100.0,0.5,5.0,47.0,0.0,7.1,0.0,60.5,60.5,0.0,1.0,0.3,2.2, ,0.0,0.0,0.0, ,36.0,0.0,0.6,21.0,11.8,2.8,792.0
CZE,Czech Rep.,Central and Eastern Europ,Central Europe,10219.6,19699.5,1,78600.63,30.5,76.8,91.6,62.0,91.6,78.3,50.2,38.4,90.9,62.3,99.8,98.8,68.0,78.3,50.2,38.4,100.0, ,81.9,62.3,97.7,100.0,99.8,22.4,97.5,99.9,56.6,100.0,3.3,3.3,100.0,49.7,27.1, ,0.0, , ,100.0,54.7,61.4,93.3,100.0,76.7,65.7,44.4,98.0,100.0,0.1,73.7,23.0,1.1,18.3,155901.0,41.9,41.9,2.6,1.1,0.2,2.7, ,0.0, , ,0.0,18.0,28.6,0.9,22.0,14.3,3.2,516.0
DEU,Germany,Europe,Western Europe,82689.2,27437.6,0,356026.24,68.9,86.3,99.4,73.3,99.4,91.1,79.2,48.2,76.5,76.2,99.8,100.0,97.8,91.1,79.2,48.2,100.0,51.0,78.5,76.2,100.0,100.0,99.8,94.7,100.0,99.6,84.0,98.2,76.0,76.0,100.0,62.7,25.2, ,100.0,2.1,100.0,100.0,72.8,22.8,96.7,100.0,80.8,85.5,62.4,100.0,100.0,0.1,5.0,19.3,6.7,6.7,7526200.3,85.6,85.6,15.9,1.2,0.3,2.5, ,10.0,0.0,1.0,0.0,36.0,17.2,0.5,22.0,12.2,1.8,349.0
DJI,Djibouti,Sub-Saharan Africa,Eastern Africa,793.1,1982.4,0,20903.5,4.2,50.5,57.2,43.9,57.2,99.8,49.8,0.2,68.5,42.3,36.9,66.6,88.2,99.8,49.8,0.2,100.0,23.9,81.6,42.3,78.9,54.2,36.9,94.4,76.2,100.0,99.7,100.0,25.6,,100.0,0.0,0.0,0.0,2.0,23.9, ,46.0,100.0,100.0,89.5,72.7,6.2,90.5,30.1,82.0,73.0,35.0,5.3,48.3,0.0,0.1,0.0,55.3,,23.6,1.0,0.0,0.0,0.0,0.2, ,0.8,46.0,0.0,0.0,1.4,16.0,50.9,1.5,648.6
DNK,Denmark,Europe,Western Europe,5430.6,31422.5,0,42484.49,26.5,84.0,99.3,68.7,99.3,96.1,83.4,13.9,56.1,81.8,99.6,100.0,97.8,96.1,83.4,13.9,100.0,3.9,64.5,81.8,100.0,100.0,99.6,94.7,100.0,99.8,92.3,99.9,69.2,69.2,100.0,9.6,1.1, ,31.0,5.9,1.8,100.0,0.0,22.8,99.6,100.0,81.8,94.1,69.4,100.0,100.0,0.2,5.0,20.0,4.5,3.3,206460.0,81.5,81.5,2.3,1.0,0.0,0.1, ,3.1,0.0,0.9,0.0,36.0,63.4,0.1,22.0,11.7,1.3,284.0
DOM,Dominican Rep.,Latin America and Caribbe,Caribbean,8894.9,7617.8,0,48092.01,48.2,83.0,88.8,77.2,88.8,97.4,68.5,65.7,85.5,78.7,91.0,82.9,90.4,97.4,68.5,65.7,100.0,64.8,91.7,78.7,74.3,91.5,91.0,84.1,92.0,100.0,94.8,100.0,59.4,,100.0,53.2,26.4,83.3,100.0,83.0,46.6,86.5,78.2,100.0,98.2,95.5,98.1,100.0,38.1,78.0,95.0,5.0,15.1,29.6,0.0,2.2,0.0,75.6,,20.4,1.0,0.3,2.6,83.3,10.0,0.0,0.2,11.5,0.0,13.8,0.3,21.0,3.2,0.8,574.0
DZA,Algeria,Middle East and North Africa,Northern Africa,32853.8,6375.6,0,2302498.08,3.5,77.0,82.2,71.8,82.2,98.7,36.5,73.9,86.7,74.6,85.6,82.6,74.9,98.7,36.5,73.9,100.0,91.6,68.4,74.6,90.6,74.5,85.6,94.7,42.7,99.8,97.8,99.5,0.0,0.0,100.0,89.5,62.1, ,5.0,83.3,100.0,62.7,11.6,100.0,99.5,68.2,96.5,99.6,27.7,92.0,85.0,8.0,5.0,88.1,4.0,0.9,1885830.1,37.7,37.7,24.5,1.1,0.4,6.2, ,0.5,0.0,0.2,31.7,0.0,55.9,0.1,15.0,4.0,0.9,671.0
ECU,Ecuador,Latin America and Caribbe,South America,13228.4,3981.6,0,256270.64,7.9,84.4,91.7,77.0,91.7,98.9,72.2,79.6,61.8,80.1,91.0,88.5,96.3,98.9,72.2,79.6,47.2,47.4,90.9,80.1,87.1,89.8,91.0,94.7,95.9,100.0,97.8,100.0,65.6,65.6,47.2,90.1,88.9,39.5,100.0,94.8,0.0,94.5,98.4,76.4,98.6,86.4,94.8,85.3,60.2,89.0,94.0,5.0,5.0,24.9,0.0,0.9,0.0,79.3,79.3,19.2,0.9,0.5,8.9,39.5,10.0,0.0,0.1,4.7,11.0,1.0,0.2,19.0,4.9,1.9,369.0
EGY,Egypt,Middle East and North Africa,Northern Africa,74032.9,4031.0,0,968071.46,5.1,76.3,79.6,73.0,79.6,90.1,67.6,77.2,82.0,68.9,89.2,80.8,59.3,90.1,67.6,77.2,100.0,76.8,69.3,68.9,64.9,96.6,89.2,94.7,3.4,100.0,80.3,100.0,63.4,63.4,100.0,93.7,73.0, ,32.0,53.6,100.0,32.4,27.8,100.0,99.9,86.4,98.0,59.4,49.2,70.0,98.0,6.0,5.0,134.8,0.0,8.3,0.0,78.0,78.0,25.5,1.1,0.5,7.3, ,3.2,0.0,0.5,57.5,0.0,45.7,0.0,19.0,3.3,3.6,471.0
ERI,Eritrea,Sub-Saharan Africa,Eastern Africa,4401.4,947.1,0,121862.9,4,59.4,47.2,71.7,47.2,100.0,62.8,42.4,89.8,75.0,63.9,16.0,44.7,100.0,62.8,42.4,98.8,89.1,81.6,75.0,0.0,32.1,63.9,16.1,45.6,100.0,99.9,100.0,25.6,,98.8,68.8,43.5, ,0.0,78.2,100.0,100.0,100.0,100.0,94.2,13.6,100.0,100.0,25.0,9.0,60.0,20.0,79.7,84.7,0.0,0.0,0.0,55.3,,0.0,1.0,0.3,4.4, ,0.0,0.0,0.2,0.0,0.0,0.0,0.8,3.0,2.1,0.4,696.0
ESP,Spain,Europe,Western Europe,43064.2,24681.0,0,505283.96,11.6,83.1,98.2,68.1,98.2,93.7,64.4,28.7,84.1,73.7,99.6,100.0,93.4,93.7,64.4,28.7,100.0,83.6,68.5,73.7,100.0,100.0,99.6,94.7,88.8,99.7,88.0,99.3,69.8,69.8,100.0,35.6,23.2,50.0,6.0,79.6,87.7,81.2,50.1,22.8,93.0,95.5,83.3,80.3,57.5,100.0,100.0,0.2,5.0,33.3,4.6,5.1,2851720.0,81.8,81.8,37.1,1.1,0.2,2.3,50.0,0.6,0.0,0.2,16.0,36.0,31.6,0.9,21.0,10.9,2.2,394.0
EST,Estonia,Europe,Central Europe,1329.7,15885.0,0,43178.85,3.4,85.2,97.7,72.7,97.7,95.3,79.0,72.4,95.2,61.8,99.6,98.2,93.1,95.3,79.0,72.4,89.8,98.4,97.5,61.8,96.5,100.0,99.6,82.7,100.0,100.0,90.5,100.0,60.7,60.7,89.8,93.7,90.0, ,27.0,96.8,100.0,100.0,94.3,100.0,97.7,95.5,77.1,80.0,28.3,97.0,100.0,0.2,16.4,15.5,0.0,4.0,0.0,76.4,76.4,2.5,1.0,0.5,9.0, ,2.7,0.0,0.0,0.0,0.0,3.6,0.3,21.0,14.1,2.2,665.0
ETH,Ethiopia,Sub-Saharan Africa,Eastern Africa,77430.7,1030.2,1,1123716.57,21,58.8,35.0,82.7,35.0,95.5,52.8,71.2,71.6,97.2,49.5,0.0,40.9,95.5,52.8,71.2,69.8, ,73.4,97.2,0.0,0.0,49.5,0.0,52.9,98.6,99.5,91.5,25.6,,69.8,70.4,68.1,75.0,100.0, , ,94.3,98.4,100.0,51.5,22.7,100.0,92.4,99.2,13.0,22.0,28.0,95.0,76.0,26.3,0.2,34988800.0,55.3,,18.2,0.9,0.4,6.8,75.0,10.0, , ,4.8,0.0,1.0,6.6,5.0,1.7,1.4,7.0
FIN,Finland,Europe,Western Europe,5249.1,30420.3,0,317001.35,2.4,91.4,99.3,83.6,99.3,97.7,99.0,78.3,91.3,76.8,99.6,100.0,97.9,97.7,99.0,78.3,100.0,94.4,79.4,76.8,100.0,100.0,99.6,94.7,100.0,100.0,95.4,100.0,98.4,98.4,100.0,98.9,76.8, ,9.0,90.3,98.5,100.0,75.8,22.8,98.3,100.0,78.8,72.7,79.1,100.0,100.0,0.2,5.0,19.1,0.2,1.9,6251.3,99.1,99.1,0.4,1.0,0.5,7.7, ,0.9,0.0,0.1,0.0,36.0,15.3,0.2,22.0,13.2,2.7,194.0
FJI,Fiji,East Asia and the Pacific,South Pacific,847.7,5529.4,0,18351.66,1.9,69.7,78.2,61.2,78.2,99.8,86.2,8.7,99.0,54.3,96.4,38.6,81.3,99.8,86.2,8.7,100.0,97.9, ,54.3,67.3,10.0,96.4,57.9,95.3,100.0,99.6,100.0,72.5,72.5,100.0,4.9,0.0,30.0,0.0,95.9,100.0, , ,100.0, ,90.9,11.2,91.1,60.6,72.0,47.0,2.0,40.0,25.6,0.0,0.2,0.0,83.5,83.5,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0, ,0.0, , ,20.0,48.2,1.5,365.8
FRA,France,Europe,Western Europe,60495.5,28876.5,0,547106.71,17.9,87.8,99.4,76.2,99.4,95.9,76.6,27.4,86.0,85.7,99.8,100.0,97.8,95.9,76.6,27.4,100.0,84.0,73.9,85.7,100.0,100.0,99.8,94.7,100.0,99.4,94.2,97.5,62.5,62.5,100.0,34.7,25.1,50.0,0.0,75.2,92.8,100.0,54.2,22.8,97.1,95.5,86.7,80.2,90.2,100.0,100.0,0.1,5.0,13.8,12.0,2.4,10271600.0,77.4,77.4,8.4,1.1,0.2,2.5,50.0,0.0,0.0,0.2,0.0,36.0,29.0,0.4,21.0,9.1,2.2,91.0
GAB,Gabon,Sub-Saharan Africa,Central Africa,1383.8,5835.0,0,265145.62,0.1,77.3,75.4,79.1,75.4,97.1,60.9,73.0,89.9,81.4,82.0,52.4,85.3,97.1,60.9,73.0,99.0,88.5,82.4,81.4,25.1,79.6,82.0,70.9,100.0,84.4,96.0,98.1,21.8,,99.0,100.0,94.3, ,10.0,76.9,100.0,100.0,98.7,100.0,99.5,13.6,89.3,94.6,60.3,36.0,88.0,10.0,27.6,6.4,288.8,1.7,7606480.0,53.0,,0.0,1.0,0.5,9.4, ,1.0,0.0,0.2,0.0,0.0,0.8,0.1,3.0,7.8,1.2,368.0
GBR,United Kingdom,Europe,Western Europe,59667.8,30237.2,0,247168.89,42.8,86.3,99.4,73.2,99.4,91.0,87.4,47.2,74.7,74.6,99.8,100.0,97.9,91.0,87.4,47.2,100.0,47.3,76.9,74.6,100.0,100.0,99.8,94.7,100.0,100.0,82.1,99.9,84.2,84.2,100.0,100.0,19.0,66.7,3.0,14.1,80.5,100.0,67.7,22.8,98.4,95.5,83.1,91.6,49.0,100.0,100.0,0.1,5.0,15.1,0.7,7.6,495934.0,90.5,90.5,8.4,1.1,0.5,1.9,66.7,0.3,0.0,0.9,0.0,36.0,20.5,0.2,21.0,11.0,1.4,473.0
GEO,Georgia,Central and Eastern Europ,Eastern Europe,4474.4,3303.9,0,69236.14,14.1,82.2,88.4,75.9,88.4,99.8,62.0,18.6,83.4,92.7,99.5,81.2,73.5,99.8,62.0,18.6,100.0,77.7,72.4,92.7,93.0,69.4,99.5,54.7,79.0,100.0,99.6,100.0,31.7,,100.0,28.5,14.7, ,0.0,85.2,70.2,74.7,95.3,100.0,78.5,13.6,96.0,91.7,90.4,94.0,82.0,0.3,43.0,44.9,0.0,0.2,0.0,58.9,,7.0,1.0,0.1,1.5, ,0.0,0.0,0.1,21.5,0.0,3.0,2.9,3.0,4.3,1.4,89.0
GHA,Ghana,Sub-Saharan Africa,Western Africa,22112.8,2299.1,0,231729.96,20.7,70.8,59.0,82.6,59.0,86.9,71.3,63.8,77.9,92.6,74.8,30.8,55.5,86.9,71.3,63.8,61.4,90.5,81.7,92.6,4.1,57.6,74.8,8.4,87.5,85.8,99.2,74.6,42.6,42.6,61.4,84.1,71.2,100.0,0.0,81.1,100.0,100.0,83.3,100.0,47.7,77.3,99.8,100.0,78.0,18.0,75.0,14.0,87.0,34.8,263.4,0.3,104195000.3,65.5,65.5,0.0,0.9,0.4,7.1,100.0,0.0,0.0,0.2,0.0,0.0,10.6,7.1,17.0,2.4,0.8,204.0
GIN,Guinea,Sub-Saharan Africa,Western Africa,9402.1,2107.9,0,245860.06,1.7,51.3,31.3,71.4,31.3,83.4,60.1,32.4,82.8,81.8,40.5,9.6,34.5,83.4,60.1,32.4,88.5,78.0,81.7,81.8,4.1,15.1,40.5,0.0,57.4,57.5,99.4,67.3,20.1,,88.5,53.8,8.5,50.0,0.0,56.1,100.0,100.0,100.0,100.0,58.6,50.0,94.5,99.6,51.3,18.0,50.0,33.0,95.0,70.6,786.3,0.3,133979002.9,52.0,,0.0,1.0,0.3,0.9,50.0,0.0,0.0,0.4,0.0,0.0,0.0,5.6,11.0,5.1,0.9,451.8
GNB,Guinea-Bissau,Sub-Saharan Africa,Western Africa,1586.3,744.8,0,34105.82,2.6,49.7,36.7,62.8,36.7,99.2,60.1,46.5,83.5,58.7,40.5,27.2,38.4,99.2,60.1,46.5,91.4,82.0,77.0,58.7,24.0,30.4,40.5,0.0,51.1,89.8,99.4,98.9,20.1,,91.4,100.0,39.4, ,0.0,64.0,100.0,100.0,100.0,100.0,80.2,4.5,55.0,90.9,30.1,35.0,59.0,33.0,95.0,78.1,188.7,0.3,4343260.2,52.0,,0.0,1.0,0.5,3.9, ,0.0,0.0,0.4,0.0,0.0,0.0,2.7,1.0,25.6,1.5,648.6
GRC,Greece,Europe,Western Europe,11119.9,21674.6,0,131890.98,9.6,80.2,97.2,63.1,97.2,92.3,86.4,9.6,85.4,62.5,99.1,100.0,90.7,92.3,86.4,9.6,100.0,79.7,76.4,62.5,100.0,100.0,99.1,94.7,82.2,99.8,84.8,99.9,77.7,77.7,100.0,18.9,4.8, ,5.0,59.9,99.5,98.2,85.1,22.8,80.5,95.5,82.3,89.0,16.3,100.0,100.0,0.5,5.0,41.1,4.2,6.4,593311.0,86.6,86.6,4.5,1.0,0.1,0.5, ,0.5,0.0,0.4,1.5,36.0,9.4,2.6,21.0,11.4,1.6,776.0
GTM,Guatemala,Latin America and Caribbe,Meso America,12599.1,4150.2,0,108523.47,29,76.7,78.2,75.1,78.2,98.5,85.1,36.4,79.3,80.2,83.8,87.6,57.6,98.5,85.1,36.4,71.9,88.9,77.2,80.2,83.6,91.5,83.8,34.5,60.1,98.9,98.0,98.9,70.1,70.1,71.9,76.1,66.4,0.0,3.0,77.8,100.0,100.0,90.7,100.0,95.1,0.0,93.4,88.5,58.6,86.0,95.0,9.0,62.2,67.5,19.5,0.8,4527020.2,82.0,82.0,0.0,0.9,0.4,6.6,0.0,0.3,0.0,0.2,0.0,0.0,5.9,0.7,0.0,5.7,1.6,384.0
GUY,Guyana,Latin America and Caribbe,South America,751.2,4203.6,0,210632.19,0.6,64.8,75.3,54.4,75.3,99.6,74.8,55.5,77.2,36.5,82.0,68.0,69.2,99.6,74.8,55.5,100.0,50.0,81.6,36.5,64.9,71.1,82.0,37.9,85.2,100.0,99.2,100.0,49.6,,100.0,99.9,49.5, ,0.0,0.0,100.0,100.0,99.2,100.0,99.9,9.1,0.0,79.0,30.5,70.0,83.0,10.0,59.0,37.6,0.0,0.3,0.0,69.7,,0.0,1.0,0.5,5.0, ,0.0,0.0,1.0,0.0,0.0,0.5,0.0,2.0,54.1,2.3,644.8
HND,Honduras,Latin America and Caribbe,Meso America,7204.7,3170.3,0,112078.1,10,75.4,77.2,73.6,77.2,99.6,77.3,47.1,76.5,76.9,85.6,70.8,66.9,99.6,77.3,47.1,53.6,95.6,80.2,76.9,63.7,77.9,85.6,40.0,77.2,100.0,99.2,100.0,57.1,,53.6,72.7,69.5,39.3,7.0,91.3,100.0,100.0,97.9,100.0,98.7,4.5,98.4,76.6,55.7,69.0,87.0,8.0,57.0,47.1,0.2,0.3,7389.7,74.2,,2.3,0.9,0.4,6.9,39.3,0.7,0.0,0.1,0.0,0.0,1.3,0.2,1.0,3.1,2.5,411.0
HRV,Croatia,Europe,Central Europe,4551.3,12164.0,0,56405.68,13.4,84.6,96.6,72.7,96.6,97.2,92.0,14.1,89.5,76.9,99.6,100.0,87.2,97.2,92.0,14.1,100.0,80.5,87.9,76.9,100.0,100.0,99.6,77.9,90.7,98.8,94.7,99.7,84.1,84.1,100.0,19.7,7.7, ,15.0,61.0,100.0,100.0,69.9,100.0,78.5,90.9,90.8,73.6,66.5,100.0,100.0,0.2,21.0,31.1,21.8,2.2,1131530.0,90.4,90.4,0.0,1.0,0.1,0.8, ,1.5,0.0,0.4,0.0,0.0,19.1,2.9,20.0,7.0,2.7,311.0
HTI,Haiti,Latin America and Caribbe,Caribbean,8527.8,1479.3,0,27229.68,95.3,60.7,50.1,71.3,50.1,99.8,78.9,6.2,76.7,84.1,63.9,20.0,52.4,99.8,78.9,6.2,86.4,72.9,70.8,84.1,18.1,21.9,63.9,0.0,81.1,100.0,99.6,100.0,59.4,,86.4,5.5,0.5,18.8,0.0,72.9, ,100.0,55.7,100.0,98.5,0.0,100.0,85.4,66.9,30.0,54.0,20.0,95.0,42.5,0.0,0.2,0.0,75.6,,1.6,1.0,0.0,0.1,18.8,0.0, ,0.3,0.0,0.0,28.0,0.2,0.0,1.3,1.9,307.0
HUN,Hungary,Central and Eastern Europ,Central Europe,10097.7,16927.9,1,92046.39,22.6,84.2,98.4,70.1,98.4,90.4,79.6,10.5,82.5,79.4,99.6,96.2,97.9,90.4,79.6,10.5,100.0, ,65.1,79.4,94.2,98.3,99.6,94.7,100.0,100.0,80.8,100.0,86.3,86.3,100.0,12.1,8.9, ,100.0, , ,100.0,35.7,54.8,39.4,95.5,88.7,86.1,63.5,95.0,99.0,0.2,5.0,17.9,0.0,8.1,388.3,91.8,91.8,24.5,1.0,0.1,0.9, ,10.0, , ,0.0,21.1,40.7,8.2,21.0,8.1,1.8,339.0
IDN,Indonesia,East Asia and the Pacific,South East Asia,222781.5,3570.1,0,1897811.61,16.4,66.2,69.5,62.9,69.5,96.1,86.4,50.3,50.9,59.8,91.0,54.2,41.9,96.1,86.4,50.3,0.0,70.4,82.3,59.8,47.4,61.0,91.0,24.0,30.9,99.8,97.3,95.0,73.1,73.1,0.0,73.1,99.2,19.0,10.0,40.8,100.0,100.0,82.8,42.7,99.6,86.4,90.5,72.1,16.9,55.0,77.0,5.0,72.2,102.1,4.6,1.1,20592999.7,83.8,83.8,0.2,0.7,0.4,9.9,19.0,1.0,0.0,0.6,0.0,26.7,10.9,0.0,19.0,7.2,2.8,771.0
IND,India,South Asia,South Asia,1103371.0,3307.9,0,3208099.12,76.5,60.3,62.6,58.0,62.6,88.0,65.4,21.2,77.7,57.9,76.6,48.9,48.2,88.0,65.4,21.2,100.0,77.2,55.8,57.9,21.6,76.2,76.6,13.9,56.6,99.8,93.9,82.0,67.7,67.7,100.0,15.0,16.6,43.8,5.0,71.9,82.6,80.3,20.1,71.9,92.9,13.6,100.0,73.8,0.0,33.0,86.0,13.0,81.8,71.6,3.9,2.6,73890698.2,80.6,80.6,33.5,1.0,0.1,1.7,43.8,0.5,0.0,0.3,16.7,13.1,50.6,1.0,3.0,2.2,2.6,943.0
IRL,Ireland,Europe,Western Europe,4147.9,36237.9,0,69473.98,6,82.7,99.4,66.1,99.4,98.6,82.8,8.8,83.8,69.7,99.8,100.0,97.9,98.6,82.8,8.8,100.0,68.7,82.6,69.7,100.0,100.0,99.8,94.7,100.0,100.0,97.2,100.0,65.5,65.5,100.0,24.0,2.5, ,0.0,39.0,98.5,100.0,95.4,22.8,99.5,95.5,74.3,97.8,37.0,100.0,100.0,0.1,5.0,18.7,0.7,1.2,29340.2,79.3,79.3,0.0,1.1,0.1,0.2, ,0.0,0.0,0.6,0.0,36.0,2.9,0.1,21.0,15.6,1.0,584.0
IRN,Iran,Middle East and North Africa,South Asia,69515.2,7405.2,0,1590351.27,8.6,76.9,88.9,64.8,88.9,98.8,61.7,44.3,81.6,63.4,92.8,85.0,85.2,98.8,61.7,44.3,100.0,53.7,91.0,63.4,80.1,89.8,92.8,94.7,68.2,100.0,97.6,99.9,51.3,51.3,100.0,95.1,41.4,0.0,12.0,14.7,92.8,89.4,79.1,100.0,95.4,90.9,87.3,60.7,42.4,83.0,94.0,4.0,5.0,57.8,0.4,1.0,544369.0,70.7,70.7,25.3,1.0,0.5,4.1,0.0,1.2,0.0,0.9,9.0,0.0,13.2,0.6,20.0,8.8,3.5,534.0
IRQ,Iraq,Middle East and North Africa,Mashriq,28807.2,1900.0,0,426753.71,8.7,53.9,67.1,40.8,67.1,98.8,46.3,1.6,55.6,40.6,69.4,71.6,58.1,98.8,46.3,1.6,100.0,0.0,66.9,40.6,75.4,67.7,69.4,94.7,0.5,100.0,97.7,100.0,21.3,21.3,100.0,2.8,0.4, ,0.0,0.0, ,70.2,65.9,100.0,98.3,0.0,97.3,0.0,24.4,79.0,81.0,17.0,5.0,138.3,0.3,1.0,122975.0,52.7,52.7,26.0,1.0,0.0,0.0, ,0.0, ,1.0,25.4,0.0,21.6,0.2,0.0,3.6,10.5,701.0
ISL,Iceland,Europe,Western Europe,294.6,33609.9,0,91116.36,0.8,87.6,99.3,75.8,99.3,96.0,63.7,62.3,73.4,82.3,99.6,100.0,97.9,96.0,63.7,62.3,100.0,46.8, ,82.3,100.0,100.0,99.6,94.7,100.0,100.0,92.0,100.0,28.5,28.5,100.0,100.0,82.9, ,4.0,46.5,47.1, , ,0.0,97.6,90.9,79.5,67.4,99.9,100.0,100.0,0.2,5.0,18.1,0.0,3.4,0.0,57.0,57.0,0.9,1.1,0.5,8.3, ,0.4,0.0,0.5, ,69.0, ,0.3,20.0,12.9,3.1,1.0
ISR,Israel,Middle East and North Africa,Western Europe,6724.6,23020.1,0,21878.11,32.4,79.6,97.9,61.3,97.9,75.2,42.4,62.7,76.6,60.5,99.8,100.0,92.0,75.2,42.4,62.7,100.0,83.3,46.5,60.5,100.0,100.0,99.8,94.7,85.3,100.0,50.3,100.0,67.8,67.8,100.0,72.9,64.9,100.0,13.0,83.3, ,77.5,53.6,0.5,96.3,4.5,85.2,79.0,17.3,100.0,100.0,0.1,5.0,37.5,0.0,21.0,0.0,80.7,80.7,75.3,1.0,0.4,6.5,100.0,1.3, ,0.2,19.1,46.4,29.4,0.5,1.0,9.9,2.3,767.0
ITA,Italy,Europe,Western Europe,58092.7,26495.7,0,299286.24,43.6,84.2,98.6,69.8,98.6,87.7,86.7,16.5,84.7,74.5,99.8,100.0,94.9,87.7,86.7,16.5,100.0,80.1,73.9,74.5,100.0,100.0,99.8,94.7,94.0,96.9,87.7,87.8,92.8,92.8,100.0,39.3,17.6,0.0,9.0,75.1,85.1,100.0,65.3,22.8,85.7,95.5,84.9,82.3,56.3,100.0,100.0,0.1,5.0,27.1,57.7,5.2,49997900.8,95.7,95.7,17.7,1.1,0.2,1.8,0.0,0.9,0.0,0.2,0.0,36.0,21.9,2.0,21.0,10.1,2.1,405.0
JAM,Jamaica,Latin America and Caribbe,Caribbean,2650.7,3907.4,0,11060.19,86.2,79.1,87.2,71.0,87.2,86.9,79.7,35.0,96.2,70.0,96.4,82.4,73.6,86.9,79.7,35.0,100.0,92.3, ,70.0,76.6,88.1,96.4,52.6,81.3,100.0,73.8,100.0,59.4,,100.0,66.4,28.6,40.0,5.0,92.3, , ,83.9,100.0, ,90.9,94.7,92.1,23.1,80.0,93.0,2.0,45.0,42.2,0.0,11.0,0.0,75.6,,0.0,1.0,0.3,2.9,40.0,0.5, ,0.1, ,0.0,10.2, ,20.0,5.0,1.4,713.0
JOR,Jordan,Middle East and North Africa,Mashriq,5702.8,5176.0,0,88361.82,6.1,76.5,91.7,61.4,91.7,95.6,14.6,88.7,69.8,61.4,92.8,93.4,87.7,95.6,14.6,88.7,100.0,49.4,60.2,61.4,91.8,94.9,92.8,94.7,74.5,100.0,91.2,100.0,11.9,11.9,100.0,100.0,77.3, ,100.0,1.3,97.4,38.0,62.6,0.5,99.8,100.0,96.2,59.1,28.8,93.0,97.0,4.0,5.0,50.3,0.0,3.7,0.0,47.1,47.1,75.0,1.0,0.5,7.7, ,10.0,0.0,1.0,52.7,46.4,23.7,0.0,22.0,4.2,3.6,660.0
JPN,Japan,East Asia and the Pacific,Northeast Asia,128084.7,27991.9,0,371705.29,44.2,84.5,98.3,70.8,98.3,83.7,86.3,37.3,85.7,70.5,99.6,100.0,93.8,83.7,86.3,37.3,100.0,78.4,78.7,70.5,100.0,100.0,99.6,94.7,90.6,98.3,83.1,84.3,78.7,78.7,100.0,93.8,25.6,27.8,2.0,75.3,81.6,100.0,97.4,0.0,96.2,100.0,83.1,74.6,53.8,100.0,100.0,0.2,5.0,31.2,31.7,7.1,64317701.1,87.2,87.2,5.6,1.1,0.5,2.6,27.8,0.2,0.0,0.2,0.0,56.0,1.7,0.5,22.0,11.0,2.6,429.0
