code,ISO3V10,Country,Regions,GDPCAP,GDPgroup,Population,Landarea,Landlock,No_forest,No_electricity,No_AZE,EPI,EH,EV,EHEH,EHAIR,EHWATER,EVAIR,EVWATER,EVBH,EVAG,EVFOREST,EVFISH,CLIMATE,CHMORT_pt,INDOOR_pt,PM25_pt,WATSUP_pt,ACSAT_pt,SO2CAP_pt,SO2GDP_pt,WATUSE_pt,PACOV_pt,MPAEEZ_pt,AZE_pt,AGSUB_pt,POPs_pt,FORGRO_pt,FORLOSS_pt,FORCOV_pt,FSOC_pt,TCEEZ_pt,CO2CAP_pt,CO2GDP_pt,CO2KWH_pt,RENEW_pt,CHMORT_mrya,INDOOR_mrya,PM25_mrya,WATSUP_mrya,ACSAT_mrya,SO2CAP_mrya,SO2GDP_mrya,WATUSE_mrya,PACOV_mrya,MPAEEZ_mrya,AZE_mrya,AGSUB_mrya,POPs_mrya,FORGRO_mrya,FORLOSS_mrya,FORCOV_mrya,FSOC_mrya,TCEEZ_mrya,CO2CAP_mrya,CO2GDP_mrya,CO2KWH_mrya,RENEW_mrya,WATSUPINV,ACSATINV,WATUSEINV,FORCOVINV,FORGROINV,CHMORT_tr,INDOOR_tr,PM25_tr,WATSUP_tr,ACSAT_tr,SO2CAP_tr,SO2GDP_tr,WATUSE_tr,MPAEEZ_tr,AGSUB_tr,FORGRO_tr,FORLOSS_tr,FORCOV_tr,FSOC_tr,TCEEZ_tr,CO2CAP_tr,CO2GDP_tr,CO2KWH_tr
458,MYS,Malaysia,Asia & Pacific,13186.24,Middle,28401017,331235.22,0,0,0,,62.51,85.28,52.75,80.63,97.30,82.56,41.49,48.40,90.10,95.45,17.40,31.04,27.99,80.63,100,94.61,100,65.13,36.38,46.60,48.40,100,74.15,99.99,100,86.36,0.00,13.21,38.98,62.08,0.00,43.14,32.31,4.21,6.35,0.0022,0,10.55,100,96,11.83,1.03,-0.672,17.00,0.67769310,99.99,0.0000,19,0.809,0.63,0.979,0.22,1.108821,5976.36,0.55,618.19,6.35,0,4,0.672,0.0208,0.1913,-5.99,-2.30,3.02,0.00,1.61,2.49,0.10,-0.40,-0.39,-7.48,-1.65,-0.45,-3.86,-1.24,0.10,8.70,-0.51,6.43
175,MYT,Mayotte,Sub-Saharan Africa,4900.00,Middle,204114,394.06,0,0,0,,..,..,..,100.00,..,..,..,100.00,50.80,0.00,41.44,57.22,..,100,..,..,..,..,..,..,100,15.41,51.04,..,..,0.00,..,100.00,12.16,29.80,84.63,..,..,..,..,0.0003,-9999,-9999,-9999,-9999,-9999,-9999,0.000,2.62,0.06104236,-7777,-9999,0,-8888,0.01,0.933,0.50,0.000090,-9999,-9999,-9999,-9999,..,..,0.000,0.0667,..,-7.42,..,..,..,..,..,..,-7.41,-2.80,..,..,-4.20,-2.71,-0.56,-9.31,..,..,..
516,NAM,Namibia,Sub-Saharan Africa,5807.06,Middle,2283289,828456.38,0,0,0,,50.68,43.87,53.60,46.10,54.06,29.22,1.37,38.19,80.83,66.67,48.31,23.93,67.49,46.10,8.13,100,49.86,8.57,2.74,0.00,38.19,82.76,77.79,..,100,0.00,39.44,85.95,19.53,26.17,21.69,88.56,61.75,17.20,82.03,0.0125,57,8.77,92,33,89.66,17.22,-1.627,14.07,0.98964654,-7777,0.0000,0,0.951,0.03,0.952,0.55,0.091848,1698.02,0.20,235.36,82.03,8,67,1.627,0.0484,0.0489,-4.36,4.04,2.93,2.20,4.22,4.50,2.85,0.49,-0.01,-7.48,-3.01,-3.35,-3.02,-0.48,-2.39,7.45,-1.40,5.46
540,NCL,New Caledonia,Asia & Pacific,15387.00,Upper,254000,18900.20,0,0,0,,..,..,..,83.33,100.00,..,..,67.88,68.62,0.00,95.32,36.55,..,83.33,..,100,..,..,..,..,67.88,100,81.24,29.96,..,0.00,100,85.95,100.00,0.00,73.11,..,..,..,..,0.0019,-9999,0.38,-9999,-9999,-9999,-9999,-0.124,17.00,1.41811186,29.96,-9999,0,1.335,0.03,1.000,1.00,0.000320,-9999,-9999,-9999,-9999,..,..,0.124,0.0000,0.0000,-6.12,..,2.34,..,..,..,..,-2.08,0.35,..,-7.80,-3.35,-8.56,0.07,-8.05,..,..,..
562,NER,Niger,Sub-Saharan Africa,653.03,Lower,15511953,1189352.11,1,1,0,,..,15.81,..,10.58,36.36,5.71,..,45.10,41.59,84.85,20.82,..,..,10.58,0.15,72.57,9.40,2.02,..,..,45.10,41.59,..,..,100,54.55,22.38,..,19.27,..,..,..,..,..,..,0.0684,99,15.13,48,9,-9999,-9999,-0.894,7.07,-7777,-7777,0.0000,12,0.923,-8888,0.951,-7777,-7777,-9999,-9999,-9999,-9999,52,91,0.894,0.0490,0.0769,-2.68,4.60,3.22,3.97,4.52,..,..,-0.11,..,-7.48,-2.56,..,-3.01,..,..,..,..,..
574,NFK,Norfolk Island,Asia & Pacific,..,..,2155,27.53,0,1,0,,..,..,..,..,..,..,..,..,45.01,0.00,..,41.97,..,..,..,..,..,..,..,..,..,100,53.58,19.28,..,0.00,..,..,..,0.00,83.94,..,..,..,..,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8888,17.00,0.07954697,19.28,-9999,0,-9999,-7777,-9999,1.00,0.000097,-9999,-9999,-9999,-9999,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.53,..,..,..,..,0.07,-9.24,..,..,..
566,NGA,Nigeria,Sub-Saharan Africa,2135.46,Lower,158423182,909041.16,0,0,0,,40.14,16.54,50.26,12.68,29.61,11.21,62.56,27.07,52.69,66.67,33.33,30.52,60.03,12.68,4.16,55.06,14.17,8.26,71.48,53.64,27.07,75.94,38.61,0.03,100,0.00,0.00,100.00,0.00,50.98,10.05,100.00,57.60,9.55,22.90,0.0619,75,20.10,58,32,1.22,0.70,-4.260,12.91,0.01672471,0.03,-0.0491,0,0.838,0.01,0.815,0.29,0.330819,266.20,0.23,415.63,22.90,42,68,4.260,0.1847,0.1623,-2.78,4.32,3.40,3.76,4.23,0.40,-0.26,1.45,-4.09,-7.48,-1.82,-4.20,-1.69,-1.01,-1.11,5.69,-1.27,6.03
558,NIC,Nicaragua,Americas,2499.39,Middle,5788163,120835.96,0,0,0,,59.23,54.93,61.07,69.66,54.19,26.20,42.59,40.76,95.27,71.21,15.14,51.39,61.44,69.66,8.38,100,36.73,15.67,51.31,33.88,40.76,91.12,99.51,..,100,13.64,0.00,42.84,2.56,79.33,23.45,100.00,59.21,7.19,30.90,0.0039,56,3.61,85,52,4.70,2.01,-1.303,15.49,9.50155457,-7777,-0.0196,3,0.780,0.19,0.899,0.13,0.075717,734.89,0.22,495.22,20.39,15,48,1.303,0.1010,0.2200,-5.47,4.03,2.61,2.77,3.89,1.60,0.74,0.26,2.25,-7.48,-1.51,-1.63,-2.29,-1.60,-2.58,6.64,-1.32,6.21
570,NIU,Niue,Asia & Pacific,5949.64,Middle,1354,267.46,0,1,0,,..,..,..,..,100.00,100.00,..,..,1.44,0.00,100.00,47.58,..,..,100,..,100,100,..,..,..,100,1.35,..,..,0.00,..,..,100.00,0.00,95.15,..,..,..,..,-9999,0,-9999,100,100,-9999,-9999,-8888,17.00,0.00034421,-7777,-9999,0,-8888,-7777,1.000,1.00,0.000028,-9999,-9999,-9999,-9999,0,0,..,0.0000,..,..,-2.30,..,0.00,0.00,..,..,..,-7.97,..,..,..,-8.56,0.07,-10.47,..,..,..
528,NLD,Netherlands,Europe,36915.25,Upper,16612213,34887.79,0,0,0,,65.65,97.23,52.12,94.45,100.00,100.00,67.72,22.74,84.67,44.37,95.32,13.28,27.58,94.45,100,100,100,100,53.81,81.62,22.74,71.88,93.53,..,30.18,72.73,100,85.95,100.00,19.31,7.24,22.14,46.94,13.14,9.55,0.0010,0,5.48,100,100,4.01,0.11,-6.198,12.22,5.09510688,-7777,0.1325,16,1.077,0.03,1.000,0.64,0.450733,10655.72,0.33,318.21,4.16,0,0,6.198,0.0000,0.0000,-6.65,-2.30,2.74,0.00,0.00,1.45,-1.67,1.82,1.63,-2.02,-7.80,-3.35,-8.56,-0.34,-0.80,9.28,-0.95,5.76
