,Code,Country,landarea,EPI,HLT,ECO,BDH,CCH
88,MKD,Macedonia,24697.07,75.1,86.1,64.1,15.8,65.5
89,MLI,Mali,1248145.58,44.3,13.4,75.2,37.2,82.4
90,MMR,Myanmar,669707.48,65.1,63.9,66.3,24.5,73.8
91,MNG,Mongolia,1546296.94,68.1,66.6,69.6,88.0,57.5
92,MOZ,Mozambique,777123.23,53.9,25.5,82.4,55.4,99.8
93,MRT,Mauritania,1036904.89,44.2,33.2,55.2,34.6,57.0
94,MUS,Mauritius,1993.16,78.1,97.7,58.5,21.9,53.5
95,MWI,Malawi,94968.41,59.9,34.0,85.8,90.1,94.5
96,MYS,Malaysia,330798.79,84.0,96.7,71.2,68.3,61.9
97,NAM,Namibia,819961.13,70.6,60.9,80.4,73.4,96.5
98,NER,Niger,1157232.49,39.1,6.0,72.1,83.0,73.6
99,NGA,Nigeria,904234.85,56.2,40.6,71.7,59.8,85.5
100,NIC,Nicaragua,118789.48,73.4,72.9,74.0,44.8,75.9
101,NLD,Netherlands,35043.85,78.7,98.1,59.4,9.1,66.1
102,NOR,Norway,318523.72,93.1,99.3,86.9,61.2,92.7
103,NPL,Nepal,139103.09,72.1,60.2,84.0,45.0,98.1
104,NZL,New Zealand,265334.38,88.9,99.0,78.8,61.9,71.1
105,OMN,Oman,304189.58,70.3,84.6,55.9,46.1,53.6
106,PAK,Pakistan,785319.81,58.7,54.6,62.7,44.0,67.4
107,PAN,Panama,74515.22,83.1,86.4,79.8,64.2,78.0
108,PER,Peru,1288259.27,78.1,78.3,77.9,58.1,87.1
109,PHL,Philippines,295386.88,77.9,82.5,73.4,44.5,82.0
110,PNG,Papua New Guinea,465004.05,64.8,58.2,71.4,47.1,75.9
111,POL,Poland,311195.23,80.5,93.6,67.4,48.4,62.7
112,PRT,Portugal,91426.39,85.8,98.4,73.1,33.7,72.9
113,PRY,Paraguay,395907.51,77.7,73.3,82.1,58.5,94.2
114,ROU,Romania,237056.1,71.9,77.8,66.1,30.1,70.4
115,RUS,Russia,16679992.73,83.9,96.3,71.4,79.2,62.9
116,RWA,Rwanda,24348.89,54.9,32.2,77.5,72.2,78.0
117,SAU,Saudi Arabia,1942660.31,72.8,85.5,60.2,95.5,50.5
118,SDN,Sudan,2492385.4,55.5,47.0,64.1,30.1,67.9
119,SEN,Senegal,196150.99,62.8,58.4,67.3,29.5,70.7
120,SLB,Solomon Islands,28707.41,52.3,59.6,44.9,1.8,40.8
121,SLE,Sierra Leone,72617.41,40.0,18.2,61.9,6.0,69.6
122,SLV,El Salvador,20278.94,77.2,81.8,72.6,4.3,88.5
123,SVK,Slovakia,48874.99,86.0,99.1,72.9,53.5,71.2
124,SVN,Slovenia,20223.97,86.3,97.8,74.8,36.5,77.2
125,SWE,Sweden,431704.25,93.1,99.4,86.9,58.0,91.6
126,SWZ,Swaziland,17409.73,61.3,61.1,61.6,50.6,54.1
127,SYR,Syria,184365.81,68.2,84.5,51.8,11.7,59.7
128,TCD,Chad,1243139.16,45.9,18.4,73.3,79.9,73.3
129,TGO,Togo,57276.95,62.3,52.0,72.6,63.3,82.4
130,THA,Thailand,513634.82,79.2,85.5,72.8,55.7,71.1
131,TJK,Tajikistan,130110.95,72.3,62.2,82.5,43.8,98.2
132,TKM,Turkmenistan,460254.24,71.3,78.1,64.4,58.1,58.2
133,TTO,Trinidad & Tobago,5202.12,70.4,88.4,52.3,47.5,28.7
134,TUN,Tunisia,147881.49,78.1,92.9,63.3,22.4,77.1
135,TUR,Turkey,768693.62,75.9,91.2,60.6,5.2,66.5
136,TWN,Taiwan,36222.74,80.8,96.6,65.1,66.7,65.5
137,TZA,Tanzania,891021.57,63.9,52.2,75.6,87.2,72.8
138,UGA,Uganda,207069.18,61.6,41.6,81.6,78.9,94.5
139,UKR,Ukraine,588417.29,74.1,97.0,51.2,8.5,51.1
140,URY,Uruguay,174047.96,82.3,88.9,75.6,0.4,88.5
141,USA,United States,9210753.38,81.0,98.5,63.5,65.3,56.1
142,UZB,Uzbekistan,412711.17,65.0,78.2,51.7,23.9,46.9
143,VEN,Venezuela,911835.87,80.0,88.5,71.6,74.9,68.4
144,VNM,Viet Nam,328819.59,73.9,76.3,71.5,28.4,74.7
145,YEM,Yemen,415203.04,49.7,48.2,51.2,0.8,61.1
146,ZAF,South Africa,1217643.11,69.0,81.8,56.2,44.8,51.4
147,ZMB,Zambia,745317.51,55.1,30.8,79.4,99.9,81.0
148,ZWE,Zimbabwe,389053.02,69.3,67.8,70.8,91.1,68.1
149,,,,,,,,
