ISO3Code,Country,EPI_Regions,EPI,env_health,biodiversity,energy,water,air,resource_mgt,GDP_pc_ppp,inc_decile,landlocked,OZONE_pt,PM10_pt,INDOOR_pt,NLOAD_pt,OVRSUB_pt,HARVEST_pt,AGSUB_pt,MORTALITY_pt,ENEFF_pt,CO2GDP_pt,RENPC_pt,OVRFSH_pt,WATSUP_pt,ACSAT_pt,PWI_pt,PACOV_pt,OZONE_RAW,PM10_RAW,INDOOR_RAW,NLOAD_RAW,OVRSUB_RAW,HARVEST_RAW,AGSUB_RAW,MORTALITY_RAW,ENEFF_RAW,CO2GDP_RAW,RENPC_RAW,OVRFSH_RAW,WATSUP_RAW,ACSAT_RAW,PWI_RAW,PACOV_raw
ITA,Italy,European Union +,79.8,95.3,48.7,80.3,80.3,55.2,56.4,"$27,700",2,0,26.7,83.8,100.0,93.0,67.7,100.0,35.7,98.9,85.6,91.5,6.8,33.3,89.4,100.0,12.2,62.6,46.18,32.81,0.00,371.62,17.68,0.60,5.91,0.28,"5,089.52",96.74,6.82,5.00,94.10,100.00,10.98,0.63
JAM,Jamaica,Americas,74.7,76.4,86.1,42.7,99.9,47.7,88.7,"$4,100",6,0,26.9,68.5,53.0,99.8,100.0,99.5,100.0,94.3,42.5,52.0,1.3,66.7,87.4,75.7,65.0,100.0,46.08,54.32,47.00,9.65,0.00,3.16,0.00,1.48,"15,397.83",548.60,1.33,3.00,93.00,80.00,58.52,1.00
JOR,Jordan,Middle East and North Africa,66.0,85.5,56.0,51.7,45.8,40.6,38.0,"$4,500",6,0,28.8,52.3,90.0,91.7,0.0,80.8,0.0,96.9,62.9,52.7,0.2,33.3,83.8,91.5,16.3,96.1,45.29,76.97,10.00,440.61,75.02,8.58,17.32,0.81,"10,528.27",540.61,0.19,5.00,91.00,93.00,14.65,0.96
JPN,Japan,East Asia and the Pacific,81.9,97.6,70.4,79.7,94.8,52.6,33.3,"$29,400",1,0,21.8,83.5,100.0,99.8,89.7,100.0,0.0,98.9,80.8,95.0,6.2,0.0,100.0,100.0,26.7,100.0,48.28,33.17,0.00,12.76,5.62,0.44,22.28,0.29,"6,248.47",56.88,6.16,7.00,100.00,100.00,24.00,1.00
KAZ,Kazakhstan,Other Eastern Europe and Central Asia,63.6,70.8,38.4,8.5,74.7,60.1,100.0,"$7,800",4,1,32.1,88.1,49.0,86.1,63.2,100.0,100.0,83.2,18.5,0.0,4.6,,74.7,66.0,4.8,44.1,43.87,26.75,51.00,731.67,20.14,0.07,0.00,4.35,"21,142.82","1,436.89",4.64,,86.00,72.00,4.29,0.44
KEN,Kenya,Sub-Saharan Africa,56.4,38.0,54.1,76.5,84.8,87.0,71.4,"$1,100",9,0,98.2,75.8,15.0,94.9,74.7,97.4,100.0,46.5,87.5,77.4,26.2,16.7,31.4,36.8,18.5,69.9,15.77,43.96,85.00,269.37,13.86,3.75,0.00,13.87,"4,641.65",258.31,26.22,6.00,62.00,48.00,16.63,0.70
KGZ,Kyrgyzstan,Other Eastern Europe and Central Asia,60.5,53.7,68.1,38.3,79.7,50.6,100.0,"$1,700",8,1,23.3,78.0,4.0,96.9,62.6,100.0,100.0,88.5,19.3,49.2,68.8,,56.7,51.4,45.0,79.9,47.62,40.94,96.00,163.46,20.50,0.08,0.00,2.97,"20,966.69",580.11,68.84,,76.00,60.00,40.54,0.80
KHM,Cambodia,East Asia and the Pacific,49.8,18.3,82.7,89.1,99.9,56.6,77.8,"$2,000",7,0,54.8,58.3,0.0,99.8,100.0,100.0,100.0,49.9,100.0,97.3,6.8,33.3,0.0,0.0,56.1,100.0,34.21,68.60,100.00,11.21,0.00,2.53,0.00,13.00,290.69,31.08,6.76,5.00,34.00,16.00,50.46,1.00
KOR,South Korea,East Asia and the Pacific,75.2,93.5,39.4,68.1,90.7,47.1,39.0,"$19,200",2,0,17.4,76.8,100.0,99.2,82.3,100.0,0.4,98.4,67.5,83.6,0.7,16.7,85.6,100.0,8.8,39.5,50.13,42.55,0.00,42.07,9.71,1.14,9.15,0.42,"9,431.79",187.84,0.66,6.00,92.00,100.00,7.91,0.40
LAO,Laos,East Asia and the Pacific,52.9,21.4,76.1,89.8,99.9,56.0,100.0,"$1,900",8,1,38.7,73.4,5.0,99.8,100.0,100.0,100.0,42.2,86.7,95.8,75.7,,0.0,7.6,39.3,100.0,41.07,47.43,95.00,12.85,0.00,1.76,0.00,15.00,"4,833.07",47.50,75.71,,43.00,24.00,35.40,1.00
LBN,Lebanon,Middle East and North Africa,76.7,93.4,20.2,61.2,89.3,52.1,76.6,"$5,000",5,0,29.0,75.2,91.0,96.8,81.7,79.8,100.0,96.0,64.3,70.9,4.5,50.0,100.0,97.6,0.0,7.0,45.18,44.79,9.00,168.53,10.02,8.87,0.00,1.02,"10,178.77",332.42,4.46,4.00,100.00,98.00,0.00,0.07
LBR,Liberia,Sub-Saharan Africa,51.0,23.3,36.7,81.3,100.0,86.5,88.9,$900,10,0,95.1,78.0,17.0,99.9,100.0,100.0,100.0,1.8,97.7,84.1,0.0,66.7,31.4,10.0,15.3,22.9,17.08,40.98,83.00,4.82,0.00,0.85,0.00,25.46,"2,191.85",182.17,0.00,3.00,62.00,26.00,13.75,0.23
LKA,Sri Lanka,South Asia,64.6,61.3,56.6,82.6,83.2,52.7,64.6,"$4,000",6,0,64.9,40.4,11.0,96.6,69.8,77.2,100.0,97.4,95.5,85.4,15.4,16.7,60.3,89.1,32.4,70.7,29.92,93.79,89.00,178.11,16.51,9.61,0.00,0.67,"2,724.43",166.83,15.39,6.00,78.00,91.00,29.18,0.71
MAR,Morocco,Middle East and North Africa,64.1,75.7,54.7,75.1,6.5,54.4,71.2,"$4,200",6,0,22.6,86.3,89.0,0.0,13.1,100.0,97.0,91.5,89.7,77.8,2.1,16.7,63.9,52.6,2.4,97.2,47.94,29.29,11.00,"660,000.00",47.60,1.11,0.28,2.19,"4,117.35",253.75,2.08,6.00,80.00,61.00,2.12,0.97
MDA,Moldova,Other Eastern Europe and Central Asia,62.9,81.7,16.9,0.2,46.3,56.9,100.0,"$1,900",8,1,31.5,82.2,86.0,92.4,0.1,100.0,100.0,94.3,0.0,0.0,2.1,,85.6,61.1,1.3,2.9,44.14,34.98,14.00,399.91,54.69,0.14,0.00,1.47,"27,179.86","1,159.35",2.07,,92.00,68.00,1.14,0.03
MDG,Madagascar,Sub-Saharan Africa,48.6,23.3,39.5,82.7,88.8,74.7,83.3,$800,10,0,75.5,73.9,1.0,99.4,78.3,100.0,100.0,43.0,95.6,85.8,15.1,50.0,0.7,18.5,5.2,43.9,25.40,46.70,99.00,31.31,11.91,0.81,0.00,14.79,"2,712.82",162.30,15.11,4.00,45.00,33.00,4.70,0.44
MEX,Mexico,Americas,64.8,80.6,48.6,67.6,21.2,34.6,72.4,"$9,600",4,0,0.0,69.1,78.0,0.0,42.4,100.0,84.0,95.9,77.0,72.8,4.8,33.3,83.8,72.0,13.9,64.6,64.20,53.37,22.00,"8,222.39",31.51,1.59,1.47,1.07,"7,152.85",310.61,4.80,5.00,91.00,77.00,12.51,0.65
MLI,Mali,Sub-Saharan Africa,33.9,8.6,45.0,92.1,37.7,21.2,100.0,$900,10,1,42.4,0.0,0.0,0.0,75.4,100.0,100.0,0.0,100.0,95.5,43.4,,6.1,33.1,2.2,61.7,39.49,194.39,100.00,"660,000.00",13.48,1.86,0.00,26.85,"1,318.43",51.13,43.37,,48.00,45.00,2.00,0.62
MMR,Myanmar,East Asia and the Pacific,57.0,47.3,42.7,88.3,98.2,27.4,77.2,"$1,700",8,0,11.2,43.6,0.0,99.8,96.5,98.3,100.0,60.2,97.2,96.3,15.1,33.3,63.9,67.2,11.9,43.2,52.78,89.21,100.00,9.00,1.91,3.50,0.00,10.32,"2,331.55",42.52,15.14,5.00,80.00,73.00,10.67,0.43
MNG,Mongolia,East Asia and the Pacific,48.8,47.8,71.7,8.7,39.7,28.5,100.0,"$1,900",8,1,0.0,56.9,33.0,0.0,79.4,100.0,100.0,71.6,20.2,0.0,0.0,,31.4,50.2,39.0,92.6,60.88,70.53,67.00,"6,752.81",11.27,0.05,0.00,7.37,"20,732.83","1,992.23",0.00,,62.00,59.00,35.08,0.93
MOZ,Mozambique,Sub-Saharan Africa,45.7,16.7,39.7,84.0,86.7,74.6,88.9,"$1,200",9,0,75.1,74.2,13.0,98.0,75.4,100.0,100.0,8.1,73.7,91.7,92.3,66.7,0.0,11.2,13.6,36.4,25.60,46.31,87.00,107.67,13.44,2.33,0.00,23.84,"7,930.60",95.24,92.34,3.00,42.00,27.00,12.26,0.36
MRT,Mauritania,Sub-Saharan Africa,32.0,28.4,5.9,50.3,35.5,30.9,55.6,"$1,800",8,0,35.1,26.8,31.0,0.0,71.1,0.0,100.0,33.4,69.2,43.8,0.8,66.7,20.6,29.5,0.2,2.9,42.63,112.84,69.00,"660,000.00",15.84,158.70,0.00,17.27,"9,024.18",642.69,0.82,3.00,56.00,42.00,0.16,0.03
MWI,Malawi,Sub-Saharan Africa,56.5,29.6,64.6,86.6,86.9,79.2,100.0,$600,10,1,84.3,74.1,1.0,99.2,74.6,100.0,100.0,15.5,91.5,89.4,52.9,,40.4,34.3,53.0,60.8,21.67,46.38,99.00,41.74,13.90,2.13,0.00,21.91,"3,688.75",120.85,52.90,,67.00,46.00,47.74,0.61
MYS,Malaysia,East Asia and the Pacific,83.3,88.8,71.5,60.8,99.3,79.8,77.8,"$9,700",3,0,69.6,90.0,71.0,100.0,98.6,100.0,100.0,97.1,65.7,69.2,2.6,33.3,91.0,95.1,30.2,97.8,27.94,23.99,29.00,3.32,0.74,0.93,0.00,0.74,"9,850.78",352.28,2.58,5.00,95.00,96.00,27.14,0.98
NAM,Namibia,Sub-Saharan Africa,56.5,43.9,68.0,83.4,41.7,69.2,83.3,"$7,300",4,0,69.1,69.2,17.0,78.4,5.0,100.0,100.0,64.9,89.7,89.5,28.8,50.0,63.9,14.9,35.5,99.3,28.14,53.21,83.00,"1,138.16",52.01,0.00,0.00,9.11,"4,102.37",119.58,28.79,4.00,80.00,30.00,31.97,0.99
NER,Niger,Sub-Saharan Africa,25.7,1.0,39.0,83.6,56.6,22.9,50.0,$900,10,1,45.7,0.0,2.0,65.6,47.6,0.0,100.0,0.0,100.0,86.9,0.0,,2.5,0.0,3.3,89.0,38.10,163.68,98.00,"1,814.20",28.67,225.17,0.00,35.94,"1,621.79",149.30,0.00,,46.00,12.00,3.01,0.89
NGA,Nigeria,Sub-Saharan Africa,44.5,23.0,42.0,68.6,94.8,55.9,68.4,"$1,000",9,0,78.7,33.2,33.0,98.2,91.5,88.6,100.0,0.0,77.9,73.3,8.4,16.7,27.8,24.6,15.8,42.0,24.07,103.87,67.00,98.18,4.66,6.30,0.00,25.96,"6,930.52",305.31,8.44,6.00,60.00,38.00,14.22,0.42
NIC,Nicaragua,Americas,69.2,62.5,69.4,71.3,99.9,50.5,88.9,"$2,300",7,0,23.5,77.5,27.0,99.9,100.0,100.0,100.0,89.9,91.9,65.0,14.0,66.7,65.7,58.7,46.9,75.0,47.55,41.66,73.00,6.83,0.00,1.19,0.00,2.61,"3,584.01",400.16,13.95,3.00,81.00,66.00,42.19,0.75
NLD,Netherlands,European Union +,78.7,97.1,26.1,75.3,76.5,55.9,67.2,"$29,500",1,0,31.0,80.8,100.0,97.0,55.9,100.0,68.1,98.3,73.5,93.3,1.3,33.3,100.0,100.0,4.3,14.2,44.35,36.92,0.00,157.81,24.14,1.71,2.93,0.44,"7,999.63",76.17,1.33,5.00,100.00,100.00,3.84,0.14
NOR,Norway,European Union +,80.2,98.8,35.9,76.5,100.0,62.8,33.3,"$40,000",1,0,33.2,92.4,100.0,99.9,100.0,100.0,0.0,98.9,62.2,93.3,60.4,0.0,100.0,100.0,8.0,28.0,43.42,20.67,0.00,6.25,0.00,1.12,40.13,0.29,"10,688.93",77.14,60.42,7.00,100.00,100.00,7.24,0.28
NPL,Nepal,South Asia,60.2,44.1,60.5,86.4,99.0,35.9,99.0,"$1,500",9,1,0.0,71.8,3.0,99.7,98.3,98.0,100.0,75.2,99.5,85.4,36.5,,71.1,11.2,22.0,78.6,58.58,49.65,97.00,17.71,0.92,3.57,0.00,6.43,"1,781.25",166.61,36.49,,84.00,27.00,19.76,0.79
NZL,New Zealand,East Asia and the Pacific,88.0,97.9,73.5,73.4,98.8,83.7,61.4,"$23,200",2,0,72.2,95.1,100.0,99.7,97.9,100.0,51.0,98.6,65.8,88.9,35.3,33.3,94.6,100.0,54.7,78.0,26.83,16.87,0.00,17.55,1.17,2.16,4.51,0.37,"9,838.07",126.63,35.33,5.00,97.00,100.00,49.23,0.78
OMN,Oman,Middle East and North Africa,67.9,79.5,41.1,57.6,65.7,28.1,88.9,"$13,100",3,0,24.1,32.2,100.0,100.0,31.5,100.0,100.0,97.8,61.3,66.9,0.0,66.7,62.1,86.6,11.1,50.0,47.30,105.30,0.00,0.00,37.51,0.00,0.00,0.57,"10,917.00",378.21,0.00,3.00,79.00,89.00,9.99,0.50
PAK,Pakistan,South Asia,41.1,46.1,23.0,66.7,37.9,8.2,44.4,"$2,200",7,0,16.4,0.0,24.0,36.7,39.1,0.0,100.0,62.1,81.1,64.9,14.0,33.3,81.9,44.1,6.0,46.5,50.56,180.08,76.00,"3,336.81",33.35,53.35,-0.97,9.83,"6,160.34",401.62,14.02,5.00,90.00,54.00,5.44,0.47
PAN,Panama,Americas,76.5,75.6,83.2,69.5,97.6,58.6,77.8,"$6,900",4,0,48.0,69.2,63.0,99.9,95.3,100.0,100.0,93.8,66.1,84.8,14.4,33.3,83.8,66.0,58.1,100.0,37.12,53.27,37.00,6.93,2.55,0.15,0.00,1.60,"9,763.33",173.90,14.43,5.00,91.00,72.00,52.33,1.00
PER,Peru,Americas,65.4,64.8,57.4,83.5,83.8,57.8,47.3,"$5,600",5,0,52.5,63.2,60.0,98.0,69.6,100.0,41.8,81.1,90.2,88.3,33.4,0.0,65.7,53.8,16.6,80.2,35.20,61.78,40.00,106.17,16.66,0.10,5.35,4.91,"3,997.12",133.16,33.40,7.00,81.00,62.00,14.90,0.80
PHL,Philippines,East Asia and the Pacific,69.4,63.6,69.0,78.9,97.2,61.4,69.5,"$5,000",5,0,50.8,72.0,15.0,99.9,94.5,96.1,95.7,94.4,91.8,79.4,22.0,16.7,72.9,67.2,23.9,100.0,35.93,49.34,85.00,7.35,2.99,4.14,0.39,1.46,"3,603.05",235.39,22.03,6.00,85.00,73.00,21.50,1.00
PNG,Papua New Guinea,East Asia and the Pacific,55.5,34.2,34.3,83.3,98.4,73.7,94.4,"$2,200",7,0,62.6,84.9,3.0,100.0,96.8,100.0,100.0,70.8,93.1,88.1,20.4,83.3,0.0,33.1,2.0,30.8,30.92,31.24,97.00,3.56,1.76,0.71,0.00,7.58,"3,289.80",135.94,20.44,2.00,39.00,45.00,1.82,0.31
POL,Poland,European Union +,76.2,95.0,29.2,54.7,93.7,54.0,54.9,"$12,000",3,0,31.8,76.1,93.0,97.6,89.8,100.0,48.0,98.4,73.3,49.4,0.7,16.7,100.0,100.0,2.0,18.6,44.02,43.56,7.00,125.09,5.56,1.69,4.78,0.41,"8,035.63",578.54,0.75,6.00,100.00,100.00,1.81,0.19
PRT,Portugal,European Union +,82.9,97.4,54.6,79.1,89.2,50.1,69.1,"$17,900",3,0,17.2,83.0,100.0,96.6,81.8,99.2,91.4,98.2,83.4,89.0,16.4,16.7,100.0,100.0,11.7,76.0,50.22,33.96,0.00,179.55,9.96,3.23,0.79,0.46,"5,617.62",125.68,16.40,6.00,100.00,100.00,10.52,0.76
PRY,Paraguay,Americas,66.4,63.7,43.8,69.9,78.3,53.9,100.0,"$4,800",6,1,69.8,38.1,36.0,99.4,57.1,100.0,100.0,91.8,40.3,90.6,100.0,,69.3,73.3,2.3,61.7,27.86,97.00,64.00,30.78,23.47,1.26,0.00,2.13,"15,943.08",106.91,123.39,,83.00,78.00,2.11,0.62
ROU,Romania,Other Eastern Europe and Central Asia,56.9,61.2,36.9,47.3,70.6,42.5,65.9,"$7,700",4,0,30.5,54.6,91.0,72.6,68.5,100.0,47.6,95.9,67.3,37.2,9.7,50.0,22.4,40.4,18.6,25.2,44.57,73.80,9.00,"1,445.10",17.24,1.15,4.82,1.05,"9,463.64",718.19,9.67,4.00,57.00,51.00,16.77,0.25
RUS,Russia,Other Eastern Europe and Central Asia,77.5,92.3,61.0,15.5,98.0,55.6,83.3,"$9,800",3,0,22.4,88.8,99.0,99.7,96.2,100.0,100.0,95.3,12.8,20.0,6.1,50.0,92.8,84.2,10.6,90.9,48.01,25.79,1.00,16.36,2.06,0.20,0.00,1.21,"22,507.43",913.98,6.12,4.00,96.00,87.00,9.57,0.91
RWA,Rwanda,Sub-Saharan Africa,57.0,31.1,63.2,87.4,95.0,91.1,77.3,"$1,300",9,1,100.0,82.1,0.0,90.1,100.0,54.7,100.0,14.2,100.0,93.4,7.1,,51.3,28.3,24.2,100.0,14.14,35.15,100.00,524.67,0.00,16.16,0.00,22.25,"1,298.33",75.71,7.12,,73.00,41.00,21.76,1.00
SAU,Saudi Arabia,Middle East and North Africa,68.3,83.7,60.2,33.1,52.6,30.2,88.9,"$12,000",3,0,28.7,31.7,100.0,99.5,5.7,100.0,100.0,96.0,28.5,44.7,0.0,66.7,81.9,87.8,14.9,100.0,45.31,105.94,0.00,27.33,51.64,0.00,0.00,1.03,"18,749.29",631.76,0.00,3.00,90.00,,13.44,1.00
SDN,Sudan,Sub-Saharan Africa,44.0,24.5,41.3,83.8,84.8,24.9,82.5,"$1,900",8,0,49.9,0.0,0.0,89.1,80.5,97.6,100.0,49.2,97.9,87.1,9.8,50.0,44.0,19.8,6.0,48.4,36.32,246.38,100.00,575.98,10.67,3.70,0.00,13.16,"2,156.13",147.60,9.80,4.00,69.00,34.00,5.39,0.48
SEN,Senegal,Sub-Saharan Africa,52.2,39.9,67.6,77.6,52.0,52.9,72.1,"$1,700",8,0,64.3,41.5,21.0,28.3,75.6,99.5,100.0,46.5,90.6,82.8,0.0,16.7,49.5,41.6,22.0,100.0,30.17,92.26,79.00,"3,779.70",13.35,3.14,0.00,13.89,"3,905.13",196.73,0.00,6.00,72.00,52.00,19.82,1.00
SLE,Sierra Leone,Sub-Saharan Africa,49.5,20.4,56.2,78.3,100.0,75.5,82.6,$600,10,0,88.4,62.5,8.0,99.9,100.0,97.7,100.0,0.0,92.5,82.5,0.0,50.0,22.4,25.8,11.5,77.9,19.92,62.66,92.00,3.77,0.00,3.66,0.00,41.63,"3,450.89",200.21,0.00,4.00,57.00,39.00,10.35,0.78
SLV,El Salvador,Americas,63.0,64.1,18.9,82.5,99.8,42.5,66.1,"$4,900",5,0,8.6,76.4,35.0,99.6,100.0,48.4,100.0,91.7,91.7,85.6,29.7,50.0,67.5,55.0,0.5,12.2,53.90,43.10,65.00,20.10,0.00,17.98,0.00,2.15,"3,642.74",164.71,29.72,4.00,82.00,63.00,0.41,0.12
SUR,Suriname,Americas,73.0,75.1,66.9,19.1,100.0,73.7,94.4,"$4,300",6,0,76.4,71.0,31.0,99.9,100.0,100.0,100.0,94.7,0.0,32.3,39.3,83.3,85.6,91.5,16.2,100.0,25.06,50.72,69.00,6.48,0.00,0.01,0.00,1.37,"25,729.62",773.54,39.33,2.00,92.00,93.00,14.54,1.00
SVK,Slovakia,European Union +,79.1,96.4,45.8,56.0,99.4,57.4,50.0,"$14,500",3,1,30.8,84.0,95.0,98.8,100.0,100.0,0.0,98.0,60.3,63.3,4.4,,100.0,100.0,4.8,56.9,44.42,32.42,5.00,62.57,0.00,1.31,20.43,0.52,"11,137.98",419.30,4.40,,100.00,100.00,4.36,0.57
SVN,Slovenia,European Union +,77.5,97.3,23.5,72.6,99.5,56.1,37.2,"$19,600",2,0,30.4,81.9,100.0,99.0,100.0,100.0,11.5,98.2,73.9,85.0,10.8,0.0,100.0,100.0,0.0,4.3,44.60,35.50,0.00,53.59,0.00,0.82,8.13,0.46,"7,897.55",171.74,10.83,7.00,100.00,100.00,0.00,0.04
SWE,Sweden,European Union +,87.8,99.4,55.6,78.9,99.5,66.4,81.0,"$28,400",2,0,36.6,96.2,100.0,99.7,99.4,100.0,93.0,99.3,72.5,96.2,28.1,50.0,100.0,100.0,14.3,72.7,41.97,15.27,0.00,18.49,0.35,2.31,0.64,0.17,"8,238.30",43.94,28.09,4.00,100.00,100.00,12.84,0.73
SWZ,Swaziland,Sub-Saharan Africa,53.9,30.0,38.8,83.9,94.4,74.3,97.5,"$5,100",5,1,69.5,79.0,12.0,96.1,92.7,95.0,100.0,23.3,90.4,94.3,9.2,,13.4,41.6,0.8,46.2,27.96,39.55,88.00,206.47,4.02,4.45,0.00,19.88,"3,948.16",64.82,9.21,,52.00,52.00,0.70,0.46
SYR,Syria,Middle East and North Africa,55.3,72.3,17.1,22.0,48.3,31.8,72.2,"$3,400",6,0,29.1,34.5,81.0,96.5,0.0,100.0,100.0,97.2,48.1,0.0,12.6,16.7,62.1,72.0,1.6,3.2,45.14,102.08,19.00,184.21,55.58,0.39,0.00,0.73,"14,075.96","1,152.24",12.58,6.00,79.00,77.00,1.44,0.03
TCD,Chad,Sub-Saharan Africa,30.5,0.0,60.5,88.8,35.0,24.4,96.0,"$1,600",8,1,48.8,0.0,0.0,0.0,70.0,92.0,100.0,0.0,100.0,98.1,0.0,,0.0,0.0,7.8,100.0,36.76,160.58,100.00,"9,071.14",16.44,5.32,0.00,26.37,288.26,21.15,0.00,,34.00,8.00,7.03,1.00
TGO,Togo,Sub-Saharan Africa,52.8,28.3,68.5,74.8,99.2,82.3,61.2,"$1,600",8,0,90.3,74.4,4.0,98.4,100.0,67.0,100.0,51.0,97.2,70.6,0.2,16.7,11.6,19.8,32.9,100.0,19.13,46.02,96.00,82.93,0.00,12.58,0.00,12.72,"2,316.12",335.49,0.16,6.00,51.00,34.00,29.64,1.00
THA,Thailand,East Asia and the Pacific,66.8,71.0,60.2,68.1,91.8,47.5,45.6,"$8,100",4,0,42.1,53.0,28.0,99.6,84.0,72.4,64.5,95.0,79.1,72.4,3.2,0.0,72.9,98.8,34.8,77.2,39.64,76.06,72.00,24.72,8.79,11.03,3.26,1.30,"6,653.76",315.73,3.19,7.00,85.00,99.00,31.35,0.77
TJK,Tajikistan,Other Eastern Europe and Central Asia,48.2,38.0,48.7,16.9,86.2,40.7,100.0,"$1,100",9,1,19.5,61.9,0.0,98.0,74.4,100.0,100.0,71.1,0.0,23.1,59.8,,24.2,42.9,19.1,54.2,49.23,63.60,100.00,108.31,14.00,0.00,0.00,7.50,"37,288.94",878.60,59.78,,58.00,53.00,17.17,0.54
TKM,Turkmenistan,Other Eastern Europe and Central Asia,52.3,57.4,30.3,0.0,73.3,32.4,100.0,"$5,700",5,1,5.9,58.9,50.0,97.6,49.0,100.0,100.0,77.7,0.0,0.0,0.0,,47.7,53.8,0.8,29.8,55.02,67.69,50.00,128.26,27.92,0.02,0.00,5.78,"25,629.97","3,121.72",0.00,,71.00,62.00,0.74,0.30
TTO,Trinidad & Tobago,Americas,76.9,94.1,32.0,3.4,99.9,74.4,88.9,"$10,500",3,0,58.9,89.9,100.0,99.8,100.0,100.0,100.0,95.0,0.0,7.3,0.0,66.7,83.8,100.0,7.4,18.7,32.48,24.13,0.00,10.46,0.00,0.53,0.00,1.29,"37,706.00","1,059.18",0.05,3.00,91.00,100.00,6.68,0.19
TUN,Tunisia,Middle East and North Africa,60.0,77.2,5.1,75.3,35.1,49.1,49.9,"$7,100",4,0,24.8,73.3,71.0,65.0,5.1,20.3,79.3,97.1,86.6,81.4,0.3,50.0,67.5,75.7,0.3,4.1,46.97,47.48,29.00,"1,847.36",51.94,26.13,1.91,0.75,"4,850.07",212.55,0.28,4.00,82.00,80.00,0.25,0.04
TUR,Turkey,Middle East and North Africa,72.8,84.6,31.8,69.7,86.0,49.1,68.6,"$7,400",4,0,29.5,68.6,89.0,97.4,74.6,100.0,89.2,92.3,78.9,74.3,10.8,16.7,87.4,79.3,4.5,25.6,45.00,54.10,11.00,137.24,13.90,1.14,1.00,1.99,"6,690.17",294.29,10.84,6.00,93.00,83.00,4.01,0.26
TWN,Taiwan,East Asia and the Pacific,79.1,93.5,67.3,70.7,99.8,47.4,38.0,"$25,300",2,0,31.6,63.1,100.0,99.6,100.0,100.0,14.1,92.2,75.6,81.5,1.8,0.0,100.0,100.0,29.9,86.9,44.08,61.79,0.00,19.93,0.00,0.02,7.90,2.01,"7,489.77",212.00,1.84,7.00,100.00,,26.91,0.87
TZA,Tanzania,Sub-Saharan Africa,59.0,37.3,74.1,82.9,88.6,86.2,72.2,$700,10,0,91.9,80.6,4.0,97.0,80.2,100.0,100.0,33.4,92.3,84.1,37.9,16.7,51.3,34.3,38.2,99.4,18.45,37.29,96.00,160.24,10.84,1.42,0.00,17.28,"3,492.52",181.85,37.86,6.00,73.00,46.00,34.39,0.99
UGA,Uganda,Sub-Saharan Africa,60.8,31.7,73.6,92.4,92.7,98.0,93.0,"$1,500",9,1,100.0,95.9,3.0,87.9,97.5,86.1,100.0,36.6,100.0,95.4,46.9,,20.6,28.3,57.7,80.9,14.24,15.69,97.00,636.32,1.35,7.05,0.00,16.44,"1,009.66",52.80,46.89,,56.00,41.00,51.95,0.81
UKR,Ukraine,Other Eastern Europe and Central Asia,71.2,93.8,40.1,3.7,65.2,56.6,77.8,"$6,300",5,0,31.1,82.1,89.0,74.6,55.8,100.0,100.0,97.9,8.1,0.0,1.7,33.3,96.4,98.8,6.6,47.8,44.30,35.14,11.00,"1,339.79",24.19,0.00,0.00,0.55,"23,642.60","2,147.48",1.69,5.00,98.00,99.00,5.98,0.48
USA,United States,Americas,78.5,98.3,66.9,69.7,73.9,44.7,38.9,"$40,100",1,0,0.1,89.3,100.0,86.6,61.1,100.0,0.0,98.5,68.8,85.1,4.0,16.7,100.0,100.0,31.8,90.6,57.48,25.06,0.00,708.34,21.28,1.49,10.88,0.40,"9,111.96",170.72,3.98,6.00,100.00,100.00,28.59,0.91
UZB,Uzbekistan,Other Eastern Europe and Central Asia,52.3,57.7,38.3,0.4,59.6,36.4,100.0,"$1,800",8,1,24.9,48.0,21.0,96.1,23.1,100.0,100.0,87.9,0.0,0.0,3.5,,80.1,47.7,7.4,48.0,46.96,83.07,79.00,206.01,42.12,0.00,0.00,3.14,"48,332.41","2,007.36",3.46,,89.00,57.00,6.67,0.48
VEN,Venezuela,Americas,74.1,81.8,88.0,32.1,91.0,76.9,44.4,"$5,800",5,0,58.0,95.8,100.0,99.8,82.3,100.0,0.0,88.5,12.5,52.8,20.9,33.3,69.3,61.1,72.5,100.0,32.88,15.90,0.00,11.62,9.71,0.08,9.96,2.97,"22,592.80",539.60,20.93,5.00,83.00,68.00,65.29,1.00
VNM,Viet Nam,East Asia and the Pacific,54.3,44.4,42.8,64.1,97.0,45.3,71.8,"$2,700",7,0,36.9,53.7,2.0,99.6,94.5,82.0,100.0,91.4,86.5,52.7,21.6,33.3,51.3,28.3,12.0,50.1,41.83,75.12,98.00,22.56,3.03,8.23,0.00,2.24,"4,879.63",540.47,21.59,5.00,73.00,41.00,10.76,0.50
YEM,Yemen,Middle East and North Africa,45.2,40.7,13.7,59.2,50.0,39.5,85.6,$800,10,0,41.4,37.6,34.0,100.0,0.0,90.1,100.0,72.5,67.8,64.3,0.0,66.7,44.0,14.9,0.0,0.0,39.92,97.63,66.00,0.00,55.88,5.88,0.00,7.13,"9,359.76",407.46,0.00,3.00,69.00,30.00,0.00,0.00
