ISO3Code,Country,EPI_Regions,EPI,env_health,biodiversity,energy,water,air,resource_mgt,GDP_pc_ppp,inc_decile,landlocked,OZONE_pt,PM10_pt,INDOOR_pt,NLOAD_pt,OVRSUB_pt,HARVEST_pt,AGSUB_pt,MORTALITY_pt,ENEFF_pt,CO2GDP_pt,RENPC_pt,OVRFSH_pt,WATSUP_pt,ACSAT_pt,PWI_pt,PACOV_pt,OZONE_RAW,PM10_RAW,INDOOR_RAW,NLOAD_RAW,OVRSUB_RAW,HARVEST_RAW,AGSUB_RAW,MORTALITY_RAW,ENEFF_RAW,CO2GDP_RAW,RENPC_RAW,OVRFSH_RAW,WATSUP_RAW,ACSAT_RAW,PWI_RAW,PACOV_raw
BRA,Brazil,Americas,77.0,79.3,50.5,80.6,97.8,64.0,80.9,"$8,100",4,0,44.3,83.7,73.0,99.6,95.8,100.0,92.8,91.9,80.1,90.7,37.0,50.0,80.1,69.6,15.6,58.7,38.70,32.97,27.00,19.67,2.28,0.34,0.66,2.10,"6,401.73",106.65,37.00,4.00,89.00,75.00,14.07,0.59
CAF,Central Afr. Rep.,Sub-Saharan Africa,57.3,26.6,72.9,88.8,98.5,80.1,100.0,"$1,100",9,1,88.2,71.9,1.0,97.9,99.1,100.0,100.0,12.0,100.0,94.9,14.9,,54.9,11.2,31.4,100.0,20.01,49.48,99.00,112.12,0.49,0.15,0.00,22.82,"1,362.08",58.80,14.95,,75.00,27.00,28.24,1.00
CAN,Canada,Americas,84.0,98.6,55.2,62.8,98.4,56.2,73.9,"$31,500",1,0,21.2,91.2,100.0,99.8,97.0,100.0,55.0,98.9,47.4,85.3,25.9,66.7,100.0,100.0,9.9,76.5,48.54,22.35,0.00,13.15,1.66,0.68,4.13,0.28,"14,227.02",168.23,25.90,3.00,100.00,100.00,8.92,0.76
CHE,Switzerland,European Union +,81.4,98.3,28.6,84.7,99.6,59.6,50.0,"$33,800",1,1,30.4,88.8,100.0,99.3,100.0,100.0,0.0,99.0,84.5,97.2,29.1,,100.0,100.0,3.0,14.3,44.59,25.76,0.00,40.04,0.00,1.17,56.13,0.27,"5,361.03",31.71,29.08,,100.00,100.00,2.71,0.14
CHL,Chile,Americas,78.9,87.2,68.4,74.6,83.7,63.7,63.0,"$10,700",3,0,66.7,60.7,85.0,97.6,69.9,100.0,88.9,98.3,78.3,82.4,23.8,0.0,91.0,90.3,47.5,76.9,29.17,65.20,15.00,128.37,16.49,1.63,1.02,0.43,"6,832.07",201.26,23.83,7.00,95.00,92.00,42.79,0.77
CHN,China,East Asia and the Pacific,56.2,61.0,68.2,50.8,49.6,22.3,66.2,"$5,600",5,0,0.0,44.7,70.0,35.0,64.3,98.7,100.0,94.1,77.3,36.0,6.3,0.0,58.5,31.9,41.2,84.3,63.42,87.75,30.00,"3,429.80",19.55,3.39,0.00,1.53,"7,078.89",731.44,6.32,7.00,77.00,44.00,37.06,0.84
CIV,Côte d'Ivoire,Sub-Saharan Africa,57.5,34.8,70.7,78.2,98.0,76.2,77.8,"$1,500",9,0,91.0,61.4,7.0,99.4,96.6,100.0,100.0,17.8,90.1,80.8,16.6,33.3,71.1,27.1,46.1,79.7,18.83,64.28,93.00,30.86,1.84,1.23,0.00,21.31,"4,026.66",219.89,16.62,5.00,84.00,40.00,41.48,0.80
CMR,Cameroon,Sub-Saharan Africa,54.1,31.5,54.0,85.3,99.6,67.5,77.8,"$1,900",8,0,88.0,46.9,23.0,99.2,100.0,100.0,100.0,23.4,97.3,84.4,38.6,33.3,33.2,36.8,20.8,61.8,20.11,84.58,77.00,41.34,0.00,0.34,0.00,19.87,"2,299.54",177.77,38.59,5.00,63.00,48.00,18.75,0.62
COD,Dem. Rep. Congo,Sub-Saharan Africa,46.3,12.8,54.3,90.1,99.7,82.3,72.2,$700,10,0,93.8,70.9,0.0,99.4,100.0,100.0,100.0,0.0,98.0,85.9,76.6,16.7,2.5,13.7,17.5,66.0,17.65,50.95,100.00,35.12,0.00,0.41,0.00,28.41,"2,139.05",161.57,76.65,6.00,46.00,29.00,15.77,0.66
COG,Congo,Sub-Saharan Africa,49.4,19.4,64.1,79.0,99.8,71.4,83.3,$800,10,0,100.0,42.8,0.0,99.7,100.0,100.0,100.0,61.7,89.2,81.9,22.9,50.0,2.5,0.0,28.8,79.9,12.56,90.43,100.00,19.22,0.00,0.08,0.00,9.92,"4,237.83",206.90,22.88,4.00,46.00,9.00,25.89,0.80
COL,Colombia,Americas,80.4,82.4,60.3,82.4,97.4,69.4,82.8,"$6,600",5,0,49.4,89.4,64.0,99.9,94.8,100.0,98.4,92.8,91.0,85.6,32.1,50.0,85.6,83.0,21.4,78.4,36.51,24.88,36.00,8.20,2.82,0.19,0.14,1.86,"3,805.26",164.79,32.07,4.00,92.00,86.00,19.22,0.78
CRI,Costa Rica,Americas,81.6,81.1,80.3,86.0,100.0,60.6,83.1,"$9,600",4,0,41.0,80.2,42.0,99.9,100.0,100.0,99.4,98.3,88.2,91.3,52.2,50.0,94.6,90.3,50.0,100.0,40.11,37.82,58.00,4.88,0.00,1.24,0.05,0.43,"4,462.08",99.32,52.24,4.00,97.00,92.00,44.96,1.00
CUB,Cuba,Americas,75.3,85.1,66.0,55.2,72.6,50.2,83.3,"$3,000",7,0,11.1,89.3,58.0,97.5,47.6,100.0,100.0,98.5,44.3,77.0,1.8,50.0,83.8,97.6,32.8,89.6,52.82,24.99,42.00,134.67,28.67,2.14,0.00,0.40,"14,968.22",262.59,1.83,4.00,91.00,98.00,29.52,0.90
CYP,Cyprus,European Union +,78.4,90.4,62.0,73.9,98.2,48.6,50.0,"$7,135",4,0,29.3,67.8,76.0,96.4,100.0,100.0,0.0,98.9,78.8,85.6,0.0,50.0,100.0,100.0,24.1,79.1,45.08,55.24,24.00,191.32,0.00,0.14,15.24,0.27,"6,727.65",164.26,0.00,4.00,100.00,100.00,21.73,0.79
CZE,Czech Rep.,European Union +,86.0,97.3,71.4,51.9,96.7,55.5,97.9,"$16,800",3,1,31.4,79.7,100.0,98.1,95.3,100.0,95.9,99.6,67.5,48.7,1.2,,100.0,100.0,28.3,100.0,44.20,38.54,0.00,100.93,2.56,2.28,0.38,0.09,"9,417.71",586.45,1.21,,100.00,100.00,25.46,1.00
DEU,Germany,European Union +,79.4,98.7,21.2,78.3,84.5,61.3,55.9,"$28,700",2,0,31.4,91.3,100.0,98.2,70.9,100.0,34.2,99.0,80.2,93.0,3.8,33.3,100.0,100.0,1.0,2.2,44.19,22.29,0.00,98.13,15.94,1.89,6.04,0.26,"6,382.07",79.76,3.75,5.00,100.00,100.00,0.90,0.02
DNK,Denmark,European Union +,84.2,98.5,41.0,81.5,97.1,61.9,67.9,"$32,200",1,0,32.9,90.9,100.0,98.4,95.9,100.0,87.1,98.7,84.4,94.8,9.2,16.7,100.0,100.0,11.9,38.0,43.55,22.75,0.00,85.17,2.27,2.91,1.18,0.35,"5,388.47",59.13,9.21,6.00,100.00,100.00,10.70,0.38
DOM,Dominican Rep.,Americas,69.5,69.2,70.9,69.3,80.8,45.2,83.3,"$6,300",5,0,11.0,79.3,52.0,98.9,62.7,100.0,100.0,83.8,87.3,66.9,4.9,50.0,87.4,47.7,32.4,100.0,52.84,39.10,48.00,57.08,20.42,1.41,0.00,4.20,"4,699.42",378.42,4.88,4.00,93.00,57.00,29.18,1.00
DZA,Algeria,Middle East and North Africa,66.2,85.1,37.8,60.1,27.7,39.3,71.9,"$6,600",5,0,25.3,53.3,96.0,0.0,55.3,82.3,100.0,96.7,78.5,56.3,0.0,33.3,76.5,90.3,16.0,39.5,46.76,75.59,4.00,"660,000.00",24.47,8.13,0.00,0.84,"6,796.68",499.89,0.04,5.00,87.00,92.00,14.38,0.39
