,Code,Country,EPI,HLT,BDH,air,energy,GDP_pc_ppp
82,NAM,Namibia,56.5,43.9,68.0,69.2,83.4,"$7,300"
83,NER,Niger,25.7,1.0,39.0,22.9,83.6,$900
84,NGA,Nigeria,44.5,23.0,42.0,55.9,68.6,"$1,000"
85,NIC,Nicaragua,69.2,62.5,69.4,50.5,71.3,"$2,300"
86,NLD,Netherlands,78.7,97.1,26.1,55.9,75.3,"$29,500"
87,NOR,Norway,80.2,98.8,35.9,62.8,76.5,"$40,000"
88,NPL,Nepal,60.2,44.1,60.5,35.9,86.4,"$1,500"
89,NZL,New Zealand,88.0,97.9,73.5,83.7,73.4,"$23,200"
90,OMN,Oman,67.9,79.5,41.1,28.1,57.6,"$13,100"
91,PAK,Pakistan,41.1,46.1,23.0,8.2,66.7,"$2,200"
92,PAN,Panama,76.5,75.6,83.2,58.6,69.5,"$6,900"
93,PER,Peru,65.4,64.8,57.4,57.8,83.5,"$5,600"
94,PHL,Philippines,69.4,63.6,69.0,61.4,78.9,"$5,000"
95,PNG,Papua New Guinea,55.5,34.2,34.3,73.7,83.3,"$2,200"
96,POL,Poland,76.2,95.0,29.2,54.0,54.7,"$12,000"
97,PRT,Portugal,82.9,97.4,54.6,50.1,79.1,"$17,900"
98,PRY,Paraguay,66.4,63.7,43.8,53.9,69.9,"$4,800"
99,ROU,Romania,56.9,61.2,36.9,42.5,47.3,"$7,700"
100,RUS,Russia,77.5,92.3,61.0,55.6,15.5,"$9,800"
101,RWA,Rwanda,57.0,31.1,63.2,91.1,87.4,"$1,300"
102,SAU,Saudi Arabia,68.3,83.7,60.2,30.2,33.1,"$12,000"
103,SDN,Sudan,44.0,24.5,41.3,24.9,83.8,"$1,900"
104,SEN,Senegal,52.2,39.9,67.6,52.9,77.6,"$1,700"
105,SLE,Sierra Leone,49.5,20.4,56.2,75.5,78.3,$600
106,SLV,El Salvador,63.0,64.1,18.9,42.5,82.5,"$4,900"
107,SUR,Suriname,73.0,75.1,66.9,73.7,19.1,"$4,300"
108,SVK,Slovakia,79.1,96.4,45.8,57.4,56.0,"$14,500"
109,SVN,Slovenia,77.5,97.3,23.5,56.1,72.6,"$19,600"
110,SWE,Sweden,87.8,99.4,55.6,66.4,78.9,"$28,400"
111,SWZ,Swaziland,53.9,30.0,38.8,74.3,83.9,"$5,100"
112,SYR,Syria,55.3,72.3,17.1,31.8,22.0,"$3,400"
113,TCD,Chad,30.5,0.0,60.5,24.4,88.8,"$1,600"
114,TGO,Togo,52.8,28.3,68.5,82.3,74.8,"$1,600"
115,THA,Thailand,66.8,71.0,60.2,47.5,68.1,"$8,100"
116,TJK,Tajikistan,48.2,38.0,48.7,40.7,16.9,"$1,100"
117,TKM,Turkmenistan,52.3,57.4,30.3,32.4,0.0,"$5,700"
118,TTO,Trinidad & Tobago,76.9,94.1,32.0,74.4,3.4,"$10,500"
119,TUN,Tunisia,60.0,77.2,5.1,49.1,75.3,"$7,100"
120,TUR,Turkey,72.8,84.6,31.8,49.1,69.7,"$7,400"
